Orthogroup	SACKO_ok	MOUSE
OG0000000	SACKO_11053	MOUSE21446, MOUSE46880, MOUSE20962
OG0000000	SACKO_12749	MOUSE35835, MOUSE46731
OG0000000	SACKO_19677	MOUSE35499, MOUSE22971
OG0000000	SACKO_25619	MOUSE40493, MOUSE21445
OG0000000	SACKO_25616	MOUSE40450, MOUSE21440
OG0000000	SACKO_05553	MOUSE46718, MOUSE35959
OG0000000	SACKO_16683	MOUSE46854, MOUSE36974
OG0000000	SACKO_08208, SACKO_08197	MOUSE25533, MOUSE37056
OG0000000	SACKO_32730, SACKO_17792	MOUSE09344, MOUSE50563
OG0000000	SACKO_19489	MOUSE50880
OG0000000	SACKO_31887	MOUSE20961
OG0000000	SACKO_24012	MOUSE26497, MOUSE39799
OG0000000	SACKO_11590	MOUSE38794, MOUSE36509
OG0000000	SACKO_24040	MOUSE26494, MOUSE05221, MOUSE39801
OG0000000	SACKO_11588	MOUSE38795
OG0000000	SACKO_24002	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889
OG0000000	SACKO_24024	MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218
OG0000000	SACKO_24025	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	SACKO_26673	MOUSE35589, MOUSE35590
OG0000000	SACKO_06485	MOUSE05644, MOUSE06967
OG0000000	SACKO_31872	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	SACKO_24017	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817
OG0000000	SACKO_11599	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	SACKO_22872	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	SACKO_31901	MOUSE36110
OG0000000	SACKO_31899	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	SACKO_11978	MOUSE28110, MOUSE28109
OG0000000	SACKO_12011	MOUSE07114
OG0000001	SACKO_04731	MOUSE47436
OG0000001	SACKO_21170	MOUSE30906
OG0000001	SACKO_30873	MOUSE47424, MOUSE47422
OG0000001	SACKO_04743, SACKO_04719, SACKO_23106	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000002	SACKO_11085, SACKO_21630, SACKO_21632	MOUSE31557, MOUSE31558
OG0000002	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284
OG0000002	SACKO_18684	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136
OG0000002	SACKO_13458	MOUSE33129
OG0000002	SACKO_00245, SACKO_00252	MOUSE15413, MOUSE15412
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	MOUSE03525, MOUSE03521, MOUSE03523, MOUSE03522, MOUSE03519
OG0000005	SACKO_22081, SACKO_22108, SACKO_22102	MOUSE18207, MOUSE20294, MOUSE20293, MOUSE13586, MOUSE20384, MOUSE20383, MOUSE20203, MOUSE53215, MOUSE53214, MOUSE16622, MOUSE16621, MOUSE16620
OG0000006	SACKO_21129	MOUSE48684, MOUSE48683
OG0000006	SACKO_21953	MOUSE11220
OG0000006	SACKO_11503	MOUSE33561, MOUSE33562
OG0000006	SACKO_02616	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	SACKO_13650	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	SACKO_23250	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	SACKO_15817	MOUSE38532, MOUSE38531
OG0000006	SACKO_32444	MOUSE10280
OG0000006	SACKO_12590, SACKO_14761, SACKO_02017	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	SACKO_32500	MOUSE19675
OG0000006	SACKO_06429	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	SACKO_32477	MOUSE08011, MOUSE15296
OG0000006	SACKO_20803	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	SACKO_32388	MOUSE03398
OG0000007	SACKO_33112	MOUSE09063, MOUSE49748
OG0000007	SACKO_16486	MOUSE51845, MOUSE20686
