Orthogroup	DROME	MOUSE
OG0000000	DROME16218, DROME16219	MOUSE35835, MOUSE46731
OG0000000	DROME04813	MOUSE35499, MOUSE22971
OG0000000	DROME14805, DROME14806	MOUSE40493, MOUSE21445
OG0000000	DROME15463, DROME15462	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	DROME11250	MOUSE47799, MOUSE46854, MOUSE36974
OG0000000	DROME21328, DROME21327	MOUSE25533, MOUSE37056
OG0000000	DROME03422	MOUSE50880
OG0000000	DROME16097	MOUSE20961
OG0000000	DROME01107	MOUSE24692
OG0000000	DROME13389, DROME13388	MOUSE26497, MOUSE39799
OG0000000	DROME11314	MOUSE38794, MOUSE36509
OG0000000	DROME13415	MOUSE38795
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	MOUSE05215, MOUSE39813, MOUSE39810
OG0000000	DROME13413	MOUSE39806, MOUSE14890, MOUSE14891, MOUSE05218
OG0000000	DROME13414	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	DROME10025	MOUSE35589, MOUSE35590
OG0000000	DROME16399	MOUSE05644, MOUSE06967
OG0000000	DROME17718	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	DROME15341, DROME15342, DROME15343	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817
OG0000000	DROME03546, DROME03545	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	DROME13420	MOUSE42582
OG0000000	DROME04989	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	DROME16202	MOUSE12761, MOUSE36110
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	MOUSE12760, MOUSE21123, MOUSE17205, MOUSE28110, MOUSE28109, MOUSE07114
OG0000002	DROME14626, DROME12189, DROME02894	MOUSE15413, MOUSE15412
OG0000005	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689	MOUSE18207, MOUSE20294, MOUSE20293, MOUSE13586, MOUSE20384, MOUSE20383, MOUSE20203, MOUSE53215, MOUSE53214, MOUSE16622, MOUSE16621, MOUSE16620
OG0000006	DROME08113	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	DROME01994, DROME01995, DROME01996	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	DROME07928	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	DROME00104	MOUSE54497
OG0000006	DROME19258, DROME19257, DROME19259	MOUSE28165, MOUSE07632, MOUSE07631
OG0000006	DROME21396	MOUSE38532, MOUSE38531
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	MOUSE10280
OG0000006	DROME19786, DROME00664	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	DROME18045, DROME18046, DROME18044	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	DROME00147, DROME00148	MOUSE08011, MOUSE15296
OG0000006	DROME19780, DROME19779, DROME19781	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000006	DROME21674, DROME21675, DROME21673	MOUSE03398
OG0000007	DROME12545	MOUSE09063, MOUSE49748
OG0000007	DROME16994, DROME16993	MOUSE51845, MOUSE20686
OG0000007	DROME17568, DROME17567	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	DROME09292	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807, MOUSE52320, MOUSE49749, MOUSE38483
OG0000007	DROME14142	MOUSE04689, MOUSE37388
OG0000007	DROME19603, DROME19602	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	MOUSE38586, MOUSE06525
OG0000007	DROME21792, DROME00712, DROME00713	MOUSE07031, MOUSE07030
OG0000008	DROME15136	MOUSE35409
OG0000010	DROME09935	MOUSE46557
OG0000010	DROME14854, DROME14851, DROME14852	MOUSE43879
OG0000010	DROME04358	MOUSE16882, MOUSE16884, MOUSE16883, MOUSE16885, MOUSE16872, MOUSE16871, MOUSE17060, MOUSE17058, MOUSE53049
OG0000010	DROME05327, DROME05328, DROME19338, DROME06359, DROME05330, DROME05335, DROME05333, DROME05334, DROME05336, DROME05332, DROME05331, DROME05338, DROME05813, DROME03478, DROME05329, DROME00644, DROME01747, DROME07344, DROME07323, DROME06541, DROME17787, DROME05325	MOUSE43880, MOUSE43876, MOUSE43866, MOUSE43868, MOUSE43865, MOUSE43883, MOUSE43882, MOUSE43870, MOUSE43871, MOUSE39501, MOUSE39500, MOUSE39499, MOUSE39528, MOUSE39527, MOUSE39532, MOUSE39534, MOUSE39533, MOUSE39531, MOUSE39530, MOUSE39535, MOUSE39529, MOUSE39498
OG0000010	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652	MOUSE12661
OG0000012	DROME14687, DROME14686	MOUSE30007, MOUSE30008, MOUSE38315, MOUSE38314
OG0000014	DROME05409, DROME03987	MOUSE04189, MOUSE04186, MOUSE04184, MOUSE04187, MOUSE31054, MOUSE02337, MOUSE14097, MOUSE06495, MOUSE06496, MOUSE06497, MOUSE06101, MOUSE06102, MOUSE06100, MOUSE20912, MOUSE31149, MOUSE31150
