Orthogroup	AENJA_ok	XENTR
OG0000000	AENJA_00110	XENTR08878
OG0000000	AENJA_23461	XENTR18832, XENTR01079, XENTR01080
OG0000000	AENJA_26081	XENTR18066, XENTR08976, XENTR07932
OG0000000	AENJA_24355	XENTR18621
OG0000000	AENJA_09148	XENTR07929
OG0000000	AENJA_23544	XENTR13401, XENTR10509, XENTR10508, XENTR13402
OG0000000	AENJA_09172	XENTR10492, XENTR10560
OG0000000	AENJA_01537	XENTR07734, XENTR13891
OG0000000	AENJA_00111, AENJA_09519	XENTR17298, XENTR05705
OG0000000	AENJA_07481	XENTR12445
OG0000000	AENJA_25905	XENTR07618
OG0000000	AENJA_15854	XENTR07167, XENTR10848, XENTR03338
OG0000000	AENJA_12748	XENTR04390, XENTR05494
OG0000000	AENJA_15855	XENTR10849, XENTR03337
OG0000000	AENJA_12751	XENTR04389
OG0000000	AENJA_05807	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540
OG0000000	AENJA_15859	XENTR08542, XENTR10851, XENTR07169, XENTR03335
OG0000000	AENJA_15861	XENTR10852, XENTR03334, XENTR08541
OG0000000	AENJA_22692	XENTR06295, XENTR04184
OG0000000	AENJA_20015	XENTR03185
OG0000000	AENJA_21459	XENTR04388, XENTR00687, XENTR13779
OG0000000	AENJA_01755	XENTR03327, XENTR07175
OG0000000	AENJA_10279	XENTR14936, XENTR09546
OG0000000	AENJA_05264	XENTR01972, XENTR09547, XENTR08722
OG0000000	AENJA_18954	XENTR12981
OG0000000	AENJA_18955	XENTR06679
OG0000001	AENJA_17575	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247
OG0000002	AENJA_19547, AENJA_15292	XENTR12747
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912
OG0000002	AENJA_05471, AENJA_03252	XENTR17667
OG0000004	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459	XENTR07291
OG0000004	AENJA_18812, AENJA_09022	XENTR16281, XENTR16280, XENTR16356, XENTR16357, XENTR07824, XENTR07823, XENTR07827, XENTR19087, XENTR07826, XENTR18497, XENTR04025, XENTR04024
OG0000005	AENJA_17910, AENJA_16714, AENJA_24985	XENTR05002, XENTR05003
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	XENTR16849, XENTR09568
OG0000006	AENJA_18510	XENTR06019
OG0000006	AENJA_22158	XENTR00026
OG0000006	AENJA_13126	XENTR03474, XENTR03473, XENTR14730
OG0000006	AENJA_02691	XENTR03090, XENTR09060
OG0000006	AENJA_20911	XENTR03954, XENTR14945
OG0000006	AENJA_07226	XENTR00399, XENTR09859
OG0000006	AENJA_22522	XENTR09947, XENTR11692
OG0000006	AENJA_09814	XENTR11329
OG0000006	AENJA_00662	XENTR15046
OG0000006	AENJA_07549, AENJA_15373	XENTR13548
OG0000006	AENJA_18450	XENTR04854, XENTR07280, XENTR07527
OG0000006	AENJA_01590	XENTR07719
OG0000006	AENJA_09210	XENTR12339, XENTR03854, XENTR12781
OG0000007	AENJA_18325	XENTR04989, XENTR07641
OG0000007	AENJA_18163	XENTR10435
OG0000007	AENJA_00810	XENTR12787, XENTR08906, XENTR06676
OG0000007	AENJA_25020	XENTR07000, XENTR07001, XENTR00358, XENTR05826, XENTR00041
OG0000007	AENJA_23908	XENTR10333, XENTR09768, XENTR09769, XENTR02009
OG0000007	AENJA_19234	XENTR03222
OG0000007	AENJA_18326	XENTR07642
OG0000007	AENJA_06479, AENJA_16018	XENTR11347, XENTR18406
OG0000007	AENJA_18328	XENTR04990, XENTR05942
OG0000007	AENJA_09687	XENTR09461, XENTR01137
OG0000007	AENJA_07358	XENTR03031, XENTR06562
OG0000007	AENJA_11277	XENTR16583
OG0000007	AENJA_22886	XENTR07405, XENTR01816
OG0000007	AENJA_16981	XENTR09232, XENTR15271
OG0000008	AENJA_15934, AENJA_26738	XENTR11531, XENTR11530, XENTR00356
OG0000008	AENJA_24404, AENJA_14450	XENTR07747
OG0000008	AENJA_00959	XENTR00105
OG0000009	AENJA_26815, AENJA_17953	XENTR08209
OG0000009	AENJA_22152	XENTR08321, XENTR13550
OG0000010	AENJA_06639	XENTR08588
OG0000010	AENJA_00347	XENTR04584, XENTR06998, XENTR03807
OG0000011	AENJA_26050	XENTR06336, XENTR06335
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	XENTR00246, XENTR14489, XENTR13810, XENTR10002
OG0000012	AENJA_02869	XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256
OG0000014	AENJA_25536	XENTR09147, XENTR00681
OG0000015	AENJA_19636	XENTR15573, XENTR12597, XENTR03461, XENTR00415
OG0000015	AENJA_18653	XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914
OG0000015	AENJA_17614, AENJA_19630	XENTR13566, XENTR03288, XENTR15069
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	XENTR10586, XENTR06233
OG0000016	AENJA_11513	XENTR01362, XENTR01363, XENTR07382
OG0000016	AENJA_26671, AENJA_26677	XENTR12717
OG0000016	AENJA_02781	XENTR17802
OG0000016	AENJA_03282, AENJA_18791, AENJA_08816, AENJA_02864	XENTR18390
OG0000018	AENJA_07360, AENJA_25137	XENTR09178, XENTR08162, XENTR13012, XENTR02564, XENTR05956, XENTR09576, XENTR03694, XENTR00858, XENTR02889, XENTR06547, XENTR13927, XENTR13322, XENTR12397, XENTR08345, XENTR10008, XENTR11346, XENTR19127, XENTR10010
OG0000018	AENJA_03018, AENJA_12247	XENTR19110
OG0000019	AENJA_24818, AENJA_20016	XENTR07225, XENTR02749, XENTR04194
OG0000019	AENJA_14332, AENJA_12746, AENJA_14337, AENJA_14334, AENJA_14338	XENTR03535
OG0000020	AENJA_21688, AENJA_05309	XENTR18565
OG0000020	AENJA_15791	XENTR14576
OG0000020	AENJA_12903	XENTR00311
OG0000020	AENJA_09502	XENTR13299
OG0000020	AENJA_18052	XENTR05411
OG0000020	AENJA_23718, AENJA_02408	XENTR15461, XENTR03248, XENTR03249
OG0000020	AENJA_16929	XENTR04697
OG0000020	AENJA_04727	XENTR07864, XENTR11783
OG0000020	AENJA_10912	XENTR08063
OG0000020	AENJA_14659	XENTR15846
OG0000020	AENJA_12495	XENTR15636
OG0000021	AENJA_14639	XENTR17791, XENTR16377
OG0000021	AENJA_16593	XENTR12641, XENTR02936
OG0000021	AENJA_24950	XENTR18096, XENTR01150
