Orthogroup	YEAST	BRAFL
OG0000000	YEAST00701	bflo_13437, bflo_10712, bflo_10733, bflo_04183, bflo_26461, bflo_26462, bflo_24421, bflo_24425, bflo_09165, bflo_24954, bflo_08798, bflo_09701, bflo_10072, bflo_10147, bflo_10759, bflo_10751, bflo_23278, bflo_16599, bflo_24252, bflo_16111, bflo_10815, bflo_08732, bflo_26435, bflo_10637, bflo_19045, bflo_00450, bflo_00191, bflo_15523, bflo_00189, bflo_00196, bflo_00195, bflo_00192, bflo_00197, bflo_00617, bflo_23916, bflo_00176
OG0000000	YEAST04484	bflo_14857
OG0000006	YEAST01430	bflo_03612
OG0000007	YEAST00671	bflo_00716, bflo_12223, bflo_16800
OG0000007	YEAST01568, YEAST05134	bflo_23091
OG0000011	YEAST02600, YEAST01619	bflo_15626, bflo_20761, bflo_05867, bflo_04324, bflo_26561, bflo_24248, bflo_06820, bflo_27088, bflo_03175, bflo_13676, bflo_15139
OG0000013	YEAST04082	bflo_12936, bflo_11697, bflo_11698, bflo_16773, bflo_16475, bflo_16445, bflo_16476, bflo_12350, bflo_25396, bflo_04269, bflo_21374, bflo_15079, bflo_14235, bflo_24199, bflo_11867, bflo_21976, bflo_21462, bflo_21463, bflo_14721, bflo_14629, bflo_04810, bflo_11784, bflo_21577, bflo_26129, bflo_21900, bflo_25566, bflo_21578, bflo_03861, bflo_16342, bflo_25995, bflo_16188, bflo_16183, bflo_16341, bflo_15584, bflo_14996, bflo_14997, bflo_14998, bflo_00389, bflo_21646, bflo_00400, bflo_21337, bflo_21640, bflo_06006, bflo_21919, bflo_21643, bflo_21642, bflo_21641, bflo_21338
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	bflo_17972, bflo_15593, bflo_15583, bflo_06812, bflo_06282, bflo_09943, bflo_00188, bflo_05813, bflo_02920, bflo_08010, bflo_08009, bflo_26434, bflo_00922, bflo_18033, bflo_03941, bflo_22331, bflo_22489, bflo_01842, bflo_22542, bflo_25978, bflo_21218, bflo_10799, bflo_22565, bflo_06456, bflo_22034, bflo_22564, bflo_21315, bflo_06680, bflo_02758, bflo_20044, bflo_19893, bflo_18525, bflo_05141, bflo_01206, bflo_05905, bflo_04326, bflo_04339, bflo_04331, bflo_06816
OG0000016	YEAST03839, YEAST02807, YEAST03817	bflo_21268, bflo_21464, bflo_21269, bflo_00670, bflo_00496, bflo_00501, bflo_21280, bflo_05402, bflo_07241
OG0000016	YEAST03870, YEAST01103	bflo_22718, bflo_13606, bflo_23097, bflo_23092
OG0000031	YEAST02238	bflo_04592, bflo_05889, bflo_05515, bflo_02310, bflo_00531, bflo_15662, bflo_02624, bflo_02501, bflo_02849, bflo_06021, bflo_25562, bflo_06369, bflo_11397, bflo_15458, bflo_15459, bflo_02405
OG0000034	YEAST04436, YEAST05550, YEAST05115	bflo_20016, bflo_20326, bflo_03308, bflo_13145, bflo_05871, bflo_03310, bflo_07712, bflo_08443, bflo_15884, bflo_03379
OG0000036	YEAST02545, YEAST02806	bflo_13405, bflo_09641, bflo_13747, bflo_13748, bflo_13764, bflo_12886, bflo_13765, bflo_13767, bflo_03188, bflo_08259, bflo_08260, bflo_16423, bflo_16325, bflo_12806, bflo_12805
OG0000037	YEAST03227	bflo_22493, bflo_20015, bflo_20913, bflo_05449, bflo_01064, bflo_01359, bflo_20196, bflo_20199, bflo_20198, bflo_20195, bflo_22823, bflo_01080, bflo_08240, bflo_08475, bflo_08481, bflo_18550, bflo_02879, bflo_10999, bflo_01343, bflo_01342, bflo_10199, bflo_10232, bflo_10192, bflo_10180
OG0000038	YEAST04422, YEAST04379	bflo_03592, bflo_00458, bflo_04809, bflo_16371, bflo_17414, bflo_18868, bflo_18778, bflo_18833, bflo_16788, bflo_05210, bflo_10654, bflo_18855, bflo_11477
