target_id	length	eff_length	est_counts	tpm
rna-XM_035809314.1	4367	4168	151.389	0.953036
rna-XM_035809311.1	7960	7761	442.611	1.4964
rna-XM_035809312.1	2231	2032	1372	17.7163
rna-XM_035809927.1	1635	1436	7	0.127905
rna-XM_035843980.1	1957	1758	133.306	1.98963
rna-XM_035843291.1	2870	2671	2738	26.8969
rna-XM_035843288.1	8290	8091	5223	16.9379
rna-XM_035842700.1	6972	6773	1607	6.22554
rna-XM_035844125.1	7002	6803	5030.08	19.4007
rna-XR_004833096.1	2378	2179	160.502	1.93271
rna-XM_035844220.1	1276	1077	51	1.2425
rna-XR_004833035.1	888	689	5	0.190411
rna-XM_035843555.1	7535	7336	1565	5.59754
rna-XM_035843558.1	1785	1586	937.67	15.5128
rna-XR_004833034.1	1816	1617	558.412	9.06123
rna-XM_035844186.1	2399	2200	6	0.0715601
rna-XM_035843121.1	9611	9412	5052.89	14.0864
rna-XM_035843648.1	681	482	1	0.0544371
rna-XM_035844039.1	1277	1078	3	0.0730205
rna-XM_035843054.1	2787	2588	1432.34	14.5219
rna-XM_035843051.1	4058	3859	510	3.46767
rna-XM_035842353.1	3636	3437	26996	206.093
rna-XM_035842345.1	2562	2363	2685.79	29.8229
rna-XM_035842347.1	2561	2362	4519.85	50.2096
rna-XR_004832958.1	1734	1535	240.839	4.11681
rna-XR_004832955.1	2424	2225	105.928	1.24917
rna-Trnad-guc-16	72	3.52559	0	0
rna-XM_035844096.1	1046	847	11	0.340762
rna-XM_035843374.1	8247	8048	2131	6.94765
rna-XM_035843375.1	7869	7670	161	0.550773
rna-XM_035843378.1	5092	4893	1190	6.38137
rna-XM_035843376.1	1108	909	132	3.81024
rna-XM_035844147.1	4071	3872	858.971	5.82084
rna-XM_035844146.1	5380	5181	5122	25.9399
rna-XR_004833092.1	1294	1095	22.8443	0.547402
rna-XR_004833093.1	941	742	4	0.141449
rna-XM_035843651.1	2352	2153	50.9335	0.620728
rna-XM_035843693.1	1602	1403	103	1.92629
rna-XM_035843699.1	1894	1695	197.26	3.05359
rna-XM_035843654.1	519	320	3.10183	0.254337
rna-XR_004833074.1	339	140	17	3.18613
rna-XM_035843941.1	1880	1681	71.1394	1.11041
rna-XR_004833047.1	1692	1493	0	0
rna-XM_035843767.1	721	522	0	0
rna-XM_035843655.1	1210	1011	2	0.0519064
rna-XM_035843037.1	997	798	0	0
rna-XM_035843038.1	487	288	0	0
gene-LOC118432129	2806	2607	1.3933	0.0140232
rna-XM_035843033.1	1491	1292	0	0
rna-XM_035843036.1	844	645	0	0
rna-XM_035843039.1	476	277	0	0
rna-XM_035843032.1	789	590	0	0
rna-XM_035843034.1	931	732	8.00514	0.286946
rna-XM_035843035.1	906	707	0	0
rna-XM_035843041.1	487	288	0	0
rna-XM_035844128.1	2060	1861	190.812	2.6903
rna-XM_035843657.1	1111	912	18.242	0.52483
rna-XM_035843624.1	2698	2499	67.1358	0.704905
rna-XM_035844189.1	1731	1532	31	0.53094
rna-XM_035843659.1	2798	2599	101	1.01966
rna-XM_035844048.1	3748	3549	10	0.0739327
rna-XM_035844265.1	409	210	0	0
rna-XM_035844256.1	799	600	0	0
rna-XM_035844245.1	1615	1416	0	0
rna-XM_035844269.1	405	206	5.31771	0.677329
rna-XM_035844248.1	719	520	0	0
rna-XM_035844262.1	841	642	1.53426	0.0627055
rna-XM_035843660.1	1019	820	0	0
rna-XR_004833110.1	1293	1094	1	0.0239842
rna-XM_035844231.1	2144	1945	172.958	2.33327
rna-XM_035843661.1	2803	2604	222.638	2.24337
rna-XM_035844249.1	1418	1219	976.071	21.0097
rna-XM_035843662.1	5465	5266	486.358	2.42336
rna-XR_004833109.1	363	164	3	0.479976
rna-XM_035844246.1	2248	2049	1406	18.0047
rna-XM_035844230.1	4579	4380	5588	33.4753
rna-XR_004833108.1	1249	1050	5920.59	147.951
rna-XM_035844234.1	2145	1946	1015	13.6857
rna-XM_035844235.1	2197	1998	929	12.2001
rna-XM_035844236.1	2061	1862	2819.47	39.7311
rna-XM_035844229.1	2417	2218	147	1.73899
rna-XM_035844247.1	1181	982	1550.19	41.4206
rna-XM_035844228.1	4695	4496	1829.59	10.6775
rna-XM_035844232.1	2074	1875	534.772	7.48359
rna-Trnaa-agc-3	73	3.5471	0	0
rna-XM_035844243.1	812	613	0	0
rna-XM_035843667.1	1246	1047	0	0
rna-XM_035844259.1	823	624	0	0
rna-XM_035844258.1	894	695	1.4742	0.0556561
rna-XM_035844266.1	416	217	2.0031	0.242206
rna-XM_035843668.1	2536	2337	4.01892	0.0451224
gene-LOC118432614	1378	1179	0	0
rna-XM_035844238.1	905	706	1	0.0371653
rna-XM_035844237.1	1349	1150	88.769	2.02538
rna-XM_035843669.1	949	750	119.459	4.17926
rna-Trnaa-agc-4	73	3.5471	0	0
rna-XM_035844241.1	1241	1042	0	0
rna-XM_035844253.1	966	767	2.21388	0.0757356
rna-XM_035844261.1	502	303	0	0
rna-XM_035844267.1	606	407	0	0
rna-XM_035844270.1	1373	1174	25.1779	0.562722
rna-XM_035844240.1	1400	1201	0	0
rna-XM_035844257.1	841	642	0	0
rna-XM_035844268.1	603	404	0	0
rna-XM_035844242.1	1362	1163	0	0
rna-XM_035844252.1	965	766	8.7682	0.300347
rna-XM_035844260.1	894	695	0	0
rna-XM_035844263.1	602	403	0	0
rna-XM_035843670.1	2044	1845	0	0
rna-XM_035844239.1	1379	1180	0	0
gene-LOC118432631	619	420	0	0
rna-XM_035844255.1	793	594	2.78526	0.123033
rna-XM_035844029.1	560	361	0	0
rna-XM_035843671.1	3400	3201	8.68356	0.0711794
rna-XR_004833040.1	873	674	48.7216	1.89672
rna-XM_035843643.1	2059	1860	1	0.0141068
rna-XM_035843672.1	735	536	0	0
rna-XM_035844288.1	1096	897	38.643	1.13037
rna-XM_035843674.1	501	302	3.05749	0.265645
rna-XM_035842344.1	826	627	31.0259	1.29837
rna-XM_035843568.1	1595	1396	6.24871	0.117449
rna-XM_035843566.1	1992	1793	120.057	1.75691
rna-XR_004833113.1	1795	1596	0	0
rna-XR_004833111.1	154	7.38779	2	7.10326
rna-XR_004833114.1	3891	3692	5.11455	0.0363486
rna-XM_035843563.1	3856	3657	140.719	1.00965
rna-XM_035843565.1	2398	2199	22.0886	0.263564
rna-XM_035843569.1	2245	2046	30.0758	0.385703
rna-XM_035844043.1	928	729	15.4978	0.557807
rna-XM_035844073.1	1785	1586	84.2555	1.39392
rna-XR_004832965.1	870	671	0	0
rna-XM_035843340.1	2045	1846	2245.63	31.919
rna-XM_035844184.1	1632	1433	0	0
rna-XM_035842343.1	5554	5355	6.48941	0.0317971
rna-XM_035844127.1	7039	6840	11.2625	0.0432037
rna-XM_035843637.1	3606	3407	71	0.5468
rna-XM_035843642.1	1130	931	35.842	1.01015
rna-XM_035843639.1	1743	1544	11.158	0.18962
rna-XM_035842412.1	1090	891	0	0
rna-XR_004832964.1	471	272	4	0.385863
rna-XM_035842427.1	1472	1273	26.6614	0.549537
rna-XM_035843675.1	1038	839	1	0.0312738
rna-XM_035843676.1	3452	3253	4.23868	0.0341892
rna-XM_035843895.1	1922	1723	93.4444	1.42302
rna-XR_004833062.1	984	785	87.4795	2.92401
rna-XR_004833054.1	760	561	6.13856	0.287108
rna-XM_035843678.1	927	728	37	1.33356
rna-XM_035843680.1	1143	944	0	0
rna-XM_035843890.1	1915	1716	139590	2134.41
rna-XM_035843886.1	937	738	3131.95	111.353
rna-XM_035843869.1	1049	850	141	4.35254
rna-XM_035843681.1	7270	7071	398	1.47688
rna-XM_035843682.1	1344	1145	6	0.137495
rna-XM_035843683.1	10252	10053	66	0.172262
rna-XM_035843684.1	1136	937	0	0
rna-XM_035843856.1	2402	2203	4	0.0476418
rna-XM_035843685.1	1665	1466	6	0.107389
rna-XM_035843686.1	3033	2834	3	0.0277756
rna-XM_035843688.1	2386	2187	65	0.779842
rna-Trnas-aga-4	82	3.75521	0	0
rna-XM_035843689.1	2448	2249	16	0.186669
rna-XM_035843690.1	5148	4949	1474	7.81488
rna-XM_035843882.1	4833	4634	2794.74	15.8244
rna-XR_004833064.1	2504	2305	65.2649	0.742935
rna-XM_035843868.1	1557	1358	477.19	9.22007
rna-XM_035843860.1	1779	1580	4.00433	0.066499
rna-XR_004833059.1	2173	1974	11.8912	0.158059
rna-XM_035843691.1	6438	6239	1303	5.47989
rna-XM_035843881.1	1137	938	1015	28.3926
rna-XM_035843853.1	4413	4214	316	1.96759
rna-XM_035843692.1	2610	2411	1	0.0108829
rna-XM_035843694.1	2010	1811	34.8704	0.50522
rna-XR_004833066.1	1044	845	2	0.0621034
rna-XM_035843878.1	1019	820	8.61209	0.275573
rna-XM_035843888.1	664	465	7386.15	416.78
rna-XR_004833057.1	1137	938	174.638	4.88516
rna-XM_035843865.1	2966	2767	397.883	3.77301
rna-XR_004833056.1	1838	1639	99.4024	1.59133
rna-XR_004833071.1	986	787	66.4164	2.21433
rna-XM_035843892.1	628	429	9.48516	0.580136
rna-XR_004833051.1	1094	895	32.3838	0.949395
rna-XM_035843695.1	1102	903	174.409	5.06785
rna-XM_035843696.1	2580	2381	0	0
rna-XM_035843893.1	535	336	6.50122	0.507689
rna-XM_035843875.1	1192	993	46.8411	1.23771
rna-XM_035843697.1	360	161	0	0
rna-XM_035843700.1	747	548	0	0
rna-XM_035843701.1	1397	1198	0	0
rna-XM_035843702.1	471	272	0	0
rna-XM_035843703.1	1061	862	1	0.0304393
rna-XR_004833055.1	735	536	26.6156	1.30291
rna-XM_035843857.1	2817	2618	6736.43	67.5153
rna-XM_035843704.1	1527	1328	134.085	2.64926
rna-XM_035843705.1	1692	1493	9	0.15817
rna-XM_035843706.1	1302	1103	1.04903	0.0249548
rna-XM_035843707.1	813	614	0	0
rna-XM_035843709.1	1236	1037	2	0.050605
rna-XM_035843711.1	588	389	0	0
rna-XM_035843887.1	1243	1044	0	0
rna-XM_035843712.1	693	494	0	0
rna-XM_035843889.1	673	474	0	0
rna-XM_035843713.1	1779	1580	80	1.32854
rna-XM_035843861.1	1943	1744	24.2726	0.365184
rna-XM_035843870.1	1772	1573	40.4377	0.674529
rna-XM_035843714.1	734	535	6.45663	0.316661
rna-XM_035843715.1	1104	905	3.76132	0.109052
rna-XR_004833063.1	373	174	2.85842	0.431042
rna-XM_035843716.1	3573	3374	9.14158	0.0710916
rna-XM_035843859.1	2068	1869	19	0.266739
rna-XM_035843880.1	1623	1424	47	0.866025
rna-XM_035843717.1	1735	1536	21	0.358732
rna-XM_035843867.1	2601	2402	5.13741	0.0561194
rna-XR_004833067.1	738	539	0	0
rna-XM_035843719.1	636	437	1	0.0600428
rna-XM_035843894.1	569	370	2	0.141831
rna-XM_035843722.1	2325	2126	4	0.0493673
rna-XM_035843723.1	628	429	20	1.22325
rna-XM_035843885.1	3020	2821	416.822	3.87694
rna-XM_035843724.1	711	512	34.3486	1.76028
rna-XM_035843725.1	861	662	0	0
rna-XM_035843726.1	1170	971	4	0.108089
gene-LOC118432198	1634	1435	19	0.347411
rna-XM_035843727.1	1182	983	15.9984	0.427038
rna-XM_035843729.1	1338	1139	22.6973	0.522868
rna-XM_035843730.1	4421	4222	50.1795	0.311854
rna-XM_035843731.1	1038	839	1.57908	0.0493837
rna-XM_035843732.1	1008	809	577.953	18.745
rna-XR_004833070.1	3087	2888	145.358	1.32064
rna-XM_035843864.1	2689	2490	572.578	6.03362
rna-XR_004833058.1	366	167	0	0
rna-XR_004833061.1	325	126	16.2392	3.38172
rna-XM_035843851.1	6043	5844	14	0.0628579
rna-XM_035843733.1	1840	1641	2	0.0319789
rna-XM_035843873.1	1336	1137	1	0.0230771
rna-XM_035843734.1	1260	1061	1	0.0247302
rna-XM_035843735.1	831	632	5	0.207585
rna-XM_035843737.1	1503	1304	6	0.12073
rna-XR_004833069.1	407	208	2	0.252295
rna-XM_035843872.1	1340	1141	6.01592	0.138343
rna-XM_035843858.1	1817	1618	8.13065	0.131853
rna-XR_004833068.1	424	225	0.153062	0.0178495
rna-XM_035843738.1	1062	863	12	0.364849
rna-XR_004833065.1	438	239	0	0
rna-XM_035843740.1	1422	1223	1	0.0214544
rna-XM_035843879.1	1064	865	7.10764	0.215602
rna-XM_035844272.1	865	666	3	0.118192
rna-XM_035843741.1	1908	1709	36.9019	0.566564
rna-XM_035843742.1	2376	2177	4.52703	0.0545629
rna-XM_035843746.1	3816	3617	661.786	4.80077
rna-XM_035843283.1	3536	3337	2617	20.5774
rna-XM_035844049.1	892	693	1420.95	53.8005
rna-XR_004833037.1	1150	951	34.144	0.942056
rna-XM_035843306.1	1223	1024	1557	39.8961
rna-XM_035843303.1	1903	1704	5518	84.9678
rna-XM_035843305.1	1461	1262	5	0.103957
rna-XM_035843061.1	1076	877	5	0.149594
rna-XM_035843064.1	1096	897	745	21.7925
rna-XM_035843062.1	2301	2102	2939.07	36.6876
rna-XM_035843067.1	1491	1292	709	14.3988
rna-XM_035843066.1	1152	953	633	17.4282
rna-XM_035843134.1	4012	3813	3283	22.5916
