Orthogroup	AENJA_ok	AMPFI_ok
OG0000000	AENJA_00110	AMPFI_12098
OG0000000	AENJA_23461	AMPFI_16114
OG0000000	AENJA_26081	AMPFI_11894
OG0000000	AENJA_23544	AMPFI_12336
OG0000000	AENJA_06471	AMPFI_16025
OG0000000	AENJA_01537	AMPFI_08228
OG0000000	AENJA_07481	AMPFI_02168
OG0000000	AENJA_25905	AMPFI_10716
OG0000000	AENJA_12751	AMPFI_19781
OG0000000	AENJA_05798	AMPFI_22359
OG0000000	AENJA_05802	AMPFI_25019
OG0000000	AENJA_19519	AMPFI_04297
OG0000000	AENJA_10529	AMPFI_05560
OG0000000	AENJA_21459	AMPFI_20876
OG0000000	AENJA_10279	AMPFI_21326
OG0000000	AENJA_18954	AMPFI_01589
OG0000000	AENJA_18955	AMPFI_10655
OG0000001	AENJA_18147	AMPFI_17506, AMPFI_20898
OG0000001	AENJA_16489	AMPFI_19192
OG0000001	AENJA_05757	AMPFI_06127
OG0000001	AENJA_05760	AMPFI_11237, AMPFI_13782
OG0000001	AENJA_26229	AMPFI_23521
OG0000001	AENJA_16692	AMPFI_21297
OG0000001	AENJA_04483	AMPFI_23234
OG0000001	AENJA_26118, AENJA_17575	AMPFI_18148, AMPFI_13477
OG0000001	AENJA_09293	AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689
OG0000001	AENJA_01446	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487
OG0000001	AENJA_05207, AENJA_05206	AMPFI_00879
OG0000002	AENJA_03072	AMPFI_23102
OG0000002	AENJA_22707, AENJA_19254, AENJA_03627	AMPFI_05274, AMPFI_05275, AMPFI_21942
OG0000002	AENJA_00531	AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709
OG0000002	AENJA_22262	AMPFI_23336
OG0000002	AENJA_05471, AENJA_03252	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663
OG0000003	AENJA_03925	AMPFI_15515
OG0000003	AENJA_21348	AMPFI_04384
OG0000003	AENJA_04022	AMPFI_16210, AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419, AMPFI_16064
OG0000003	AENJA_16645	AMPFI_25889
OG0000003	AENJA_13805	AMPFI_10369
OG0000003	AENJA_21345	AMPFI_18906
OG0000003	AENJA_06628	AMPFI_13080
OG0000003	AENJA_20973	AMPFI_00462
OG0000003	AENJA_03277, AENJA_12218	AMPFI_13340, AMPFI_02133, AMPFI_10984
OG0000003	AENJA_18598	AMPFI_13136, AMPFI_02273
OG0000003	AENJA_02043	AMPFI_16630, AMPFI_04001, AMPFI_18895, AMPFI_14207, AMPFI_01423, AMPFI_22677, AMPFI_02209, AMPFI_22111, AMPFI_23718, AMPFI_14216
OG0000003	AENJA_22000	AMPFI_11534
OG0000003	AENJA_05435	AMPFI_25043
OG0000003	AENJA_21667	AMPFI_11583
OG0000003	AENJA_15873	AMPFI_15510
OG0000003	AENJA_00543	AMPFI_09604
OG0000004	AENJA_08681, AENJA_23847	AMPFI_08378
OG0000004	AENJA_16036	AMPFI_12413
OG0000004	AENJA_03959	AMPFI_00336
OG0000004	AENJA_15703	AMPFI_07977
OG0000004	AENJA_07458, AENJA_04481	AMPFI_11893
OG0000004	AENJA_23393, AENJA_18495	AMPFI_01544, AMPFI_02173, AMPFI_17454, AMPFI_17455
OG0000004	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459	AMPFI_11374, AMPFI_01179
OG0000004	AENJA_18812, AENJA_09022	AMPFI_04189
OG0000004	AENJA_05320	AMPFI_03317
OG0000004	AENJA_17546	AMPFI_24981, AMPFI_23786
OG0000004	AENJA_08909	AMPFI_20231
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	AMPFI_18504
OG0000005	AENJA_12050	AMPFI_17853
OG0000005	AENJA_07538	AMPFI_25233
OG0000005	AENJA_09524, AENJA_07535, AENJA_03459, AENJA_00744, AENJA_03458, AENJA_12049, AENJA_03583, AENJA_26129	AMPFI_18823
OG0000005	AENJA_02291, AENJA_00056, AENJA_09464	AMPFI_12557, AMPFI_17233, AMPFI_06946
OG0000006	AENJA_18239	AMPFI_24001
OG0000006	AENJA_18510	AMPFI_22470
OG0000006	AENJA_20911	AMPFI_22262
OG0000006	AENJA_07226	AMPFI_00206
OG0000006	AENJA_22522	AMPFI_02520
OG0000006	AENJA_18450	AMPFI_18507
OG0000006	AENJA_01590	AMPFI_06099
OG0000006	AENJA_09210	AMPFI_17130
OG0000006	AENJA_15474	AMPFI_12555
OG0000007	AENJA_18163	AMPFI_02812
OG0000007	AENJA_00810	AMPFI_07094
OG0000007	AENJA_06479, AENJA_16018	AMPFI_15871
OG0000007	AENJA_09687	AMPFI_26059
OG0000007	AENJA_07358	AMPFI_15806
OG0000007	AENJA_11277	AMPFI_22204
OG0000007	AENJA_22886	AMPFI_08786
OG0000007	AENJA_20902	AMPFI_17089
OG0000007	AENJA_16981	AMPFI_21281
OG0000007	AENJA_26507	AMPFI_23280
OG0000008	AENJA_15934, AENJA_26738	AMPFI_03619
OG0000008	AENJA_24404, AENJA_14450	AMPFI_18464
OG0000008	AENJA_21421, AENJA_04271	AMPFI_10761
OG0000008	AENJA_00959	AMPFI_13893
OG0000009	AENJA_04378	AMPFI_04649
OG0000009	AENJA_03345, AENJA_13762, AENJA_13658, AENJA_07747	AMPFI_18552, AMPFI_07288
OG0000009	AENJA_00113, AENJA_11818	AMPFI_05115
OG0000009	AENJA_00671	AMPFI_03236
OG0000009	AENJA_02891	AMPFI_20093
OG0000009	AENJA_22348, AENJA_01926	AMPFI_02845
OG0000009	AENJA_09256	AMPFI_03747
OG0000009	AENJA_15566	AMPFI_04561
OG0000009	AENJA_12645	AMPFI_06910
OG0000009	AENJA_26356, AENJA_04329	AMPFI_07658
OG0000009	AENJA_26815, AENJA_17953	AMPFI_02892, AMPFI_01981, AMPFI_16576
OG0000009	AENJA_09863, AENJA_04684, AENJA_26490, AENJA_11530	AMPFI_00045
OG0000009	AENJA_22062	AMPFI_02292, AMPFI_07211, AMPFI_22078
OG0000009	AENJA_04430, AENJA_13761, AENJA_01619, AENJA_12594, AENJA_08938	AMPFI_01799
OG0000009	AENJA_12021, AENJA_05571	AMPFI_20474
OG0000009	AENJA_12773	AMPFI_23431
OG0000009	AENJA_23978, AENJA_05392, AENJA_05099	AMPFI_16179
OG0000009	AENJA_11504	AMPFI_02801
OG0000009	AENJA_00189	AMPFI_00566, AMPFI_18142, AMPFI_18445, AMPFI_06909
OG0000009	AENJA_18570	AMPFI_14660
OG0000010	AENJA_14735	AMPFI_14307, AMPFI_14306, AMPFI_02722
OG0000011	AENJA_16502	AMPFI_23867, AMPFI_22257
OG0000011	AENJA_19273	AMPFI_16294
OG0000011	AENJA_03543	AMPFI_20107
OG0000011	AENJA_06710	AMPFI_19772, AMPFI_15721, AMPFI_18664, AMPFI_20201, AMPFI_15511
OG0000011	AENJA_18099	AMPFI_25424
OG0000011	AENJA_11078, AENJA_01925, AENJA_24659, AENJA_13168	AMPFI_17952, AMPFI_21604
OG0000011	AENJA_10554, AENJA_20178, AENJA_19192	AMPFI_19936
OG0000011	AENJA_02877, AENJA_17352	AMPFI_13004, AMPFI_17028, AMPFI_02695, AMPFI_10672
OG0000011	AENJA_20291, AENJA_06516, AENJA_22650	AMPFI_21616
OG0000011	AENJA_14414	AMPFI_12025
OG0000011	AENJA_17241, AENJA_22685, AENJA_26020	AMPFI_12525, AMPFI_04893
OG0000011	AENJA_21547	AMPFI_09690
OG0000011	AENJA_08871, AENJA_09595, AENJA_20150	AMPFI_20832
OG0000011	AENJA_21384	AMPFI_15607
OG0000011	AENJA_24664	AMPFI_25605, AMPFI_02937, AMPFI_03824
OG0000011	AENJA_01682	AMPFI_05936, AMPFI_19795
OG0000011	AENJA_22850	AMPFI_03008, AMPFI_02519
OG0000011	AENJA_09100	AMPFI_19543, AMPFI_24100
OG0000011	AENJA_12186	AMPFI_13285
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861	AMPFI_05035, AMPFI_18913
OG0000012	AENJA_00771	AMPFI_24214, AMPFI_11332, AMPFI_02225
OG0000012	AENJA_09696, AENJA_09697	AMPFI_15893
OG0000013	AENJA_14640	AMPFI_22877
OG0000013	AENJA_11516	AMPFI_15921, AMPFI_25074, AMPFI_24928, AMPFI_06132
