Orthogroup	BRALA	LYTVA_ok
OG0000000	BRALA25846, BRALA11737	LYTVA_09514
OG0000000	BRALA16375, BRALA16376	LYTVA_01679
OG0000000	BRALA00047	LYTVA_23170
OG0000000	BRALA19584, BRALA19585, BRALA25857	LYTVA_01380
OG0000000	BRALA25847	LYTVA_25096
OG0000000	BRALA24482	LYTVA_01827
OG0000000	BRALA16262	LYTVA_18988
OG0000000	BRALA16263	LYTVA_18985
OG0000000	BRALA29522	LYTVA_13103
OG0000000	BRALA21349	LYTVA_27688
OG0000000	BRALA18600	LYTVA_21959
OG0000000	BRALA28387	LYTVA_22602
OG0000000	BRALA21476	LYTVA_19974
OG0000000	BRALA00440	LYTVA_27704
OG0000000	BRALA00115	LYTVA_08678
OG0000000	BRALA11734	LYTVA_23667
OG0000000	BRALA00119, BRALA00120, BRALA00121	LYTVA_22477
OG0000000	BRALA00118	LYTVA_22480
OG0000000	BRALA00439, BRALA26541	LYTVA_23047
OG0000000	BRALA00079	LYTVA_14838
OG0000000	BRALA34448	LYTVA_06897, LYTVA_22068
OG0000000	BRALA00125, BRALA00124	LYTVA_22476
OG0000000	BRALA11733	LYTVA_22714
OG0000000	BRALA00135	LYTVA_19015
OG0000000	BRALA30674	LYTVA_26599
OG0000000	BRALA30673	LYTVA_17046
OG0000000	BRALA17840	LYTVA_23351
OG0000001	BRALA22324, BRALA14825	LYTVA_16225
OG0000001	BRALA19588, BRALA19586	LYTVA_04837, LYTVA_04757, LYTVA_28493, LYTVA_09014, LYTVA_04284, LYTVA_06287, LYTVA_18436, LYTVA_05266, LYTVA_22102, LYTVA_14761, LYTVA_05815, LYTVA_12818, LYTVA_24053, LYTVA_08107, LYTVA_24049, LYTVA_11602
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	LYTVA_28398
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674
OG0000003	BRALA33939, BRALA01916	LYTVA_23292
OG0000003	BRALA03414	LYTVA_26275
OG0000003	BRALA07140	LYTVA_06976
OG0000003	BRALA02712, BRALA07571, BRALA14502	LYTVA_11643
OG0000003	BRALA23910	LYTVA_27358
OG0000004	BRALA03960	LYTVA_13802
OG0000004	BRALA08526	LYTVA_04400
OG0000004	BRALA02003, BRALA02015	LYTVA_11730
OG0000005	BRALA25414, BRALA34368	LYTVA_24142
OG0000005	BRALA00382	LYTVA_01017
OG0000005	BRALA15577, BRALA04488	LYTVA_15338, LYTVA_23825
OG0000005	BRALA15287	LYTVA_21111
OG0000006	BRALA03676	LYTVA_27651
OG0000006	BRALA06686	LYTVA_15901
OG0000006	BRALA19242	LYTVA_21289
OG0000006	BRALA06109	LYTVA_12321
OG0000006	BRALA07568, BRALA29276	LYTVA_25253
OG0000006	BRALA22280	LYTVA_07373
OG0000006	BRALA06185	LYTVA_23957
OG0000006	BRALA06182, BRALA06186	LYTVA_14827
OG0000006	BRALA17603	LYTVA_29757
OG0000006	BRALA03602	LYTVA_18169
OG0000006	BRALA24372	LYTVA_29412, LYTVA_25462
OG0000006	BRALA24993	LYTVA_16832
OG0000006	BRALA24994	LYTVA_16844
OG0000006	BRALA22628	LYTVA_08878
OG0000007	BRALA03259	LYTVA_29912
OG0000007	BRALA13447, BRALA13448	LYTVA_22273
OG0000007	BRALA20872, BRALA20870	LYTVA_23216
OG0000007	BRALA09541	LYTVA_18159
OG0000007	BRALA11149	LYTVA_29395
OG0000007	BRALA03260	LYTVA_10898
OG0000007	BRALA03286	LYTVA_17245
OG0000007	BRALA03282	LYTVA_04121
OG0000007	BRALA25787	LYTVA_25288
OG0000007	BRALA26097, BRALA14947	LYTVA_03206
OG0000007	BRALA22487	LYTVA_12379, LYTVA_12378
OG0000007	BRALA06491	LYTVA_12480
OG0000007	BRALA18647	LYTVA_06652
OG0000007	BRALA23348	LYTVA_22810, LYTVA_20192
OG0000007	BRALA05625	LYTVA_19839
OG0000007	BRALA30788	LYTVA_05177
OG0000008	BRALA27338	LYTVA_21710
OG0000008	BRALA19914	LYTVA_29228
