Orthogroup	PFLAV	HUMAN
OG0000000	TCONS_00026365.p1	HUMAN22097, HUMAN03752
OG0000000	TCONS_00019737.p1	HUMAN27271, HUMAN18431
OG0000000	TCONS_00027826.p1	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	TCONS_00026910.p1	HUMAN03687, HUMAN17114, HUMAN03688
OG0000000	TCONS_00026612.p1	HUMAN03743, HUMAN22196
OG0000000	TCONS_00026711.p1	HUMAN03805, HUMAN22626
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	HUMAN29337, HUMAN01254
OG0000000	TCONS_00018852.p1	HUMAN28889, HUMAN05731
OG0000000	TCONS_00017786.p1	HUMAN05644
OG0000000	TCONS_00026487.p1	HUMAN03433
OG0000000	TCONS_00010493.p1	HUMAN02527
OG0000000	TCONS_00032259.p1	HUMAN17907, HUMAN26096
OG0000000	TCONS_00043772.p1	HUMAN07512, HUMAN22413
OG0000000	TCONS_00032260.p1	HUMAN12896, HUMAN26097
OG0000000	TCONS_00043771.p1	HUMAN07513
OG0000000	TCONS_00032269.p1	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515
OG0000000	TCONS_00032262.p1	HUMAN26099, HUMAN06518, HUMAN12899
OG0000000	TCONS_00032264.p1	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	TCONS_00019139.p1	HUMAN27325, HUMAN27326
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	HUMAN12743, HUMAN26016
OG0000000	TCONS_00027510.p1	HUMAN22154, HUMAN24253
OG0000000	TCONS_00032270.p1	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104
OG0000000	TCONS_00042478.p1	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	TCONS_00031629.p1	HUMAN26107, HUMAN17898
OG0000000	TCONS_00026601.p1	HUMAN22230
OG0000000	TCONS_00026600.p1	HUMAN27580, HUMAN03523, HUMAN24243
OG0000000	TCONS_00009627.p1	HUMAN18756
OG0000000	TCONS_00009628.p1	HUMAN08319
