Orthogroup	ORYLA	STRPU_ok
OG0000000	ORYLA04928	STRPU_10146, STRPU_10084
OG0000000	ORYLA07037, ORYLA08538	STRPU_22262
OG0000000	ORYLA05297	STRPU_10304
OG0000000	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	STRPU_10083, STRPU_10145
OG0000000	ORYLA18170	STRPU_10015
OG0000000	ORYLA02858, ORYLA12900	STRPU_19865, STRPU_19892
OG0000000	ORYLA03677	STRPU_02929
OG0000000	ORYLA11446	STRPU_20780
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	STRPU_23206
OG0000000	ORYLA04170, ORYLA18990	STRPU_05654
OG0000000	ORYLA15771	STRPU_23203
OG0000000	ORYLA09108	STRPU_05390
OG0000000	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160	STRPU_23197, STRPU_23198
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	STRPU_23194
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	STRPU_23756
OG0000000	ORYLA08225, ORYLA06162	STRPU_22253
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	STRPU_09852
OG0000000	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617	STRPU_23199
OG0000000	ORYLA01029, ORYLA04459	STRPU_05830
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	STRPU_23207
OG0000000	ORYLA17729, ORYLA05044, ORYLA00932	STRPU_10189
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	STRPU_09890
OG0000000	ORYLA11797, ORYLA10603	STRPU_21017
OG0000000	ORYLA10060	STRPU_21014
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	ORYLA01767, ORYLA01768, ORYLA01766, ORYLA07199, ORYLA07206, ORYLA07208, ORYLA07207	STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262
