Orthogroup	XENTR	CAPO3
OG0000003	XENTR17803, XENTR03273	CAPO301945
OG0000005	XENTR05002, XENTR05003, XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106, XENTR09142, XENTR16849, XENTR09568	CAPO308356, CAPO307946
OG0000007	XENTR09461, XENTR01137, XENTR03031, XENTR06562	CAPO304209
OG0000007	XENTR16583	CAPO303284
OG0000007	XENTR09232, XENTR15271	CAPO300935
OG0000012	XENTR00246, XENTR14489, XENTR13810, XENTR10002, XENTR07259, XENTR07258, XENTR07257, XENTR07260, XENTR18170, XENTR07256	CAPO302923, CAPO302931
OG0000015	XENTR05642, XENTR10336, XENTR08668, XENTR08442, XENTR15573, XENTR12597, XENTR03461, XENTR00415, XENTR17900, XENTR14250, XENTR15058, XENTR02840, XENTR16072, XENTR03462, XENTR16073, XENTR12596, XENTR00414, XENTR17914, XENTR13566, XENTR03288, XENTR15069	CAPO302521
OG0000016	XENTR10586, XENTR06233	CAPO300049
OG0000016	XENTR01362, XENTR01363, XENTR07382, XENTR09539, XENTR00630	CAPO304360
OG0000016	XENTR12717	CAPO306803
OG0000016	XENTR17802	CAPO303259
OG0000016	XENTR18390	CAPO300936
OG0000023	XENTR02017, XENTR13173, XENTR18800, XENTR18648, XENTR00841, XENTR15918, XENTR00481, XENTR16829, XENTR12543, XENTR17774, XENTR00784, XENTR13097, XENTR04037, XENTR05209, XENTR05210, XENTR05772, XENTR05769, XENTR05767, XENTR05768, XENTR05773, XENTR05777, XENTR05778, XENTR12643, XENTR01709, XENTR01708, XENTR05774, XENTR05776, XENTR05775, XENTR18976	CAPO307690
OG0000029	XENTR18699, XENTR18411, XENTR10325, XENTR07438, XENTR16899, XENTR09562, XENTR10017, XENTR09646, XENTR13058, XENTR12335, XENTR11755, XENTR10534, XENTR08766, XENTR16200, XENTR13220, XENTR01288, XENTR01283, XENTR11880, XENTR11878, XENTR11881, XENTR11879, XENTR11883	CAPO307131
OG0000030	XENTR08639	CAPO300110
OG0000030	XENTR18375, XENTR18219, XENTR14147, XENTR17120, XENTR14281, XENTR00656, XENTR05598, XENTR12816	CAPO305356, CAPO301638, CAPO307563
OG0000031	XENTR00229	CAPO303729
OG0000031	XENTR02595, XENTR11133	CAPO302122
OG0000035	XENTR05239, XENTR05079, XENTR05317, XENTR05866, XENTR05867, XENTR07648, XENTR17453, XENTR14129, XENTR07651, XENTR11799, XENTR11499, XENTR11381, XENTR11382, XENTR12076, XENTR01605, XENTR09858, XENTR13293, XENTR09857	CAPO307346, CAPO308354
OG0000039	XENTR03946, XENTR03945	CAPO306958, CAPO306959
OG0000041	XENTR14135, XENTR16713, XENTR17286, XENTR13662, XENTR02569, XENTR12683, XENTR11379, XENTR11378, XENTR01609, XENTR11377, XENTR01610, XENTR10042, XENTR03001, XENTR09331, XENTR13929, XENTR05159, XENTR10869	CAPO308025, CAPO306861
