TCONS_00011438.p1	HUMAN04755
TCONS_00018917.p1	HUMAN20747
TCONS_00012825.p1	HUMAN10276
TCONS_00008299.p1	HUMAN02209
TCONS_00022795.p1	HUMAN18345
TCONS_00021307.p1	HUMAN07623
TCONS_00013197.p1	HUMAN25921
TCONS_00041068.p1	HUMAN28152
TCONS_00016579.p1	HUMAN01280
TCONS_00042611.p1	HUMAN05270
TCONS_00027683.p1	HUMAN22063
TCONS_00004749.p1	HUMAN07245
TCONS_00004763.p1	HUMAN27928
TCONS_00015797.p1	HUMAN10426
TCONS_00047619.p1	HUMAN01428
TCONS_00044845.p1	HUMAN19270
TCONS_00020836.p1	HUMAN28596
TCONS_00022746.p1	HUMAN21679
TCONS_00029651.p1	HUMAN21178
TCONS_00050471.p1	HUMAN06827
TCONS_00007927.p1	HUMAN15217
TCONS_00042938.p1	HUMAN07564
TCONS_00054133.p1	HUMAN23362
TCONS_00055278.p1	HUMAN15890
TCONS_00017745.p1	HUMAN16648
TCONS_00043597.p1	HUMAN07423
TCONS_00043303.p1	HUMAN22347
TCONS_00032267.p1	HUMAN12904
TCONS_00020845.p1	HUMAN17619
TCONS_00042612.p1	HUMAN05264
TCONS_00034486.p1	HUMAN05638
TCONS_00055453.p1	HUMAN18278
TCONS_00000180.p1	HUMAN00733
TCONS_00013883.p1	HUMAN20181
TCONS_00045360.p1	HUMAN18946
TCONS_00053637.p1	HUMAN23408
TCONS_00026173.p1	HUMAN22265
TCONS_00036921.p1	HUMAN05839
TCONS_00011196.p1	HUMAN08931
TCONS_00053818.p1	HUMAN00953
TCONS_00028994.p1	HUMAN01613
TCONS_00028354.p1	HUMAN01852
TCONS_00027368.p1	HUMAN22282
TCONS_00014313.p1	HUMAN12981
TCONS_00006024.p1	HUMAN04641
TCONS_00018639.p1	HUMAN08203
TCONS_00011194.p1	HUMAN25748
TCONS_00004052.p1	HUMAN27203
TCONS_00004803.p1	HUMAN13042
TCONS_00043278.p1	HUMAN22299
TCONS_00051328.p1	HUMAN05574
TCONS_00016689.p1	HUMAN29158
TCONS_00020008.p1	HUMAN02809
TCONS_00052757.p1	HUMAN14184
TCONS_00000270.p1	HUMAN19384
TCONS_00002156.p1	HUMAN25396
TCONS_00032370.p1	HUMAN02074
TCONS_00044141.p1	HUMAN03691
TCONS_00022504.p1	HUMAN17460
TCONS_00026655.p1	HUMAN03759
TCONS_00029121.p1	HUMAN01780
TCONS_00022231.p1	HUMAN00106
TCONS_00012766.p1	HUMAN13585
TCONS_00043409.p1	HUMAN23790
TCONS_00042632.p1	HUMAN07490
TCONS_00014585.p1	HUMAN13594
TCONS_00049273.p1	HUMAN06151
TCONS_00040372.p1	HUMAN05609
TCONS_00047309.p1	HUMAN21015
TCONS_00014129.p1	HUMAN13179
TCONS_00054210.p1	HUMAN00909
TCONS_00028162.p1	HUMAN28770
TCONS_00048268.p1	HUMAN20332
TCONS_00044664.p1	HUMAN07320
