Orthogroup	HUMAN	HELIO_ok
OG0000000	HUMAN22097, HUMAN03752	HELIO_01999
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	HELIO_08880
OG0000000	HUMAN03744, HUMAN03743, HUMAN22196	HELIO_06752
OG0000000	HUMAN27740, HUMAN03805, HUMAN22626	HELIO_10666
OG0000000	HUMAN05644	HELIO_03148
OG0000000	HUMAN03433	HELIO_02157
OG0000000	HUMAN02527	HELIO_11687
OG0000000	HUMAN07513	HELIO_04988
OG0000000	HUMAN27325, HUMAN27326	HELIO_00534
OG0000000	HUMAN22154, HUMAN24253	HELIO_08573
OG0000000	HUMAN26107, HUMAN17898	HELIO_06829
OG0000000	HUMAN18756	HELIO_00816
OG0000000	HUMAN08319	HELIO_04090
OG0000001	HUMAN14511	HELIO_00196, HELIO_00018, HELIO_00128
OG0000001	HUMAN10621, HUMAN10623	HELIO_06891, HELIO_10957
OG0000002	HUMAN22770	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154, HELIO_04237
OG0000002	HUMAN04207, HUMAN20269	HELIO_05342, HELIO_01248
OG0000002	HUMAN20270	HELIO_06844
OG0000004	HUMAN26466	HELIO_05213
OG0000005	HUMAN01465	HELIO_04655
OG0000006	HUMAN20053	HELIO_00413
OG0000006	HUMAN00944	HELIO_09248
OG0000006	HUMAN01388, HUMAN06884, HUMAN04380	HELIO_08707, HELIO_08259, HELIO_08264
OG0000006	HUMAN18782, HUMAN18784, HUMAN18783, HUMAN08640	HELIO_06349
OG0000006	HUMAN25905	HELIO_00150
OG0000006	HUMAN23524	HELIO_12770
OG0000006	HUMAN14338, HUMAN14017	HELIO_08890
OG0000006	HUMAN22793, HUMAN22791, HUMAN22792, HUMAN03581, HUMAN23822, HUMAN23823	HELIO_11381, HELIO_00450
OG0000006	HUMAN08856, HUMAN19716	HELIO_08227
OG0000006	HUMAN08442, HUMAN17032, HUMAN15898	HELIO_06418
OG0000007	HUMAN24418, HUMAN11538	HELIO_01296
OG0000007	HUMAN09570, HUMAN28803	HELIO_10106
