Orthogroup	SCHMD	SACKO_ok
OG0000000	SCHMD15791	SACKO_11053
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	SACKO_12749
OG0000000	SCHMD09645	SACKO_19677
OG0000000	SCHMD20523, SCHMD24588	SACKO_05553
OG0000000	SCHMD03805	SACKO_16683
OG0000000	SCHMD20256, SCHMD22099	SACKO_25799
OG0000000	SCHMD07815	SACKO_25349, SACKO_25351, SACKO_24146, SACKO_24093, SACKO_24170
OG0000000	SCHMD09133, SCHMD27825	SACKO_08208, SACKO_08197
OG0000000	SCHMD03766	SACKO_03962
OG0000000	SCHMD27182, SCHMD16896	SACKO_19489
OG0000000	SCHMD28523	SACKO_26485
OG0000000	SCHMD18969	SACKO_24012
OG0000000	SCHMD08046	SACKO_24040
OG0000000	SCHMD22390, SCHMD21735	SACKO_24002, SACKO_24009
OG0000000	SCHMD21303	SACKO_26673
OG0000000	SCHMD01868	SACKO_31872
OG0000000	SCHMD24693	SACKO_22872
OG0000000	SCHMD05281, SCHMD04291	SACKO_31901
OG0000000	SCHMD13268	SACKO_31899, SACKO_11978, SACKO_12011
OG0000001	SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603	SACKO_18839
OG0000002	SCHMD15297	SACKO_21130, SACKO_13458
OG0000002	SCHMD02695	SACKO_00245, SACKO_00252
OG0000003	SCHMD00325	SACKO_27116
OG0000003	SCHMD11370	SACKO_14086, SACKO_03045
OG0000005	SCHMD06848	SACKO_14812
OG0000005	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757	SACKO_15042
OG0000005	SCHMD06849	SACKO_29311, SACKO_26465, SACKO_26431
OG0000005	SCHMD15919	SACKO_03236, SACKO_00899, SACKO_02650, SACKO_00900
OG0000006	SCHMD07888, SCHMD24507	SACKO_23311, SACKO_02952
OG0000006	SCHMD08632	SACKO_15269
OG0000006	SCHMD00178	SACKO_02616
OG0000006	SCHMD09638	SACKO_23250, SACKO_15817, SACKO_15812, SACKO_33806, SACKO_32444, SACKO_32440
OG0000006	SCHMD23237	SACKO_14761, SACKO_02017
OG0000006	SCHMD13710	SACKO_06429
OG0000006	SCHMD18814	SACKO_32388
OG0000007	SCHMD12323	SACKO_33112
OG0000007	SCHMD08294	SACKO_25751
OG0000007	SCHMD22164, SCHMD13502	SACKO_30170
OG0000007	SCHMD14635, SCHMD17075	SACKO_17363
OG0000007	SCHMD03666	SACKO_03410
