Orthogroup	BRALA	YEAST
OG0000000	BRALA17843, BRALA35421, BRALA25846, BRALA11737, BRALA16375, BRALA16376, BRALA00047, BRALA18569, BRALA19584, BRALA19585, BRALA25857, BRALA17283, BRALA25847, BRALA24482, BRALA16262, BRALA16263, BRALA16378, BRALA16379, BRALA25044, BRALA18359, BRALA29522, BRALA21349, BRALA24707, BRALA18600, BRALA28387, BRALA21476, BRALA00440, BRALA00115, BRALA11736, BRALA00116, BRALA11734, BRALA00119, BRALA00120, BRALA00121, BRALA00118, BRALA00439, BRALA26541, BRALA00079	YEAST00701
OG0000006	BRALA03676, BRALA27911	YEAST01430
OG0000007	BRALA08350, BRALA09316, BRALA25787	YEAST00671
OG0000007	BRALA06491	YEAST01568, YEAST05134
OG0000011	BRALA06520, BRALA31196, BRALA14401, BRALA26140, BRALA10514, BRALA15580, BRALA11289, BRALA08054, BRALA04532, BRALA22147, BRALA17235, BRALA24765, BRALA34302, BRALA26291, BRALA22896, BRALA17910, BRALA24606, BRALA21132, BRALA19164, BRALA01848, BRALA33125, BRALA17676, BRALA20767, BRALA04035, BRALA23557, BRALA32799, BRALA32249, BRALA19887, BRALA33147, BRALA07657, BRALA07658, BRALA14523, BRALA24764, BRALA15476, BRALA23449, BRALA24766, BRALA32763, BRALA07512, BRALA05037, BRALA06517, BRALA01847, BRALA32798, BRALA04980, BRALA25154, BRALA13222, BRALA19792, BRALA34301, BRALA17612	YEAST02600, YEAST01619
OG0000013	BRALA22396, BRALA10995, BRALA11091, BRALA10996, BRALA18430, BRALA18428, BRALA02691, BRALA18429, BRALA32294, BRALA12236, BRALA30121, BRALA23251, BRALA30117, BRALA15745, BRALA16184, BRALA26074, BRALA19927, BRALA16969, BRALA20536, BRALA31575, BRALA04855, BRALA20488, BRALA16980, BRALA30511, BRALA16953, BRALA16964, BRALA28033, BRALA16970, BRALA23206, BRALA31240, BRALA23084, BRALA03245, BRALA05270, BRALA21240, BRALA11603, BRALA32226, BRALA32225, BRALA14863, BRALA11595, BRALA11594, BRALA14897, BRALA10656, BRALA10655, BRALA22697, BRALA13629, BRALA13628, BRALA10659, BRALA13631, BRALA20932	YEAST04082
OG0000014	BRALA07540, BRALA21801, BRALA21800, BRALA21799, BRALA01526, BRALA01524, BRALA18301, BRALA01520, BRALA04327, BRALA00445, BRALA00446, BRALA17457, BRALA17456, BRALA05967, BRALA05963, BRALA16193, BRALA05964, BRALA05965, BRALA06004, BRALA12570, BRALA24203, BRALA14273, BRALA09954, BRALA14267, BRALA14269, BRALA14274, BRALA07196, BRALA14079, BRALA21274, BRALA28626, BRALA28625, BRALA28624, BRALA15621, BRALA12274, BRALA09953, BRALA20835, BRALA21213, BRALA14270	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	BRALA34743, BRALA00485, BRALA14185, BRALA14188, BRALA14187, BRALA14186, BRALA00484, BRALA00482, BRALA24680, BRALA13647, BRALA21428	YEAST03839, YEAST02807, YEAST03817
OG0000016	BRALA32113, BRALA10406	YEAST03870, YEAST01103
OG0000016	BRALA18621	YEAST02775
