#Name (cmd = mergePeaks /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_13_promoters/bg.clean.pos /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_13_promoters/target.clean..pos -d 200 -cobound 1 -prefix /home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_13_promoters/0.972651682169275.2.tmp)	chr	start	end	strand	stat	stat2	/home/ska/aperpos/projects/ptychodera_cisreg_development/outputs/homer/stage_specific_gene_clusters/motif_enrichments_promoters/homer_outputs//homer_output_clu_13_promoters/target.clean..pos
BGTCONS_00025852	Scaffold_1_1_contigs	62404193	62404592	-	0.000	0.000	TCONS_00025852
BGTCONS_00025855	Scaffold_1_1_contigs	62457148	62457547	-	0.000	0.000	TCONS_00025855
BGTCONS_00026100	Scaffold_20_1_contigs	6862370	6862769	+	0.000	0.000	TCONS_00026100
BGTCONS_00026668	Scaffold_20_1_contigs	28801220	28801619	+	0.000	0.000	TCONS_00026668
BGTCONS_00026714	Scaffold_20_1_contigs	29771444	29771843	+	0.000	0.000	TCONS_00026714
BGTCONS_00026719	Scaffold_20_1_contigs	29846370	29846769	+	0.000	0.000	TCONS_00026719
BGTCONS_00026782	Scaffold_20_1_contigs	31735380	31735779	+	0.000	0.000	TCONS_00026782
BGTCONS_00026801	Scaffold_20_1_contigs	32374479	32374878	+	0.000	0.000	TCONS_00026801
BGTCONS_00027001	Scaffold_20_1_contigs	2833741	2834140	-	0.000	0.000	TCONS_00027001
BGTCONS_00027007	Scaffold_20_1_contigs	2980152	2980551	-	0.000	0.000	TCONS_00027007
BGTCONS_00027198	Scaffold_20_1_contigs	11704707	11705106	-	0.000	0.000	TCONS_00027198
BGTCONS_00027297	Scaffold_20_1_contigs	16317661	16318060	-	0.000	0.000	TCONS_00027297
BGTCONS_00027459	Scaffold_20_1_contigs	23267214	23267613	-	0.000	0.000	TCONS_00027459
BGTCONS_00027695	Scaffold_20_1_contigs	31735266	31735665	-	0.000	0.000	TCONS_00026782
BGTCONS_00027849	Scaffold_20_1_contigs	38991770	38992169	-	0.000	0.000	TCONS_00027849
BGTCONS_00027902	Scaffold_21_1_contigs	1241728	1242127	+	0.000	0.000	TCONS_00027902
BGTCONS_00027920	Scaffold_21_1_contigs	2180489	2180888	+	0.000	0.000	TCONS_00027920
BGTCONS_00010246	Scaffold_14_1_contigs	24718705	24719104	+	0.000	0.000	TCONS_00010246
BGTCONS_00010254	Scaffold_14_1_contigs	25256813	25257212	+	0.000	0.000	TCONS_00010254
BGTCONS_00010558	Scaffold_14_1_contigs	33362872	33363271	+	0.000	0.000	TCONS_00010558
BGTCONS_00010670	Scaffold_14_1_contigs	37333526	37333925	+	0.000	0.000	TCONS_00012059
BGTCONS_00028063	Scaffold_21_1_contigs	6652782	6653181	+	0.000	0.000	TCONS_00028063
BGTCONS_00028384	Scaffold_21_1_contigs	19260755	19261154	+	0.000	0.000	TCONS_00028384
BGTCONS_00028705	Scaffold_21_1_contigs	28374355	28374754	+	0.000	0.000	TCONS_00028705
BGTCONS_00028706	Scaffold_21_1_contigs	28604641	28605040	+	0.000	0.000	TCONS_00028706
BGTCONS_00028849	Scaffold_21_1_contigs	34808405	34808804	+	0.000	0.000	TCONS_00028849
BGTCONS_00028859	Scaffold_21_1_contigs	35780814	35781213	+	0.000	0.000	TCONS_00028859
BGTCONS_00028987	Scaffold_21_1_contigs	3435300	3435699	-	0.000	0.000	TCONS_00028987
BGTCONS_00011274	Scaffold_14_1_contigs	13918582	13918981	-	0.000	0.000	TCONS_00011274
BGTCONS_00011297	Scaffold_14_1_contigs	14599600	14599999	-	0.000	0.000	TCONS_00011297
BGTCONS_00011357	Scaffold_14_1_contigs	15938640	15939039	-	0.000	0.000	TCONS_00011357
BGTCONS_00011638	Scaffold_14_1_contigs	25542702	25543101	-	0.000	0.000	TCONS_00011638
BGTCONS_00011698	Scaffold_14_1_contigs	27421842	27422241	-	0.000	0.000	TCONS_00011698
BGTCONS_00011793	Scaffold_14_1_contigs	29686156	29686555	-	0.000	0.000	TCONS_00011793
BGTCONS_00011797	Scaffold_14_1_contigs	29729451	29729850	-	0.000	0.000	TCONS_00011797
BGTCONS_00029131	Scaffold_21_1_contigs	8617024	8617423	-	0.000	0.000	TCONS_00029131
BGTCONS_00029316	Scaffold_21_1_contigs	16073719	16074118	-	0.000	0.000	TCONS_00029316
BGTCONS_00029394	Scaffold_21_1_contigs	18493078	18493477	-	0.000	0.000	TCONS_00029394
BGTCONS_00029424	Scaffold_21_1_contigs	19260930	19261329	-	0.000	0.000	TCONS_00028384
BGTCONS_00029460	Scaffold_21_1_contigs	20525425	20525824	-	0.000	0.000	TCONS_00029460
BGTCONS_00029839	Scaffold_21_1_contigs	35234555	35234954	-	0.000	0.000	TCONS_00029839
BGTCONS_00029853	Scaffold_21_1_contigs	36547543	36547942	-	0.000	0.000	TCONS_00029853
BGTCONS_00029927	Scaffold_22_1_contigs	3491919	3492318	+	0.000	0.000	TCONS_00029927
BGTCONS_00012059	Scaffold_14_1_contigs	37333419	37333818	-	0.000	0.000	TCONS_00012059
BGTCONS_00012482	Scaffold_15_1_contigs	10261340	10261739	+	0.000	0.000	TCONS_00012482
BGTCONS_00012888	Scaffold_15_1_contigs	23297884	23298283	+	0.000	0.000	TCONS_00012888
BGTCONS_00013087	Scaffold_15_1_contigs	29328374	29328773	+	0.000	0.000	TCONS_00013087
BGTCONS_00013347	Scaffold_15_1_contigs	39302761	39303160	+	0.000	0.000	TCONS_00013347
BGTCONS_00013452	Scaffold_15_1_contigs	2234054	2234453	-	0.000	0.000	TCONS_00013452
BGTCONS_00013652	Scaffold_15_1_contigs	8469239	8469638	-	0.000	0.000	TCONS_00013652
BGTCONS_00014011	Scaffold_15_1_contigs	20556116	20556515	-	0.000	0.000	TCONS_00014011
BGTCONS_00014066	Scaffold_15_1_contigs	21881456	21881855	-	0.000	0.000	TCONS_00014066
BGTCONS_00014230	Scaffold_15_1_contigs	28000320	28000719	-	0.000	0.000	TCONS_00014230
BGTCONS_00014463	Scaffold_15_1_contigs	35752360	35752759	-	0.000	0.000	TCONS_00014463
BGTCONS_00014467	Scaffold_15_1_contigs	35778183	35778582	-	0.000	0.000	TCONS_00014467
BGTCONS_00014579	Scaffold_15_1_contigs	39519013	39519412	-	0.000	0.000	TCONS_00014579
BGTCONS_00014841	Scaffold_16_1_contigs	7991986	7992385	+	0.000	0.000	TCONS_00014841
BGTCONS_00015060	Scaffold_16_1_contigs	17942755	17943154	+	0.000	0.000	TCONS_00015060
BGTCONS_00015229	Scaffold_16_1_contigs	22766674	22767073	+	0.000	0.000	TCONS_00015229
BGTCONS_00015265	Scaffold_16_1_contigs	23488875	23489274	+	0.000	0.000	TCONS_00015265
BGTCONS_00015424	Scaffold_16_1_contigs	30208728	30209127	+	0.000	0.000	TCONS_00015424
BGTCONS_00015451	Scaffold_16_1_contigs	31165744	31166143	+	0.000	0.000	TCONS_00015451
BGTCONS_00050145	Scaffold_7_1_contigs	6501986	6502385	+	0.000	0.000	TCONS_00050145
BGTCONS_00050258	Scaffold_7_1_contigs	10229157	10229556	+	0.000	0.000	TCONS_00050258
BGTCONS_00050444	Scaffold_7_1_contigs	17828109	17828508	+	0.000	0.000	TCONS_00050444
BGTCONS_00050705	Scaffold_7_1_contigs	28611319	28611718	+	0.000	0.000	TCONS_00050705
BGTCONS_00050729	Scaffold_7_1_contigs	30404539	30404938	+	0.000	0.000	TCONS_00050729
BGTCONS_00050936	Scaffold_7_1_contigs	38249897	38250296	+	0.000	0.000	TCONS_00050936
BGTCONS_00016000	Scaffold_16_1_contigs	11523560	11523959	-	0.000	0.000	TCONS_00016000
BGTCONS_00016135	Scaffold_16_1_contigs	16766142	16766541	-	0.000	0.000	TCONS_00016135
BGTCONS_00016309	Scaffold_16_1_contigs	22570705	22571104	-	0.000	0.000	TCONS_00016309
BGTCONS_00016313	Scaffold_16_1_contigs	22616219	22616618	-	0.000	0.000	TCONS_00016313
BGTCONS_00016339	Scaffold_16_1_contigs	23383808	23384207	-	0.000	0.000	TCONS_00016339
BGTCONS_00016749	Scaffold_16_1_contigs	40095790	40096189	-	0.000	0.000	TCONS_00016749
BGTCONS_00051210	Scaffold_7_1_contigs	2582728	2583127	-	0.000	0.000	TCONS_00051210
BGTCONS_00051217	Scaffold_7_1_contigs	2938628	2939027	-	0.000	0.000	TCONS_00051217
BGTCONS_00051680	Scaffold_7_1_contigs	24032612	24033011	-	0.000	0.000	TCONS_00051680
BGTCONS_00017689	Scaffold_17_1_contigs	32937786	32938185	+	0.000	0.000	TCONS_00017689
