Orthogroup	DROME	PFLAV
OG0000000	DROME16218, DROME16219	TCONS_00026365.p1
OG0000000	DROME04813	TCONS_00019737.p1
OG0000000	DROME14805, DROME14806	TCONS_00027826.p1
OG0000000	DROME15463, DROME15462	TCONS_00026612.p1
OG0000000	DROME11250	TCONS_00026711.p1
OG0000000	DROME14878	TCONS_00026377.p1
OG0000000	DROME21328, DROME21327	TCONS_00014809.p1, TCONS_00014810.p1
OG0000000	DROME20419	TCONS_00015367.p1
OG0000000	DROME03422	TCONS_00017786.p1
OG0000000	DROME12799	TCONS_00020801.p1
OG0000000	DROME16097	TCONS_00026487.p1
OG0000000	DROME01107	TCONS_00010493.p1
OG0000000	DROME17319	TCONS_00020105.p1
OG0000000	DROME13389, DROME13388	TCONS_00032259.p1
OG0000000	DROME11314	TCONS_00043772.p1
OG0000000	DROME13405	TCONS_00032261.p1
OG0000000	DROME13415	TCONS_00043771.p1
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	TCONS_00032269.p1
OG0000000	DROME15339, DROME15340	TCONS_00032266.p1
OG0000000	DROME13413	TCONS_00032262.p1
OG0000000	DROME13414	TCONS_00032264.p1
OG0000000	DROME10025	TCONS_00019139.p1
OG0000000	DROME16399	TCONS_00018960.p1, TCONS_00018945.p1
OG0000000	DROME17718	TCONS_00027510.p1
OG0000000	DROME15341, DROME15342, DROME15343	TCONS_00032270.p1
OG0000000	DROME03546, DROME03545	TCONS_00042478.p1
OG0000000	DROME04989	TCONS_00031629.p1
OG0000000	DROME16202	TCONS_00026601.p1
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	TCONS_00026600.p1, TCONS_00009627.p1, TCONS_00009628.p1
OG0000001	DROME04936, DROME08706, DROME19770	TCONS_00027439.p1
OG0000002	DROME21552, DROME21551	TCONS_00009919.p1
OG0000002	DROME14626, DROME12189, DROME02894	TCONS_00048938.p1
OG0000005	DROME09622, DROME09655, DROME16321, DROME03536, DROME05689	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1
OG0000006	DROME08113	TCONS_00042787.p1
OG0000006	DROME01994, DROME01995, DROME01996	TCONS_00021207.p1
OG0000006	DROME07928	TCONS_00016646.p1
OG0000006	DROME00146	TCONS_00056934.p1
OG0000006	DROME00104	TCONS_00021581.p1
OG0000006	DROME19258, DROME19257, DROME19259	TCONS_00003496.p1
OG0000006	DROME21396	TCONS_00012810.p1
OG0000006	DROME15583	TCONS_00021507.p1
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	TCONS_00027932.p1
OG0000006	DROME07420	TCONS_00027931.p1
OG0000006	DROME19786	TCONS_00045950.p1
OG0000006	DROME00664	TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1
OG0000006	DROME18045, DROME18046, DROME18044	TCONS_00030792.p1
OG0000006	DROME00147, DROME00148	TCONS_00011489.p1
OG0000006	DROME19780, DROME19779, DROME19781	TCONS_00011491.p1
OG0000006	DROME21674, DROME21675, DROME21673	TCONS_00011052.p1
OG0000007	DROME12545	TCONS_00008966.p1
OG0000007	DROME16994, DROME16993	TCONS_00029574.p1
OG0000007	DROME17568, DROME17567	TCONS_00009611.p1
OG0000007	DROME07864	TCONS_00052518.p1
OG0000007	DROME09292	TCONS_00026068.p1, TCONS_00051149.p1
OG0000007	DROME18346	TCONS_00029831.p1
OG0000007	DROME14142	TCONS_00055417.p1
OG0000007	DROME19603, DROME19602	TCONS_00011336.p1
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	TCONS_00014249.p1
OG0000007	DROME21792, DROME00712, DROME00713	TCONS_00009689.p1
OG0000010	DROME14854, DROME14851, DROME14852	TCONS_00017958.p1
OG0000010	DROME09654	TCONS_00018480.p1
OG0000010	DROME12016	TCONS_00018080.p1
OG0000012	DROME14687, DROME14686	TCONS_00004701.p1, TCONS_00015125.p1, TCONS_00011214.p1, TCONS_00011213.p1, TCONS_00011211.p1, TCONS_00009883.p1, TCONS_00015085.p1, TCONS_00044328.p1, TCONS_00015086.p1, TCONS_00011207.p1, TCONS_00011209.p1, TCONS_00021579.p1, TCONS_00021578.p1
OG0000012	DROME06410, DROME06409, DROME07595, DROME19081, DROME01821, DROME14253, DROME01820	TCONS_00014468.p1
OG0000014	DROME05409, DROME03987	TCONS_00027485.p1, TCONS_00027177.p1, TCONS_00026948.p1, TCONS_00026951.p1, TCONS_00026432.p1, TCONS_00026431.p1, TCONS_00011368.p1, TCONS_00011367.p1, TCONS_00019370.p1, TCONS_00055951.p1, TCONS_00018745.p1, TCONS_00016636.p1, TCONS_00018744.p1, TCONS_00000124.p1, TCONS_00011557.p1, TCONS_00011560.p1, TCONS_00011559.p1, TCONS_00010527.p1, TCONS_00011555.p1, TCONS_00011740.p1, TCONS_00011745.p1, TCONS_00011746.p1, TCONS_00011744.p1, TCONS_00011747.p1, TCONS_00049090.p1, TCONS_00049091.p1, TCONS_00049087.p1, TCONS_00049133.p1, TCONS_00049134.p1, TCONS_00029612.p1, TCONS_00047816.p1
OG0000014	DROME14595, DROME14594	TCONS_00048226.p1, TCONS_00048227.p1, TCONS_00048225.p1, TCONS_00001555.p1, TCONS_00000431.p1
OG0000015	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329	TCONS_00043495.p1
OG0000015	DROME11913, DROME20981, DROME20982	TCONS_00042561.p1, TCONS_00043863.p1
OG0000015	DROME15824, DROME15834, DROME15829, DROME15825, DROME15826, DROME15832, DROME15828, DROME15833, DROME15830, DROME15827, DROME15831	TCONS_00055081.p1, TCONS_00043497.p1, TCONS_00029340.p1, TCONS_00028215.p1, TCONS_00028475.p1, TCONS_00029530.p1, TCONS_00017844.p1, TCONS_00042572.p1, TCONS_00008338.p1, TCONS_00055260.p1, TCONS_00055261.p1, TCONS_00008346.p1, TCONS_00017849.p1, TCONS_00017852.p1
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	TCONS_00012620.p1, TCONS_00013829.p1
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	TCONS_00021462.p1, TCONS_00015926.p1, TCONS_00022185.p1, TCONS_00048322.p1, TCONS_00049537.p1, TCONS_00047912.p1
OG0000016	DROME01609	TCONS_00003602.p1
