Orthogroup	OWEFU	Other
OG0000003	OFUSG21334.1.p1	LYTVA_04875, LYTVA_10217
OG0000026	OFUSG26427.1.p1	AENJA_10622
OG0000026	OFUSG26427.1.p1	APOSJ_61877, APOSJ_61922
OG0000026	OFUSG26427.1.p1	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000026	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	STRPU_10195
OG0000026	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	HELIO_09541
OG0000026	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	LYTVA_19796
OG0000026	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	APOSJ_00259, APOSJ_43475
OG0000026	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	APOSC_14214
OG0000026	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	AENJA_10129
OG0000026	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1	SACKO_24091
OG0000030	OFUSG17612.1.p1	APOSJ_64332
OG0000030	OFUSG12869.1.p1	STRPU_06146, STRPU_06148
OG0000034	OFUSG15530.3.p1, OFUSG15530.1.p1, OFUSG15530.2.p1	APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000038	OFUSG04771.1.p1	LYTVA_14520
OG0000039	OFUSG11857.1.p1	bflo_13135, bflo_00692
OG0000046	OFUSG02356.1.p1, OFUSG13304.1.p1, OFUSG25123.1.p1	bflo_14370
OG0000048	OFUSG11585.1.p1, OFUSG11583.1.p1	SACKO_12018
OG0000048	OFUSG11585.1.p1, OFUSG11583.1.p1	TCONS_00009510.p1
OG0000048	OFUSG11585.1.p1, OFUSG11583.1.p1	AENJA_21270
