amphioxus (BFL)	sea urchin (SPU)	hemichordate (PFL)
LOC118425101	LOC584028	XLOC_041188
LOC118424005	REJ7	XLOC_041534
LOC118424992	LOC100890248	XLOC_040470
LOC118424959	LOC105443595	XLOC_040700
LOC118423788	LOC593178	XLOC_040579
LOC118425036	LOC585674	XLOC_040382
LOC118424538	LOC373178	XLOC_039888
LOC118424587	LOC373228	XLOC_039935
LOC118424524	LOC590531	XLOC_040414
LOC118424772	LOC100890302	XLOC_040240
LOC118424364	LOC583034	XLOC_039902
LOC118424016	LOC577202	XLOC_041042
LOC118424721	LOC592385	XLOC_040190
LOC118424019	LOC587782	XLOC_041224
LOC118424285	LOC591247	XLOC_040955
LOC118425040	LOC115917988	XLOC_040752
LOC118424164	LOC757031	XLOC_041497
LOC118423807	LOC594103	XLOC_040399
LOC118424165	LOC592292	XLOC_041385
LOC118424114	LOC373223	XLOC_041271
LOC118424375	LOC548622	XLOC_041228
LOC118424451	LOC583333	XLOC_040817
LOC118423986	LOC373367	XLOC_040159
LOC118424948	LOC100893392	XLOC_040241
LOC118424149	LOC115926082	XLOC_040958
LOC118424021	LOC578936	XLOC_040945
LOC118424000	LOC579050	XLOC_039915
LOC118424509	LOC580057	XLOC_041383
LOC118424702	LOC575949	XLOC_040231
LOC118425104	LOC578984	XLOC_040319
LOC118424030	LOC581859	XLOC_041223
LOC118423874	LOC576458	XLOC_041199
LOC118423951	LOC100887936	XLOC_040984
LOC118424248	LOC373238	XLOC_041197
LOC118424588	LOC586525	XLOC_040317
LOC118424409	LOC100890484	XLOC_040534
LOC118423884	LOC115926055	XLOC_040175
LOC118424398	LOC576440	XLOC_041127
LOC118424445	LOC577969	XLOC_039914
LOC118424640	LOC582259	XLOC_041468
LOC118424356	LOC582353	XLOC_040874
LOC118424824	LOC577797	XLOC_041064
LOC118424814	LOC591526	XLOC_040465
LOC118423988	LOC584384	XLOC_041140
LOC118423728	LOC590272	XLOC_040632
LOC118423853	LOC115925974	XLOC_040881
LOC118423764	LOC583383	XLOC_040400
LOC118423769	LOC100893805	XLOC_041426
LOC118423946	LOC588167	XLOC_040494
LOC118423877	LOC583684	XLOC_040336
LOC118424725	LOC576835	XLOC_039934
LOC118423944	LOC583222	XLOC_041142
LOC118424020	LOC754554	XLOC_040330
LOC118423876	LOC592651	XLOC_039891
LOC118424126	LOC580595	XLOC_040957
LOC118424258	LOC581028	XLOC_041107
LOC118424628	LOC105436916	XLOC_040603
LOC118424526	LOC590510	XLOC_040413
LOC118423968	LOC588685	XLOC_040547
LOC118424995	LOC577573	XLOC_039933
LOC118424972	LOC593812	XLOC_040093
LOC118424482	LOC590444	XLOC_040412
LOC118424027	LOC577253	XLOC_041494
LOC118424727	LOC100890755	XLOC_040646
LOC118424004	LOC589811	XLOC_040502
LOC118424050	LOC579804	XLOC_040238
LOC118424554	LOC100888499	XLOC_040733
LOC118424740	LOC585943	XLOC_040086
LOC118425098	LOC582776	XLOC_041168
LOC118424436	LOC590295	XLOC_040643
LOC118424924	LOC589977	XLOC_040411
LOC118424816	LOC115926237	XLOC_041113
LOC118423783	LOC100891263	XLOC_040469
LOC118424898	LOC764303	XLOC_040420
LOC118424481	LOC585453	XLOC_040602
LOC118424040	LOC583194	XLOC_041464
LOC118424202	LOC593167	XLOC_041109
LOC118424065	LOC589679	XLOC_041496
LOC118424622	LOC591009	XLOC_041467
LOC118423893	LOC586151	XLOC_040493
LOC118423891	LOC585921	XLOC_041122
LOC118424060	LOC579775	XLOC_040433
LOC118424200	LOC586184	XLOC_041045
LOC118423976	LOC763581	XLOC_040641
LOC118424573	LOC582756	XLOC_040735
LOC118423791	LOC584178	XLOC_041139
LOC118424692	LOC115917923	XLOC_041372
LOC118423875	LOC115925824	XLOC_040421
LOC118424079	LOC592390	XLOC_040232
LOC118424366	LOC577126	XLOC_041373
LOC118424309	LOC575804	XLOC_041171
LOC118424437	LOC578132	XLOC_040753
LOC118425129	LOC100889761	XLOC_040818
LOC118424722	LOC580734	XLOC_040983
LOC118424983	LOC100892519	XLOC_040471
LOC118424962	LOC373206	XLOC_041233
LOC118424794	LOC588913	XLOC_041306
LOC118424069	LOC579975	XLOC_040522
LOC118424527	LOC586556	XLOC_041193
LOC118424578	LOC580957	XLOC_040712
LOC118424074	LOC105439058	XLOC_040695
LOC118424503	LOC593876	XLOC_040002
LOC118425147	LOC584560	XLOC_041198
LOC118424002	LOC587142	XLOC_040679
LOC118424390	LOC575347	XLOC_040147
LOC118424629	LOC590632	XLOC_039958
LOC118424378	LOC115918785	XLOC_040925
LOC118424051	LOC752502	XLOC_040212
LOC118423927	LOC757335	XLOC_040698
LOC118424767	LOC100891563	XLOC_041453
LOC118424530	LOC762428	XLOC_041192
LOC118423872	LOC579043	XLOC_041375
LOC118424819	LOC577010	XLOC_041377
LOC118424162	LOC762422	XLOC_040878
