Orthogroup	ASTMX	AENJA_ok
OG0000000	ASTMX02793	AENJA_00110
OG0000000	ASTMX17483, ASTMX11444	AENJA_23461
OG0000000	ASTMX18513, ASTMX02535, ASTMX04736	AENJA_26081
OG0000000	ASTMX19308, ASTMX03273	AENJA_24355
OG0000000	ASTMX10474, ASTMX18080, ASTMX13971, ASTMX13970	AENJA_23544
OG0000000	ASTMX05790, ASTMX17479	AENJA_09172
OG0000000	ASTMX20577, ASTMX08977, ASTMX08271	AENJA_01537
OG0000000	ASTMX14561, ASTMX07042	AENJA_00111, AENJA_09519
OG0000000	ASTMX20299	AENJA_07481
OG0000000	ASTMX10234	AENJA_25905
OG0000000	ASTMX20113, ASTMX12039, ASTMX01439, ASTMX16054, ASTMX20165	AENJA_15854
OG0000000	ASTMX16946, ASTMX11106	AENJA_12748
OG0000000	ASTMX01438, ASTMX20112, ASTMX16053, ASTMX01903, ASTMX20164	AENJA_15855
OG0000000	ASTMX06178	AENJA_12751
OG0000000	ASTMX16048, ASTMX20108, ASTMX05323, ASTMX16049, ASTMX01436, ASTMX16050, ASTMX20109, ASTMX05322	AENJA_05807
OG0000000	ASTMX05321, ASTMX20111, ASTMX16051, ASTMX12038, ASTMX20162	AENJA_15859
OG0000000	ASTMX01437, ASTMX20161, ASTMX20110	AENJA_15861
OG0000000	ASTMX17422, ASTMX12684, ASTMX17005	AENJA_22692
OG0000000	ASTMX01447, ASTMX00835, ASTMX16253	AENJA_20015
OG0000000	ASTMX08795, ASTMX17999, ASTMX15569	AENJA_21459
OG0000000	ASTMX16045, ASTMX20156, ASTMX12031	AENJA_01755
OG0000000	ASTMX11612, ASTMX02802	AENJA_10279
OG0000000	ASTMX17266, ASTMX02801, ASTMX07975	AENJA_05264
OG0000000	ASTMX09511	AENJA_18954
OG0000000	ASTMX08520	AENJA_18955
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847, ASTMX17871, ASTMX09144, ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492, ASTMX00884, ASTMX14749, ASTMX14750	AENJA_17575
OG0000001	ASTMX07323	AENJA_01446
OG0000002	ASTMX13878	AENJA_19547, AENJA_15292
OG0000002	ASTMX19248	AENJA_22707, AENJA_19254, AENJA_03627
