Orthogroup	SCHMD	APOSC_ok
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	APOSC_11837, APOSC_12606
OG0000000	SCHMD20523, SCHMD24588	APOSC_25410
OG0000000	SCHMD03805	APOSC_11604
OG0000000	SCHMD20256, SCHMD22099	APOSC_28354
OG0000000	SCHMD09133, SCHMD27825	APOSC_19137
OG0000000	SCHMD03766	APOSC_13522
OG0000000	SCHMD27182, SCHMD16896	APOSC_06717
OG0000000	SCHMD18969	APOSC_22022
OG0000000	SCHMD22390, SCHMD21735	APOSC_27318
OG0000000	SCHMD21303	APOSC_24894
OG0000000	SCHMD01868	APOSC_28968
OG0000000	SCHMD24693	APOSC_22429
OG0000000	SCHMD05281, SCHMD04291	APOSC_04636
OG0000000	SCHMD13268	APOSC_18693, APOSC_00117, APOSC_08607
OG0000001	SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603	APOSC_27210
OG0000002	SCHMD15297	APOSC_26642
OG0000003	SCHMD24187, SCHMD29314, SCHMD02634	APOSC_28448, APOSC_01690, APOSC_12113
OG0000003	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092	APOSC_20058
OG0000003	SCHMD00325	APOSC_22836, APOSC_06957, APOSC_05483, APOSC_22147, APOSC_01527, APOSC_27026, APOSC_05500, APOSC_20479
OG0000005	SCHMD06848	APOSC_24691
OG0000005	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757	APOSC_28430, APOSC_12554
OG0000005	SCHMD15919	APOSC_15445, APOSC_13185, APOSC_03153, APOSC_23541
OG0000006	SCHMD00178	APOSC_17637
OG0000006	SCHMD18704	APOSC_08216
OG0000006	SCHMD09638	APOSC_27173, APOSC_08430, APOSC_08431, APOSC_25251, APOSC_25252, APOSC_19228, APOSC_11581
OG0000006	SCHMD23237	APOSC_02745
OG0000006	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341	APOSC_10711
OG0000006	SCHMD13710	APOSC_28483, APOSC_20785, APOSC_25644
OG0000007	SCHMD12323	APOSC_04982
OG0000007	SCHMD08294	APOSC_11262
OG0000007	SCHMD22164, SCHMD13502	APOSC_11791
OG0000007	SCHMD14635, SCHMD17075	APOSC_29119
OG0000007	SCHMD03666	APOSC_07509
OG0000007	SCHMD12296, SCHMD02893	APOSC_20868, APOSC_21514, APOSC_25152
OG0000007	SCHMD08423	APOSC_15698
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	APOSC_04562, APOSC_09541, APOSC_09542
OG0000007	SCHMD19134	APOSC_22651
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	APOSC_10715
OG0000007	SCHMD02246	APOSC_07482
OG0000010	SCHMD16346	APOSC_21784
OG0000011	SCHMD05659	APOSC_25130, APOSC_25933, APOSC_01416, APOSC_25932, APOSC_00037, APOSC_04547, APOSC_10178, APOSC_13118
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	APOSC_26906, APOSC_13089
OG0000012	SCHMD06045, SCHMD22580	APOSC_14826
OG0000015	SCHMD16725	APOSC_08494
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	APOSC_04279
OG0000016	SCHMD13029	APOSC_09217
OG0000016	SCHMD16694	APOSC_26907
OG0000016	SCHMD02183	APOSC_14883
OG0000016	SCHMD09773, SCHMD05700	APOSC_28721
OG0000017	SCHMD13346	APOSC_21350, APOSC_13768, APOSC_04701, APOSC_10126, APOSC_14993, APOSC_04363, APOSC_10874, APOSC_19675, APOSC_17962, APOSC_16160, APOSC_27563, APOSC_14184, APOSC_24575, APOSC_11424, APOSC_16019, APOSC_08524, APOSC_17481, APOSC_14095, APOSC_11982, APOSC_11683, APOSC_01963, APOSC_00742, APOSC_00743, APOSC_28296, APOSC_22083, APOSC_26544, APOSC_25070, APOSC_25071, APOSC_24315, APOSC_02943, APOSC_15991, APOSC_14206, APOSC_06737, APOSC_16567, APOSC_27905, APOSC_05780, APOSC_22360, APOSC_27877, APOSC_17687, APOSC_06955, APOSC_23186
OG0000018	SCHMD07328, SCHMD06128, SCHMD00596, SCHMD22969	APOSC_17923
OG0000020	SCHMD00005	APOSC_14708
OG0000020	SCHMD23721	APOSC_20703
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	APOSC_00691
OG0000021	SCHMD05055, SCHMD22715, SCHMD07894	APOSC_23251, APOSC_13950, APOSC_23254, APOSC_23253
OG0000021	SCHMD10526, SCHMD19498	APOSC_09814
OG0000021	SCHMD09793, SCHMD07893	APOSC_23486, APOSC_20200
OG0000023	SCHMD05376	APOSC_23115
OG0000023	SCHMD14075	APOSC_29076
OG0000026	SCHMD10899	APOSC_12180
OG0000026	SCHMD22460	APOSC_14214
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	APOSC_18684
OG0000028	SCHMD22912, SCHMD03422	APOSC_14441
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	APOSC_17838, APOSC_17839
OG0000029	SCHMD21600, SCHMD23194, SCHMD18727	APOSC_07574, APOSC_20436
OG0000030	SCHMD17295	APOSC_06833, APOSC_14874, APOSC_04381
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	APOSC_21869, APOSC_21866, APOSC_21868, APOSC_21867
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	APOSC_00359
