target_id	length	eff_length	est_counts	tpm
rna-XM_035809314.1	4367	4168	47	0.472735
rna-XM_035809311.1	7960	7761	202	1.09114
rna-XM_035809312.1	2231	2032	2330	48.0706
rna-XM_035809927.1	1635	1436	12	0.350328
rna-XM_035843980.1	1957	1758	87.5885	2.0887
rna-XM_035843291.1	2870	2671	2233	35.0479
rna-XM_035843288.1	8290	8091	9013	46.6998
rna-XM_035842700.1	6972	6773	2746	16.9968
rna-XM_035844125.1	7002	6803	5892.85	36.3139
rna-XR_004833096.1	2378	2179	105.011	2.02034
rna-XM_035844220.1	1276	1077	38	1.47916
rna-XR_004833035.1	888	689	5.20621	0.316775
rna-XM_035843555.1	7535	7336	2139	12.2236
rna-XM_035843558.1	1785	1586	421.573	11.1434
rna-XR_004833034.1	1816	1617	469.973	12.1846
rna-XM_035844186.1	2399	2200	9	0.171501
rna-XM_035843121.1	9611	9412	4744.12	21.131
rna-XM_035843648.1	681	482	0	0
rna-XM_035844039.1	1277	1078	1	0.0388892
rna-XM_035843054.1	2787	2588	1222	19.795
rna-XM_035843051.1	4058	3859	428	4.64961
rna-XM_035842353.1	3636	3437	19596	239.021
rna-XM_035842345.1	2562	2363	1172.35	20.7989
rna-XM_035842347.1	2561	2362	2679.9	47.5648
rna-XR_004832958.1	1734	1535	207.98	5.68017
rna-XR_004832955.1	2424	2225	66.9544	1.26153
rna-Trnad-guc-16	72	3.52559	0	0
rna-XM_035844096.1	1046	847	0	0
rna-XM_035843374.1	8247	8048	2267	11.8089
rna-XM_035843375.1	7869	7670	309	1.68893
rna-XM_035843378.1	5092	4893	1452	12.4405
rna-XM_035843376.1	1108	909	91	4.19687
rna-XM_035844147.1	4071	3872	892.098	9.65884
rna-XM_035844146.1	5380	5181	4890	39.5679
rna-XR_004833092.1	1294	1095	12.3427	0.472545
rna-XR_004833093.1	941	742	0	0
rna-XM_035843651.1	2352	2153	88.0721	1.71491
rna-XM_035843693.1	1602	1403	158	4.72114
rna-XM_035843699.1	1894	1695	315.358	7.79976
rna-XM_035843654.1	519	320	24.2795	3.1808
rna-XR_004833074.1	339	140	25	7.48617
rna-XM_035843941.1	1880	1681	169.613	4.23
rna-XR_004833047.1	1692	1493	0	0
rna-XM_035843767.1	721	522	0	0
rna-XM_035843655.1	1210	1011	0	0
rna-XM_035843037.1	997	798	0	0
rna-XM_035843038.1	487	288	0	0
gene-LOC118432129	2806	2607	0	0
rna-XM_035843033.1	1491	1292	0	0
rna-XM_035843036.1	844	645	0	0
rna-XM_035843039.1	476	277	3.08466	0.466848
rna-XM_035843032.1	789	590	0	0
rna-XM_035843034.1	931	732	5.06207	0.289911
rna-XM_035843035.1	906	707	0	0
rna-XM_035843041.1	487	288	0	0
rna-XM_035844128.1	2060	1861	173.067	3.89867
rna-XM_035843657.1	1111	912	38.0971	1.75124
rna-XM_035843624.1	2698	2499	137.355	2.30422
rna-XM_035844189.1	1731	1532	35	0.95776
rna-XM_035843659.1	2798	2599	88	1.41946
