Orthogroup	HELIO_ok	BRALA
OG0000000	HELIO_01999	BRALA16375, BRALA16376
OG0000000	HELIO_08880	BRALA19584, BRALA19585, BRALA25857
OG0000000	HELIO_10837	BRALA25847
OG0000000	HELIO_06752	BRALA24482
OG0000000	HELIO_10666	BRALA16262
OG0000000	HELIO_00795	BRALA16263
OG0000000	HELIO_03148	BRALA24707
OG0000000	HELIO_09005	BRALA18600
OG0000000	HELIO_02157	BRALA28387
OG0000000	HELIO_11687	BRALA21476
OG0000000	HELIO_04988	BRALA11734
OG0000000	HELIO_00534	BRALA00439, BRALA26541
OG0000000	HELIO_08573	BRALA34448
OG0000000	HELIO_06829	BRALA00135
OG0000000	HELIO_04090	BRALA17840
OG0000001	HELIO_11550	BRALA08781, BRALA24139, BRALA05562, BRALA26164, BRALA11954, BRALA26697, BRALA02698, BRALA05570, BRALA30227, BRALA11820, BRALA12085, BRALA30418, BRALA12110, BRALA00838
OG0000001	HELIO_00196, HELIO_00018, HELIO_00128	BRALA25322, BRALA21156
OG0000001	HELIO_06891, HELIO_10957, HELIO_04926, HELIO_03604, HELIO_03121, HELIO_03866, HELIO_06455	BRALA19588, BRALA19586
OG0000002	HELIO_06940	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	HELIO_06215, HELIO_12339, HELIO_07200, HELIO_07091, HELIO_05970, HELIO_10154	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192
OG0000002	HELIO_06844	BRALA20754
OG0000002	HELIO_12021, HELIO_07207	BRALA27121
OG0000003	HELIO_07277	BRALA33939, BRALA01916
OG0000003	HELIO_03324	BRALA11277
OG0000003	HELIO_07172	BRALA25224
OG0000003	HELIO_06283	BRALA24754
OG0000003	HELIO_10386	BRALA02710
OG0000003	HELIO_04687	BRALA31768, BRALA11276, BRALA10124
OG0000003	HELIO_09894	BRALA02711
OG0000003	HELIO_07587	BRALA07069, BRALA20351
OG0000003	HELIO_06683, HELIO_04847	BRALA01914
OG0000003	HELIO_01179	BRALA01313
OG0000004	HELIO_07102	BRALA27667
OG0000004	HELIO_08003	BRALA08526
OG0000005	HELIO_00211	BRALA15287
OG0000006	HELIO_00413	BRALA07705
OG0000006	HELIO_09248	BRALA06686
OG0000006	HELIO_08707, HELIO_08259, HELIO_08264	BRALA07568, BRALA29276
OG0000006	HELIO_06349	BRALA22280
OG0000006	HELIO_00150	BRALA06185
OG0000006	HELIO_12770	BRALA17603
OG0000006	HELIO_08890	BRALA17591
OG0000006	HELIO_11381, HELIO_00450	BRALA24372
OG0000006	HELIO_08227	BRALA24993
OG0000006	HELIO_06418	BRALA24994
OG0000007	HELIO_01296	BRALA03259
OG0000007	HELIO_10106	BRALA13447, BRALA13448
OG0000007	HELIO_00643	BRALA20872, BRALA20870
OG0000007	HELIO_06396	BRALA09541
OG0000007	HELIO_11362	BRALA31416
OG0000007	HELIO_11129	BRALA03260
OG0000007	HELIO_04873	BRALA03282
OG0000007	HELIO_06738	BRALA25787
OG0000007	HELIO_03703	BRALA26097, BRALA14947
OG0000007	HELIO_07978	BRALA22487
OG0000007	HELIO_03118	BRALA06491
OG0000007	HELIO_07991	BRALA18647
OG0000007	HELIO_01456	BRALA23348
OG0000007	HELIO_04275	BRALA05625
OG0000007	HELIO_11721	BRALA30788
OG0000008	HELIO_10953, HELIO_01917	BRALA19914
OG0000008	HELIO_05140	BRALA09673, BRALA27036
OG0000008	HELIO_07090	BRALA26942
OG0000009	HELIO_03078	BRALA34913
OG0000009	HELIO_04671, HELIO_06781	BRALA26278, BRALA32982
OG0000009	HELIO_07076, HELIO_12655	BRALA26344, BRALA34657
