Orthogroup	BRALA	AENJA_ok
OG0000000	BRALA16375, BRALA16376	AENJA_00110
OG0000000	BRALA00047	AENJA_23461
OG0000000	BRALA19584, BRALA19585, BRALA25857	AENJA_26081
OG0000000	BRALA17283	AENJA_24355
OG0000000	BRALA25847	AENJA_09148
OG0000000	BRALA24482	AENJA_23544
OG0000000	BRALA16262	AENJA_09172
OG0000000	BRALA16263	AENJA_06471
OG0000000	BRALA18359	AENJA_01537
OG0000000	BRALA29522	AENJA_09519
OG0000000	BRALA21349	AENJA_01531
OG0000000	BRALA18600	AENJA_05531
OG0000000	BRALA28387	AENJA_07481
OG0000000	BRALA21476	AENJA_25905
OG0000000	BRALA00115	AENJA_15854
OG0000000	BRALA11736	AENJA_12748
OG0000000	BRALA00116	AENJA_15855
OG0000000	BRALA11734	AENJA_12751
OG0000000	BRALA00119, BRALA00120, BRALA00121	AENJA_05807
OG0000000	BRALA00118	AENJA_15861
OG0000000	BRALA00439, BRALA26541	AENJA_22692
OG0000000	BRALA00079	AENJA_20015
OG0000000	BRALA11733	AENJA_21459
OG0000000	BRALA00135	AENJA_01755
OG0000000	BRALA30674	AENJA_10279
OG0000000	BRALA30673	AENJA_05264
OG0000000	BRALA17840	AENJA_18955
OG0000001	BRALA22338, BRALA22325	AENJA_16489
OG0000001	BRALA22324, BRALA14825	AENJA_05757, AENJA_05760, AENJA_26229
OG0000001	BRALA23764, BRALA05603, BRALA05601, BRALA05597, BRALA11577, BRALA11578, BRALA16539, BRALA17939	AENJA_06007
OG0000001	BRALA00762, BRALA09667, BRALA20490, BRALA27259	AENJA_26118, AENJA_17575
OG0000001	BRALA25322, BRALA21156	AENJA_09293
OG0000001	BRALA19588, BRALA19586	AENJA_01446, AENJA_05207, AENJA_05206
OG0000002	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586	AENJA_03072
OG0000002	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192	AENJA_19547, AENJA_15292
OG0000002	BRALA20754	AENJA_00531, AENJA_22262, AENJA_16411
OG0000002	BRALA27121	AENJA_05471, AENJA_03252
OG0000003	BRALA34994, BRALA34493, BRALA07602, BRALA07598, BRALA23609	AENJA_03925
OG0000003	BRALA11277	AENJA_21348
