Orthogroup	NEMVE	HUMAN
OG0000000	NEMVE15388	HUMAN22097, HUMAN03752
OG0000000	NEMVE01834	HUMAN27271, HUMAN18431
OG0000000	NEMVE09627, NEMVE02365	HUMAN17135, HUMAN03692, HUMAN17136
OG0000000	NEMVE05015	HUMAN03744, HUMAN03743, HUMAN22196
OG0000000	NEMVE11246	HUMAN27740, HUMAN03805, HUMAN22626
OG0000000	NEMVE09681, NEMVE09683, NEMVE02367	HUMAN28889, HUMAN05731
OG0000000	NEMVE02364	HUMAN03433
OG0000000	NEMVE04732, NEMVE07124	HUMAN02527
OG0000000	NEMVE06009	HUMAN07512, HUMAN22413
OG0000000	NEMVE05929	HUMAN12896, HUMAN26097
OG0000000	NEMVE05986	HUMAN07513
OG0000000	NEMVE15281	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515, HUMAN26099, HUMAN06518, HUMAN12899, HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519
OG0000000	NEMVE07211	HUMAN27325, HUMAN27326
OG0000000	NEMVE10161	HUMAN12743, HUMAN26016
OG0000000	NEMVE05017	HUMAN22154, HUMAN24253
OG0000000	NEMVE15350	HUMAN30050, HUMAN24067, HUMAN07515
OG0000000	NEMVE07203	HUMAN26107, HUMAN17898
OG0000000	NEMVE17362	HUMAN22230
OG0000000	NEMVE17363	HUMAN27580, HUMAN03523, HUMAN24243
OG0000000	NEMVE10113	HUMAN18756
OG0000000	NEMVE14999, NEMVE10106	HUMAN08319
OG0000001	NEMVE17781	HUMAN10622
OG0000001	NEMVE11138	HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944
OG0000001	NEMVE02679, NEMVE07926, NEMVE01328, NEMVE12744, NEMVE10293, NEMVE11094	HUMAN14511
