Orthogroup	MOUSE	ORYLA
OG0000000	MOUSE46731	ORYLA04928
OG0000000	MOUSE35499	ORYLA07037
OG0000000	MOUSE22971	ORYLA08538
OG0000000	MOUSE21445	ORYLA05297
OG0000000	MOUSE40450	ORYLA07510
OG0000000	MOUSE21440	ORYLA04677
OG0000000	MOUSE46719	ORYLA04925
OG0000000	MOUSE46718	ORYLA04924
OG0000000	MOUSE35959	ORYLA08113
OG0000000	MOUSE46854, MOUSE36974	ORYLA18170
OG0000000	MOUSE25533	ORYLA02858
OG0000000	MOUSE37056	ORYLA12900
OG0000000	MOUSE50563	ORYLA03677
OG0000000	MOUSE24692	ORYLA11446
OG0000000	MOUSE39799	ORYLA01821
OG0000000	MOUSE38794	ORYLA04170
OG0000000	MOUSE36509	ORYLA18990
OG0000000	MOUSE26494	ORYLA08247
OG0000000	MOUSE05221	ORYLA17164
OG0000000	MOUSE39801	ORYLA01822
OG0000000	MOUSE38795	ORYLA09108
OG0000000	MOUSE05214, MOUSE05213	ORYLA17159
OG0000000	MOUSE14888	ORYLA15774
OG0000000	MOUSE05216	ORYLA08249
OG0000000	MOUSE39808	ORYLA17160
OG0000000	MOUSE14890, MOUSE14891	ORYLA15776
OG0000000	MOUSE05218	ORYLA17162
OG0000000	MOUSE05217	ORYLA08248
OG0000000	MOUSE14885	ORYLA15775
OG0000000	MOUSE35589, MOUSE35590	ORYLA09198
OG0000000	MOUSE05644	ORYLA08225
OG0000000	MOUSE06967	ORYLA06162
OG0000000	MOUSE36056	ORYLA14471
OG0000000	MOUSE46881	ORYLA05095
OG0000000	MOUSE07113	ORYLA10061
OG0000000	MOUSE28108	ORYLA11798
OG0000000	MOUSE14887	ORYLA15773
OG0000000	MOUSE39814, MOUSE26488	ORYLA09896
OG0000000	MOUSE05211	ORYLA17158
OG0000000	MOUSE39816	ORYLA01827, ORYLA05617
OG0000000	MOUSE54681	ORYLA01029
OG0000000	MOUSE19588, MOUSE38796	ORYLA04459
OG0000000	MOUSE42582	ORYLA04630
OG0000000	MOUSE39822	ORYLA01830
OG0000000	MOUSE26482, MOUSE26483	ORYLA09892
OG0000000	MOUSE12761	ORYLA17729
OG0000000	MOUSE36110	ORYLA00932
OG0000000	MOUSE21123	ORYLA05045
OG0000000	MOUSE17205	ORYLA01322
OG0000000	MOUSE28110	ORYLA10603
OG0000000	MOUSE07114	ORYLA10060
OG0000001	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435	ORYLA00821, ORYLA00820, ORYLA00819
OG0000002	MOUSE31557, MOUSE31558	ORYLA00438
OG0000002	MOUSE20993, MOUSE21009, MOUSE21010, MOUSE21011, MOUSE21008, MOUSE21000, MOUSE21001, MOUSE20997, MOUSE20998, MOUSE21012, MOUSE21138, MOUSE21137, MOUSE20995, MOUSE20994, MOUSE43167, MOUSE43166, MOUSE43157, MOUSE43142, MOUSE43143, MOUSE43145, MOUSE43144, MOUSE43158, MOUSE43165, MOUSE43164, MOUSE43147, MOUSE43160, MOUSE43159	ORYLA03051
OG0000002	MOUSE45935	ORYLA12350
OG0000002	MOUSE33135, MOUSE33132, MOUSE33133, MOUSE33131, MOUSE33130, MOUSE33134, MOUSE33136	ORYLA13465
OG0000002	MOUSE33129	ORYLA03052, ORYLA16692
OG0000002	MOUSE15413, MOUSE15412	ORYLA13467, ORYLA16691
OG0000003	MOUSE23701, MOUSE23700	ORYLA05141
OG0000004	MOUSE06318, MOUSE06317, MOUSE06316	ORYLA16672
