PFL	SPU	BFL	ALG
XLOC_007905	LOC593057	LOC118422370	A1
XLOC_007177	LOC764952	LOC118420295	A1
XLOC_007333	LOC754879	LOC118423931	A1
XLOC_007689	LOC585618	LOC118424728	A1
XLOC_007164	LOC584503	LOC118416618	A1
XLOC_007625	LOC588674	LOC118415341	A1
XLOC_007050	LOC577866	LOC118421179	A1
XLOC_008430	LOC754884	LOC118411261	A1
XLOC_007812	LOC577627	LOC118415926	A1
XLOC_007732	LOC576491	LOC118426498	A1
XLOC_007345	LOC577479	LOC118418660	A1
XLOC_007193	LOC590127	LOC118429979	A1
XLOC_007828	LOC575382	LOC118429616	A1
XLOC_007063	LOC578546	LOC118421529	A1
XLOC_006992	LOC576982	LOC118424528	A1
XLOC_007104	LOC588134	LOC118413818	A1
XLOC_007781	LOC100891933	LOC118411391	A1
XLOC_007318	LOC574609	LOC118414051	A1
XLOC_007119	LOC583322	LOC118421655	A1
XLOC_006851	LOC580086	LOC118415347	A1
XLOC_008370	LOC580673	LOC118421411	A1
XLOC_007100	LOC580457	LOC118429044	A1
XLOC_008414	LOC579790	LOC118425410	A1
XLOC_008318	LOC575022	LOC118427331	A1
XLOC_008469	LOC105447140	LOC118409344	A1
XLOC_007446	LOC577675	LOC118427599	A1
XLOC_007153	LOC592971	LOC118425023	A1
XLOC_007485	LOC575375	LOC118424135	A1
XLOC_008105	LOC588023	LOC118420962	A1
XLOC_007163	LOC593654	LOC118425715	A1
XLOC_008162	LOC574782	LOC118426447	A1
XLOC_006946	LOC100889092	LOC118428399	A1
XLOC_008306	LOC578070	LOC118410222	A1
XLOC_008301	LOC575323	LOC118415453	A1
XLOC_008214	EMAP	LOC118411898	A1
XLOC_007883	LOC578959	LOC118411240	A1
XLOC_008194	LOC585176	LOC118410413	A1
XLOC_006982	LOC576252	LOC118418919	A1
XLOC_007816	LOC593200	LOC118412140	A1
XLOC_008249	LOC578688	LOC118429900	A1
XLOC_007835	LOC764393	LOC118411503	A1
XLOC_006815	LOC586001	LOC118416511	A1
XLOC_007609	LOC586005	LOC118417838	A1
XLOC_007871	LOC577575	LOC118418046	A1
XLOC_006809	LOC576449	LOC118427583	A1
XLOC_008441	LOC584177	LOC118427434	A1
XLOC_007032	LOC578993	LOC118416160	A1
XLOC_007190	LOC583510	LOC118428988	A1
XLOC_006944	LOC756848	LOC118411372	A1
XLOC_006968	LOC582771	LOC118428038	A1
XLOC_007647	LOC115919076	LOC118421160	A1
XLOC_008167	LOC579269	LOC118409198	A1
XLOC_007275	LOC100890668	LOC118413941	A1
XLOC_007344	LOC577660	LOC118412125	A1
XLOC_007833	LOC373423	LOC118423837	A1
XLOC_006952	LOC100890735	LOC118423826	A1
XLOC_008472	LOC582874	LOC118418412	A1
