Orthogroup	AMPFI_ok	DROME
OG0000000	AMPFI_12098	DROME16218, DROME16219
OG0000000	AMPFI_16114	DROME04813
OG0000000	AMPFI_11894	DROME14805, DROME14806
OG0000000	AMPFI_12336	DROME15463, DROME15462
OG0000000	AMPFI_16025	DROME14878
OG0000000	AMPFI_08228	DROME21328, DROME21327
OG0000000	AMPFI_02168	DROME16097
OG0000000	AMPFI_10716	DROME01107
OG0000000	AMPFI_19781	DROME13415
OG0000000	AMPFI_12478	DROME17718
OG0000000	AMPFI_20876	DROME03546, DROME03545
OG0000000	AMPFI_21326	DROME16202
OG0000000	AMPFI_01589, AMPFI_10655	DROME12831, DROME12829, DROME12828, DROME12830
OG0000001	AMPFI_17354	DROME08318
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663, AMPFI_24271, AMPFI_17825, AMPFI_16931, AMPFI_22489, AMPFI_13725, AMPFI_24486, AMPFI_21278, AMPFI_04152	DROME14626, DROME12189, DROME02894
OG0000006	AMPFI_22262	DROME07928
OG0000006	AMPFI_22463	DROME00104
OG0000006	AMPFI_02520	DROME19258, DROME19257, DROME19259
OG0000006	AMPFI_23503	DROME07420
OG0000006	AMPFI_09123	DROME07417
OG0000006	AMPFI_18507	DROME18045, DROME18046, DROME18044
OG0000006	AMPFI_06099	DROME00147, DROME00148
OG0000006	AMPFI_17130	DROME19780, DROME19779, DROME19781
OG0000006	AMPFI_12555	DROME21674, DROME21675, DROME21673
OG0000007	AMPFI_02812	DROME16994, DROME16993
OG0000007	AMPFI_07094	DROME17568, DROME17567
OG0000007	AMPFI_26059	DROME14142
OG0000007	AMPFI_15806	DROME19603, DROME19602
OG0000007	AMPFI_22204	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	AMPFI_23280	DROME21792, DROME00712, DROME00713
OG0000008	AMPFI_22833	DROME12246
OG0000008	AMPFI_13893	DROME19967, DROME19966, DROME19965, DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574
OG0000010	AMPFI_14307, AMPFI_14306, AMPFI_02722	DROME09935
OG0000010	AMPFI_14170	DROME18661, DROME09654
OG0000010	AMPFI_04364	DROME16990, DROME16989, DROME00823, DROME00824, DROME11242, DROME07645, DROME07646, DROME07652
OG0000012	AMPFI_05035, AMPFI_18913	DROME14687, DROME14686
OG0000014	AMPFI_06643	DROME06381
OG0000014	AMPFI_10576, AMPFI_00293, AMPFI_03918, AMPFI_12155, AMPFI_04680, AMPFI_21375, AMPFI_08000, AMPFI_07725, AMPFI_05504, AMPFI_16319	DROME05409, DROME03987
OG0000014	AMPFI_16339	DROME14595, DROME14594
OG0000016	AMPFI_02509, AMPFI_18398, AMPFI_25432, AMPFI_13256, AMPFI_19016, AMPFI_14283, AMPFI_00661, AMPFI_20589, AMPFI_24031, AMPFI_06919, AMPFI_11939	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589
OG0000016	AMPFI_06248	DROME01609
OG0000019	AMPFI_10151	DROME09905, DROME12984, DROME12983, DROME02695, DROME19029, DROME19028, DROME21231, DROME01851, DROME06537, DROME07290
OG0000020	AMPFI_07852	DROME18145, DROME18146, DROME22108
OG0000020	AMPFI_19334, AMPFI_20737, AMPFI_23773	DROME02490
OG0000020	AMPFI_07932	DROME11466, DROME11467
OG0000020	AMPFI_12343	DROME19890, DROME19889, DROME19888, DROME19891
OG0000020	AMPFI_25813	DROME07045, DROME07043, DROME07044, DROME07042
OG0000020	AMPFI_21494	DROME03151, DROME03150
OG0000020	AMPFI_13969	DROME14454, DROME14455
OG0000021	AMPFI_16391, AMPFI_25518, AMPFI_19616, AMPFI_08794, AMPFI_23196, AMPFI_19941	DROME08091
OG0000023	AMPFI_14885, AMPFI_23006, AMPFI_10764	DROME04919, DROME04917, DROME04918
