Orthogroup	DANRE	Other
OG0000006	DANRE07561, DANRE07562	MOUSE29954
OG0000008	DANRE15160, DANRE15161, DANRE09428, DANRE27450, DANRE27451, DANRE27453, DANRE27452	DROME19967, DROME19966, DROME19965
OG0000026	DANRE42258, DANRE07529	AENJA_10622
OG0000026	DANRE42258, DANRE07529	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000030	DANRE41079, DANRE41078	STRPU_06146, STRPU_06148
OG0000034	DANRE35041	APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000038	DANRE23401	LYTVA_14520
OG0000041	DANRE27216	LYTVA_03177
OG0000041	DANRE27216	APOSC_00445
OG0000041	DANRE27216	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678
OG0000041	DANRE27216	SACKO_06515
OG0000048	DANRE08311	OFUSG11585.1.p1, OFUSG11583.1.p1
OG0000055	DANRE26046, DANRE37399	SACKO_10925
OG0000089	DANRE18392	AMPFI_03609
OG0000094	DANRE40961	APOSJ_63079
OG0000094	DANRE40961	TCONS_00014948.p1
OG0000094	DANRE40961	APOSC_24152
OG0000099	DANRE19933	AENJA_00123
OG0000122	DANRE03356, DANRE03355, DANRE29132, DANRE27353, DANRE24610, DANRE24611, DANRE42733	AMPFI_04266, AMPFI_05019
OG0000124	DANRE08738	HELIO_02264
OG0000124	DANRE08738	STRPU_06709
OG0000124	DANRE08738	AMPFI_24111
OG0000124	DANRE08738	APOSC_29022
OG0000124	DANRE08738	APOSJ_39871, APOSJ_49014, APOSJ_23030, APOSJ_23033, APOSJ_14455, APOSJ_23031, APOSJ_23028, APOSJ_49016, APOSJ_49026, APOSJ_49027, APOSJ_46416, APOSJ_23035, APOSJ_39873, APOSJ_23032, APOSJ_49018, APOSJ_23034, APOSJ_23029, APOSJ_49028
OG0000124	DANRE08738	AENJA_03116, AENJA_25792
OG0000124	DANRE08738	SACKO_33754, SACKO_22345
OG0000124	DANRE08738	TCONS_00021851.p1, TCONS_00022661.p1, TCONS_00021848.p1
OG0000124	DANRE08738	LYTVA_14993
OG0000124	DANRE08738	YEAST05021
OG0000124	DANRE08738	MOUSE45403
OG0000124	DANRE08738	TCONS_00022673.p1
OG0000124	DANRE08738	MOUSE45403
OG0000124	DANRE08738	TCONS_00022673.p1
OG0000124	DANRE43119	APOSC_24532
OG0000157	DANRE12853, DANRE12855, DANRE38298	SCHMD05230
OG0000162	DANRE42795, DANRE42796	XENTR12697, XENTR12696
OG0000162	DANRE42795, DANRE42796	MOUSE14762, MOUSE26325, MOUSE26308, MOUSE14755, MOUSE14763, MOUSE26307
OG0000166	DANRE39976	LYTVA_08486
OG0000166	DANRE39976	LYTVA_13825
OG0000192	DANRE39461	TCONS_00053851.p1, TCONS_00052839.p1
OG0000192	DANRE39461	SACKO_22597
OG0000192	DANRE39461	BRALA05274
OG0000192	DANRE39461	bflo_25238
OG0000192	DANRE39461	AMPFI_10868
OG0000192	DANRE39461	LYTVA_22840
OG0000192	DANRE39461	STRPU_18443, STRPU_18409
OG0000192	DANRE39461	HELIO_04385
OG0000192	DANRE33927, DANRE33926	HELIO_03073
