Orthogroup	SACKO_ok	ORYLA
OG0000000	SACKO_12749	ORYLA04928
OG0000000	SACKO_19677	ORYLA07037, ORYLA08538
OG0000000	SACKO_25619	ORYLA05297
OG0000000	SACKO_25616	ORYLA07510, ORYLA04677
OG0000000	SACKO_25266	ORYLA10797
OG0000000	SACKO_05553	ORYLA04924, ORYLA08113
OG0000000	SACKO_16683	ORYLA18170
OG0000000	SACKO_08208, SACKO_08197	ORYLA02858, ORYLA12900
OG0000000	SACKO_32730, SACKO_17792	ORYLA03677
OG0000000	SACKO_24012	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	SACKO_11590	ORYLA04170, ORYLA18990
OG0000000	SACKO_24040	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619
OG0000000	SACKO_11588	ORYLA09108
OG0000000	SACKO_24002	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160
OG0000000	SACKO_24024	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898
OG0000000	SACKO_24025	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	SACKO_26673	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	SACKO_06485	ORYLA08225, ORYLA06162
OG0000000	SACKO_31872	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	SACKO_24017	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617
OG0000000	SACKO_11599	ORYLA01029, ORYLA04459
OG0000000	SACKO_22872	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	SACKO_31901	ORYLA00932
OG0000000	SACKO_31899	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	SACKO_11978	ORYLA11797, ORYLA10603
OG0000000	SACKO_12011	ORYLA10060
OG0000001	SACKO_04743, SACKO_04719, SACKO_23106	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000001	SACKO_05742, SACKO_22084, SACKO_22103, SACKO_16213, SACKO_30905, SACKO_05719	ORYLA01767, ORYLA01768, ORYLA01766, ORYLA07199, ORYLA07206, ORYLA07208, ORYLA07207
OG0000002	SACKO_11085, SACKO_21630, SACKO_21632	ORYLA00438
OG0000002	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460	ORYLA12350
OG0000002	SACKO_18684	ORYLA11640, ORYLA16693, ORYLA11641, ORYLA13465, ORYLA13463, ORYLA13464, ORYLA13468, ORYLA13466, ORYLA13469, ORYLA13571
OG0000002	SACKO_13458	ORYLA03052, ORYLA16692
OG0000002	SACKO_00245, SACKO_00252	ORYLA13467, ORYLA16691
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895
OG0000005	SACKO_22081, SACKO_22108, SACKO_22102	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160
OG0000006	SACKO_25366, SACKO_23311, SACKO_02952	ORYLA04794
OG0000006	SACKO_11503	ORYLA13204, ORYLA13568, ORYLA06565
OG0000006	SACKO_02616	ORYLA20407, ORYLA03595
OG0000006	SACKO_13650	ORYLA13382
OG0000006	SACKO_23250	ORYLA10511, ORYLA11827
OG0000006	SACKO_15817	ORYLA16517
OG0000006	SACKO_15812	ORYLA16515
OG0000006	SACKO_32444	ORYLA17394
OG0000006	SACKO_12590, SACKO_14761, SACKO_02017	ORYLA05082
OG0000006	SACKO_32500	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	SACKO_06429	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	SACKO_20803	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	SACKO_32388	ORYLA04691
OG0000007	SACKO_33112	ORYLA13334
OG0000007	SACKO_16486	ORYLA14937, ORYLA17526
OG0000007	SACKO_25751	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	SACKO_17363	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	SACKO_07507	ORYLA00451, ORYLA13596
OG0000007	SACKO_03410	ORYLA10719
OG0000007	SACKO_33128	ORYLA15197
OG0000007	SACKO_15684	ORYLA09030
OG0000007	SACKO_22717	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	SACKO_04591	ORYLA13010
OG0000007	SACKO_27771	ORYLA03471, ORYLA17615
OG0000007	SACKO_27817	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	SACKO_00927	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	SACKO_02233	ORYLA16317
OG0000007	SACKO_31102, SACKO_31073	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	SACKO_11981	ORYLA10158, ORYLA04736
OG0000008	SACKO_05714, SACKO_03429	ORYLA19926, ORYLA19925, ORYLA18489, ORYLA19927, ORYLA18477, ORYLA00582
OG0000008	SACKO_10317	ORYLA18857
OG0000010	SACKO_30054	ORYLA09104, ORYLA13024
OG0000010	SACKO_31740	ORYLA03275, ORYLA06010, ORYLA03414, ORYLA07950, ORYLA16250, ORYLA16252, ORYLA16251, ORYLA16253, ORYLA07946, ORYLA07947, ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940, ORYLA16255, ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309
OG0000010	SACKO_19852, SACKO_19839, SACKO_20088	ORYLA18230
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	ORYLA07628
OG0000012	SACKO_01736	ORYLA15199
OG0000014	SACKO_10784, SACKO_10786	ORYLA13996, ORYLA16200, ORYLA10845, ORYLA16010, ORYLA14063, ORYLA17181, ORYLA08263
OG0000014	SACKO_33738, SACKO_26423, SACKO_26460	ORYLA15682
OG0000014	SACKO_06765, SACKO_21227, SACKO_28145, SACKO_13011, SACKO_28125, SACKO_13001	ORYLA04907
OG0000014	SACKO_13283	ORYLA11600, ORYLA01088
OG0000015	SACKO_31697	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000015	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509, SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514
OG0000016	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968	ORYLA12720, ORYLA00945
OG0000016	SACKO_15439, SACKO_19317, SACKO_06877, SACKO_04946	ORYLA09921
OG0000016	SACKO_11717, SACKO_14898	ORYLA00030
OG0000016	SACKO_26527	ORYLA08665
OG0000016	SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	ORYLA11245, ORYLA15380
OG0000017	SACKO_00987, SACKO_29799	ORYLA04686
OG0000018	SACKO_21669, SACKO_17074, SACKO_20752	ORYLA18860, ORYLA00684, ORYLA17944
OG0000019	SACKO_23880	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088
OG0000020	SACKO_22951	ORYLA12531
OG0000020	SACKO_32378	ORYLA10559
OG0000020	SACKO_20642	ORYLA06663
OG0000020	SACKO_08732	ORYLA16080
OG0000020	SACKO_21519	ORYLA09855
OG0000020	SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904	ORYLA06900, ORYLA09950
OG0000020	SACKO_19273, SACKO_23553, SACKO_23513	ORYLA16727
OG0000020	SACKO_16107, SACKO_20105	ORYLA06780
OG0000020	SACKO_15854	ORYLA01097, ORYLA00349
OG0000020	SACKO_20295	ORYLA15647
OG0000020	SACKO_29670	ORYLA00902
OG0000020	SACKO_24638	ORYLA02546
OG0000020	SACKO_04828	ORYLA06519
OG0000021	SACKO_24549	ORYLA13904, ORYLA15936, ORYLA11094
OG0000021	SACKO_32115	ORYLA12641, ORYLA05479
OG0000021	SACKO_15594	ORYLA03698, ORYLA17601
OG0000021	SACKO_29742	ORYLA04373
OG0000021	SACKO_25838	ORYLA12092, ORYLA14389
OG0000021	SACKO_24637, SACKO_24630, SACKO_24646, SACKO_24640	ORYLA06753
OG0000023	SACKO_10529	ORYLA08126
OG0000023	SACKO_06926	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476
OG0000026	SACKO_04600	ORYLA06726
OG0000026	SACKO_23233	ORYLA09539
OG0000027	SACKO_30755, SACKO_33108, SACKO_05489, SACKO_05485, SACKO_05487, SACKO_04609, SACKO_04624, SACKO_33129, SACKO_21634, SACKO_02136	ORYLA07922, ORYLA15904, ORYLA15903
OG0000027	SACKO_02698	ORYLA04739
OG0000028	SACKO_00730, SACKO_00734	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	SACKO_00054, SACKO_29910	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000029	SACKO_04574	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112
