Orthogroup	CAPO3	DANRE
OG0000003	CAPO301945	DANRE05700, DANRE40137
OG0000005	CAPO308356, CAPO307946	DANRE20576, DANRE20588, DANRE20587, DANRE20586, DANRE11253, DANRE11252, DANRE11254, DANRE11251, DANRE11250, DANRE02588, DANRE20012, DANRE20011, DANRE20010, DANRE20517, DANRE20518, DANRE17265, DANRE14948, DANRE27010, DANRE24204, DANRE18558, DANRE10777, DANRE18161, DANRE17266, DANRE11160
OG0000006	CAPO302620	DANRE04654, DANRE04655
OG0000007	CAPO304209	DANRE03039, DANRE08320, DANRE33659, DANRE06830, DANRE11124, DANRE11125, DANRE11123, DANRE17691, DANRE17692, DANRE03760, DANRE05908
OG0000007	CAPO303284	DANRE30028, DANRE03038, DANRE28801
OG0000007	CAPO300935	DANRE02453, DANRE09326, DANRE09325
OG0000007	CAPO305123	DANRE11519, DANRE13255, DANRE02905, DANRE04393
OG0000012	CAPO302923, CAPO302931	DANRE38177, DANRE38176, DANRE25930, DANRE25931, DANRE12655, DANRE12656, DANRE12659
OG0000015	CAPO302521	DANRE15829, DANRE07077, DANRE07037, DANRE07036, DANRE03906, DANRE05961, DANRE41277, DANRE41276, DANRE06610, DANRE36519, DANRE36518, DANRE36520, DANRE20233, DANRE20234, DANRE04836, DANRE04835, DANRE06611, DANRE20443, DANRE11101, DANRE11100, DANRE17308, DANRE17307, DANRE17306, DANRE17304, DANRE17305, DANRE12114, DANRE24410, DANRE01122, DANRE24409, DANRE20436, DANRE20437, DANRE20438, DANRE04834, DANRE04833, DANRE36515, DANRE06150, DANRE04832, DANRE04831, DANRE20439, DANRE20441, DANRE20440, DANRE20520, DANRE36517, DANRE36516, DANRE06608, DANRE06609, DANRE06176, DANRE20442, DANRE42903, DANRE42902, DANRE07145, DANRE07146, DANRE07144, DANRE33766, DANRE16271, DANRE06691, DANRE06693, DANRE06694, DANRE06695, DANRE06692
OG0000016	CAPO300049	DANRE38616, DANRE06628, DANRE06627, DANRE13366
OG0000016	CAPO304360	DANRE29900, DANRE29901, DANRE29903, DANRE29904, DANRE35774, DANRE03065, DANRE03064, DANRE04448
OG0000016	CAPO306803	DANRE35611
OG0000016	CAPO303259	DANRE02012
OG0000016	CAPO300936	DANRE13447, DANRE31212, DANRE31213, DANRE31211, DANRE25754, DANRE13449, DANRE13448, DANRE25751, DANRE25753
OG0000023	CAPO307690	DANRE19492, DANRE40604, DANRE27752, DANRE38057, DANRE39283, DANRE25540, DANRE36925, DANRE26382, DANRE26381, DANRE29650, DANRE29649, DANRE03181, DANRE19476, DANRE19477, DANRE07548, DANRE07547, DANRE01757, DANRE01251, DANRE08271, DANRE08272, DANRE08270, DANRE08269, DANRE01246, DANRE08566, DANRE08567, DANRE38580, DANRE40368, DANRE01250, DANRE01247, DANRE01249, DANRE01248
OG0000029	CAPO307131	DANRE22154, DANRE39912, DANRE39910, DANRE39911, DANRE39909, DANRE12668, DANRE12669, DANRE40256, DANRE22155, DANRE11325, DANRE16818, DANRE16817, DANRE13326, DANRE41268, DANRE41269, DANRE26531, DANRE01944, DANRE42782, DANRE35736, DANRE21814, DANRE34060, DANRE21950, DANRE21945, DANRE43307, DANRE21946, DANRE21947, DANRE21900, DANRE21896, DANRE39154
OG0000030	CAPO300110	DANRE34589, DANRE34588
OG0000030	CAPO305356, CAPO301638, CAPO307563	DANRE16388, DANRE16389, DANRE14546, DANRE09884, DANRE09883, DANRE34902, DANRE34483, DANRE34482, DANRE08390, DANRE08389, DANRE38993, DANRE28596, DANRE28594, DANRE28595, DANRE03619, DANRE41079, DANRE41078, DANRE08391, DANRE03978
OG0000031	CAPO303729	DANRE11621
OG0000031	CAPO302122	DANRE02768, DANRE23382
OG0000035	CAPO307346, CAPO308354	DANRE23313, DANRE40563, DANRE38347, DANRE12928, DANRE12929, DANRE27654, DANRE31052, DANRE25078, DANRE12998, DANRE12997, DANRE29644, DANRE29645, DANRE13480, DANRE13479, DANRE12467, DANRE12466, DANRE30988, DANRE36852, DANRE22281, DANRE12942, DANRE38472, DANRE12371, DANRE12370, DANRE30757, DANRE30760, DANRE30759, DANRE30758, DANRE30761, DANRE12947, DANRE38221, DANRE38222, DANRE38223, DANRE12948
OG0000039	CAPO306958, CAPO306959	DANRE18250, DANRE18249, DANRE18251, DANRE18253, DANRE18252
OG0000041	CAPO308025, CAPO306861	DANRE24726, DANRE30701, DANRE29584, DANRE29586, DANRE29583, DANRE29585, DANRE24718, DANRE38473, DANRE38474, DANRE38475, DANRE25228, DANRE30702, DANRE30703, DANRE30699, DANRE30704, DANRE30700, DANRE40396, DANRE40397, DANRE29492, DANRE36857, DANRE22432, DANRE25655, DANRE33053, DANRE36856, DANRE25654, DANRE43342, DANRE38441, DANRE36805, DANRE27215, DANRE24076, DANRE27216, DANRE05493, DANRE05492, DANRE18224, DANRE05473, DANRE36043, DANRE17635
