target_id	length	eff_length	est_counts	tpm
BL61971_cuf3	3279	3073.66	23.9318	0.488773
BL20828_cuf0	402	205.065	12	3.67349
BL20825_cuf0	589	384.636	16	2.61131
BL20824_cuf0	216	59.2906	2	2.11754
BL20827_cuf0	5602	5396.66	932.063	10.842
BL20826_evm0	1244	1038.66	0	0
BL20821_evm1	874	668.832	1.19701	0.112349
BL20820_evm0	1221	1015.66	11.1099	0.686672
BL20822_cuf1	2019	1813.66	5.04562	0.174641
BL09205_cuf1	351	160.003	5.3642	2.10458
BL09206_cuf9	4026	3820.66	769.98	12.6511
BL09207_evm0	1189	983.664	104	6.63704
BL09200_evm0	681	476.095	5.0804	0.669873
BL09201_cuf0	3942	3736.66	6286	105.604
BL09202_evm3	3098	2892.66	2074	45.0089
BL09203_evm0	1775	1569.66	20.0271	0.80094
BL09208_evm0	2300	2094.66	248.854	7.45793
BL09209_evm1	3501	3295.66	470.742	8.96661
BL12125_cuf0	3516	3310.66	279	5.29026
BL12124_evm0	4709	4503.66	763	10.6352
BL12127_cuf0	2242	2036.66	137.525	4.23888
BL12121_cuf0	666	461.134	49.2157	6.69984
BL12120_cuf0	1768	1562.66	295	11.8507
BL12123_cuf0	829	623.853	2	0.20125
BL12122_cuf0	3021	2815.66	2048	45.6601
BL12129_evm0	2139	1933.66	134	4.35023
BL12128_evm3	3083	2877.66	700.951	15.291
BL13654_cuf0	3748	3542.66	2396	42.4566
BL13655_evm0	1580	1374.66	9614	439.031
BL13656_cuf0	2326	2120.66	112.088	3.318
BL13657_cuf1	256	85.7153	2.75659	2.01884
BL13650_cuf5	3170	2964.66	862	18.2524
BL13651_cuf0	1268	1062.66	312.933	18.486
BL19276_evm18	873	667.832	65	6.1099
BL13653_cuf0	1477	1271.66	283.451	13.9924
BL19278_evm0	258	87.1478	0.381396	0.274731
BL13658_cuf0	163	30.7458	3	6.12525
BL13659_evm0	3078	2872.66	420.469	9.18835
BL26939_evm0	422	223.354	1.30388	0.366463
BL28959_evm0	675	470.111	0	0
BL26289_evm0	258	87.1478	14.6753	10.5711
BL26288_evm0	7877	7671.66	1.09736	0.00897943
BL26283_evm0	1287	1081.66	0	0
BL26282_evm0	1085	879.664	60.831	4.34106
BL26281_evm0	444	243.834	0	0
BL26280_evm0	1056	850.664	2	0.147591
BL26287_evm0	375	180.929	1	0.346961
BL26286_evm0	306	123.272	1	0.509242
BL26285_evm0	207	54.005	1	1.1624
BL26284_evm0	901	695.763	4.63721	0.418392
BL25956_evm0	441	241.067	1.02579	0.267121
BL25957_evm0	2055	1849.66	0	0
BL25954_evm0	270	95.8632	0	0
BL25955_evm0	402	205.065	0	0
BL25952_evm0	303	120.955	0	0
BL25953_evm0	552	348.125	0	0
BL25950_evm0	1290	1084.66	0	0
BL20829_cuf0	1316	1110.66	704	39.7904
BL25958_evm0	243	76.8676	0	0
BL25959_evm0	537	333.511	1	0.188225
BL60005_cuf0	1407	1201.66	3.01469	0.157488
BL21392_evm0	1191	985.664	156	9.93536
BL21393_cuf0	7086	6880.66	59.3062	0.541075
BL21394_cuf3	1643	1437.66	8247	360.103
BL21395_cuf1	1295	1089.66	74.5607	4.29542
BL21396_evm7	2878	2672.66	289	6.788
BL21398_cuf1	5644	5438.66	3737.89	43.1441
BL21399_cuf0	2975	2769.66	71.2037	1.61385
BL03046_evm1	1044	838.664	580	43.4138
BL02957_cuf0	2710	2504.66	168	4.21064
BL03047_evm0	6367	6161.66	6	0.0611282
BL02951_cuf8	2687	2481.66	115.971	2.93355
BL23507_evm0	3265	3059.66	33	0.677062
BL23506_cuf0	2684	2478.66	6.54271	0.165702
BL23505_cuf0	248	80.2169	0	0
BL23504_evm1	3706	3500.66	374.872	6.72235
BL23503_cuf1	1278	1072.66	2.63854	0.154414
BL23502_evm0	1068	862.664	11578	842.52
BL23501_cuf0	2997	2791.66	11.0176	0.247749
BL23500_cuf4	4772	4566.66	3019	41.5004
BL23509_cuf5	4710	4504.66	325.8	4.54022
BL23508_cuf0	1000	794.664	64.3534	5.08366
BL11458_cuf6	8723	8517.66	802.929	5.91759
BL84988_cuf0	1466	1260.66	7	0.348567
BL07349_cuf7	3533	3327.66	1497.47	28.2493
BL07348_cuf0	1570	1364.66	156	7.17607
BL07347_evm2	1942	1736.66	160.936	5.81734
BL07346_cuf0	4685	4479.66	2024	28.3631
BL07345_evm0	1686	1480.66	195	8.26735
BL07344_cuf0	1970	1764.66	163	5.79847
BL07343_cuf5	3249	3043.66	2631.59	54.2762
BL07342_cuf2	4526	4320.66	4551	66.1218
BL07340_cuf0	2085	1879.66	30.7332	1.0264
BL23594_evm1	1551	1345.66	1874.98	87.4677
BL23595_cuf3	1248	1042.66	42	2.52867
BL23596_cuf0	4468	4262.66	47.0575	0.693005
BL23590_cuf1	3984	3778.66	14.2227	0.236282
BL23591_cuf0	2773	2567.66	1146.67	28.0342
BL23592_cuf3	423	224.312	43	12.0338
BL71308_cuf0	2289	2083.66	14.2476	0.429242
BL27578_evm0	918	712.74	568.603	50.0802
BL27579_evm0	294	113.954	3.03388	1.67131
BL27576_evm0	288	109.317	4.23408	2.43141
BL27577_evm0	747	541.959	53.7002	6.2201
BL27574_evm0	921	715.74	4.20858	0.369121
BL27575_evm0	492	289.688	2	0.433399
BL27573_evm0	426	227.12	1	0.276396
BL27570_evm0	363	170.513	1	0.368155
BL27571_evm0	249	80.9202	0	0
BL33326_cuf0	13387	13181.7	1394.22	6.6397
BL45779_cuf0	3104	2898.66	19.209	0.416002
BL34678_cuf0	1883	1677.66	29.8063	1.1153
BL36292_cuf0	696	491.063	16	2.04537
BL19270_evm0	183	40.6513	37	57.1368
BL19271_evm0	569	364.905	9	1.54828
BL19272_evm0	2527	2321.66	37	1.00044
BL19273_cuf0	9883	9677.66	2277.09	14.7706
BL80723_cuf1	5023	4817.66	618.652	8.06116
BL19274_evm1	4845	4639.66	8191.66	110.834
BL19275_cuf8	374	180.017	8.48411	2.95857
BL19277_evm0	639	434.266	0	0
BL00636_evm0	1983	1777.66	3	0.10594
BL00637_cuf2	232	69.6852	0	0
BL00634_evm1	2352	2146.66	256	7.48624
BL00635_evm5	2616	2410.66	325.653	8.4802
BL00632_cuf3	3900	3694.66	322.727	5.48338
BL00633_cuf3	3199	2993.66	4461	93.5443
BL00630_evm1	3364	3158.66	648.38	12.8859
BL00631_cuf1	3107	2901.66	4602	99.5606
BL00638_cuf0	1178	972.664	0	0
BL00639_evm0	1419	1213.66	32.8913	1.70126
BL29259_evm0	294	113.954	2	1.10176
BL29258_evm0	1215	1009.66	2	0.124349
BL29250_evm0	261	89.3054	3.84088	2.69986
BL29253_evm0	255	84.9779	0	0
BL29252_evm0	426	227.12	0	0
BL29255_evm0	1113	907.664	3	0.207484
BL29254_evm0	345	155.018	0	0
BL29257_evm0	465	263.708	0	0
BL15707_cuf0	237	72.8304	16	13.791
BL97249_cuf8	2748	2542.66	143	3.53049
BL97248_cuf7	782	576.913	20	2.17624
BL97247_cuf6	429	229.833	11	3.00447
BL97246_cuf5	529	325.687	12	2.31296
BL97245_cuf4	827	621.853	15	1.51423
BL97244_cuf3	337	148.29	2	0.846652
BL97243_cuf1	880	674.832	9	0.837211
BL97242_cuf0	670	465.118	3	0.404898
BL97241_cuf5	2298	2092.66	11.0432	0.331271
BL97240_cuf2	456	255.122	4	0.984236
BL02671_cuf0	2378	2172.66	280	8.09009
BL02672_cuf0	2771	2565.66	292	7.14449
BL02674_cuf0	2372	2166.66	1998.15	57.8928
BL02675_cuf0	582	377.757	4	0.664715
BL02676_evm0	745	539.959	3.54636	0.412297
BL02677_evm2	5549	5343.66	11.0017	0.129243
BL02678_evm0	3207	3001.66	18	0.376442
BL02679_evm0	500	297.472	4627.71	976.58
BL27671_evm0	1680	1474.66	10	0.425692
BL19543_cuf0	738	532.986	8178	963.206
BL27673_evm0	894	688.786	6	0.546833
BL02094_evm0	462	260.814	87.653	21.0972
BL02095_cuf0	1266	1060.66	44.145	2.61271
BL02096_cuf0	1122	916.664	284.494	19.4828
BL02097_cuf0	282	104.796	16	9.58434
BL02090_cuf1	1786	1580.66	105	4.17002
BL02091_cuf0	388	192.445	5	1.63099
BL02092_cuf0	2074	1868.66	15.5094	0.521017
BL02093_evm0	3657	3451.66	266	4.83772
BL19546_cuf1	263	90.74	6	4.15088
BL02098_cuf19	6188	5982.66	1533	16.0855
BL02099_cuf4	1707	1501.66	35	1.46313
BL19547_cuf0	2501	2295.66	6.48146	0.177236
BL58790_cuf0	2639	2433.66	62	1.59926
BL58791_cuf0	1974	1768.66	6	0.212958
BL58795_cuf0	734	528.995	52.6943	6.25317
BL58796_cuf0	995	789.664	49	3.89531
BL81442_cuf0	847	641.832	12	1.17368
BL35156_cuf0	2303	2097.66	687.401	20.5713
BL35150_cuf0	1010	804.664	3.18457	0.248442
BL09323_evm0	1349	1143.66	0	0
BL09322_cuf1	2158	1952.66	303.327	9.75152
BL09320_cuf0	1771	1565.66	2935	117.679
BL09327_cuf0	1102	896.664	163	11.4116
BL09326_cuf1	2501	2295.66	49.4842	1.35315
BL09325_cuf0	840	634.843	22.864	2.26087
BL09324_evm5	1284	1078.66	3.87971	0.225788
BL09329_cuf0	6015	5809.66	487.971	5.27268
BL09328_cuf0	1705	1499.66	77.4348	3.24138
BL96554_cuf2	495	292.59	0	0
BL96555_cuf0	1036	830.664	608.4	45.9782
BL51212_cuf0	359	166.982	63	23.6843
BL51211_cuf0	626	421.316	20	2.97996
BL90567_cuf0	3832	3626.66	25.3664	0.439077
BL90560_cuf0	2345	2139.66	21.8473	0.640974
BL20894_cuf0	2387	2181.66	393.099	11.311
BL27884_evm0	2562	2356.66	44	1.17204
BL20895_cuf1	4035	3829.66	955.99	15.6704
BL22243_cuf1	1820	1614.66	808.088	31.417
BL27885_evm0	447	246.635	0	0
BL56978_cuf0	1060	854.664	16.7782	1.23236
BL22240_cuf0	3458	3252.66	1265	24.414
BL96558_cuf1	528	324.704	2	0.386661
BL27881_evm0	642	437.237	0	0
BL22244_cuf0	573	368.844	3.12329	0.531566
BL10019_cuf6	7180	6974.66	554.569	4.99138
BL10018_cuf0	3269	3063.66	27.9546	0.572797
BL10013_cuf0	876	670.832	0	0
BL10012_evm0	405	207.768	0	0
BL10011_cuf0	8219	8013.66	791	6.19631
BL10010_cuf0	9775	9569.66	1631.7	10.7036
BL10017_cuf1	3141	2935.66	238.38	5.09744
BL10016_cuf0	435	235.431	0	0
BL10014_evm2	664	459.134	4.31475	0.589935
BL24519_cuf0	773	567.923	107	11.8272
BL24518_cuf0	224	64.4888	1	0.973429
BL24515_cuf0	1545	1339.66	346	16.2132
BL24514_cuf0	1382	1176.66	85	4.53476
BL24517_evm0	273	98.1173	0	0
BL24516_cuf0	584	379.732	15	2.47972
BL24511_evm0	1533	1327.66	98.2118	4.64369
