Orthogroup	LYTVA_ok	DROME
OG0000000	LYTVA_01679	DROME16218, DROME16219
OG0000000	LYTVA_23170	DROME04813
OG0000000	LYTVA_01380	DROME14805, DROME14806
OG0000000	LYTVA_25096	DROME15599
OG0000000	LYTVA_01827	DROME15463, DROME15462
OG0000000	LYTVA_18988	DROME11250
OG0000000	LYTVA_18985	DROME14878
OG0000000	LYTVA_27688	DROME20419
OG0000000	LYTVA_21959	DROME12799
OG0000000	LYTVA_22602	DROME16097
OG0000000	LYTVA_19974	DROME01107
OG0000000	LYTVA_27704	DROME17319
OG0000000	LYTVA_08678	DROME13389, DROME13388
OG0000000	LYTVA_23667	DROME13415
OG0000000	LYTVA_22477	DROME13417, DROME13418, DROME13419, DROME13416
OG0000000	LYTVA_22480	DROME13414
OG0000000	LYTVA_23047	DROME10025
OG0000000	LYTVA_14838	DROME16399
OG0000000	LYTVA_06897	DROME17718
OG0000000	LYTVA_22476	DROME15341, DROME15342, DROME15343
OG0000000	LYTVA_22714	DROME03546, DROME03545
OG0000000	LYTVA_09826	DROME13420
OG0000000	LYTVA_19015	DROME04989
OG0000000	LYTVA_26599	DROME16202
OG0000000	LYTVA_17046, LYTVA_23349, LYTVA_23351	DROME12831, DROME12829, DROME12828, DROME12830
OG0000002	LYTVA_21553	DROME14626, DROME12189, DROME02894
OG0000006	LYTVA_21289	DROME08113
OG0000006	LYTVA_12321	DROME01994, DROME01995, DROME01996
OG0000006	LYTVA_03511	DROME00104
OG0000006	LYTVA_07373	DROME19258, DROME19257, DROME19259
OG0000006	LYTVA_23957	DROME21396
OG0000006	LYTVA_29757	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414
OG0000006	LYTVA_18169	DROME19786
OG0000006	LYTVA_29412, LYTVA_25462	DROME18045, DROME18046, DROME18044
OG0000006	LYTVA_16832	DROME00147, DROME00148
OG0000006	LYTVA_16844	DROME19780, DROME19779, DROME19781
OG0000006	LYTVA_08878	DROME21674, DROME21675, DROME21673
OG0000007	LYTVA_29912	DROME12545
OG0000007	LYTVA_22273	DROME16994, DROME16993
OG0000007	LYTVA_23216	DROME17568, DROME17567
OG0000007	LYTVA_27359	DROME07864
OG0000007	LYTVA_29395, LYTVA_10898	DROME09292
OG0000007	LYTVA_03206	DROME14142
OG0000007	LYTVA_12379, LYTVA_12378	DROME19603, DROME19602
OG0000007	LYTVA_12480	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000007	LYTVA_05177	DROME21792, DROME00712, DROME00713
OG0000008	LYTVA_29228	DROME05669
