Orthogroup	LYTVA_ok	NEMVE
OG0000000	LYTVA_01679	NEMVE15388
OG0000000	LYTVA_23170	NEMVE01834
OG0000000	LYTVA_01380	NEMVE09627, NEMVE02365
OG0000000	LYTVA_25096	NEMVE04822
OG0000000	LYTVA_01827	NEMVE05015
OG0000000	LYTVA_18988	NEMVE11246
OG0000000	LYTVA_18985	NEMVE02875
OG0000000	LYTVA_13103	NEMVE09681, NEMVE09683, NEMVE02367
OG0000000	LYTVA_27688	NEMVE03328, NEMVE00592, NEMVE06804
OG0000000	LYTVA_21959	NEMVE07200
OG0000000	LYTVA_22602	NEMVE02364
OG0000000	LYTVA_19974	NEMVE04732, NEMVE07124
OG0000000	LYTVA_27704	NEMVE03387
OG0000000	LYTVA_08668	NEMVE07193, NEMVE16932, NEMVE07210
OG0000000	LYTVA_23667	NEMVE05986
OG0000000	LYTVA_22477, LYTVA_22478, LYTVA_22480, LYTVA_22479	NEMVE15281
OG0000000	LYTVA_23047	NEMVE07211
OG0000000	LYTVA_14838	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	LYTVA_06897	NEMVE05017
OG0000000	LYTVA_22714, LYTVA_09826	NEMVE15350
OG0000000	LYTVA_19015	NEMVE07203
OG0000000	LYTVA_26599	NEMVE17362
OG0000000	LYTVA_17046	NEMVE17363
OG0000000	LYTVA_23349	NEMVE10113
OG0000000	LYTVA_23351	NEMVE14999, NEMVE10106
OG0000001	LYTVA_16225	NEMVE01893, NEMVE23127
OG0000001	LYTVA_16521	NEMVE12746, NEMVE11137, NEMVE20003, NEMVE05609, NEMVE05631, NEMVE07322, NEMVE20730, NEMVE15468, NEMVE03781
OG0000002	LYTVA_28398, LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289, LYTVA_01784, LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176, LYTVA_09815, LYTVA_04765, LYTVA_26938, LYTVA_07995, LYTVA_23824, LYTVA_17551, LYTVA_25582, LYTVA_22408, LYTVA_05820, LYTVA_21553	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
OG0000003	LYTVA_29159	NEMVE07432, NEMVE12844
OG0000003	LYTVA_25607	NEMVE08653
OG0000003	LYTVA_21606	NEMVE10994
OG0000003	LYTVA_03030	NEMVE12557
OG0000003	LYTVA_15536	NEMVE08017
OG0000003	LYTVA_14606	NEMVE10186
OG0000003	LYTVA_06469	NEMVE09864, NEMVE02602, NEMVE10394
OG0000003	LYTVA_11643	NEMVE06583, NEMVE00097, NEMVE12376, NEMVE19925, NEMVE09899
OG0000003	LYTVA_27358	NEMVE11459, NEMVE11042
OG0000004	LYTVA_04445	NEMVE02857, NEMVE08015
OG0000004	LYTVA_23131	NEMVE08317
OG0000004	LYTVA_04400	NEMVE19262
OG0000004	LYTVA_02998, LYTVA_25806	NEMVE17481
