Orthogroup	APOSJ_ok	APOSC_ok
OG0000000	APOSJ_33268	APOSC_17015
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237	APOSC_11837
OG0000000	APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	APOSC_12606
OG0000000	APOSJ_43984	APOSC_11472
OG0000000	APOSJ_47154	APOSC_29094
OG0000000	APOSJ_18686	APOSC_11604
OG0000000	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962	APOSC_28354
OG0000000	APOSJ_32352	APOSC_19137
OG0000000	APOSJ_60141	APOSC_01732
OG0000000	APOSJ_18136	APOSC_11544
OG0000000	APOSJ_34245	APOSC_04208
OG0000000	APOSJ_60507	APOSC_07565
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	APOSC_22022
OG0000000	APOSJ_36728	APOSC_16565
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	APOSC_27318
OG0000000	APOSJ_20159	APOSC_06302
OG0000000	APOSJ_40396	APOSC_14732
OG0000000	APOSJ_37520	APOSC_24894
OG0000000	APOSJ_38857, APOSJ_38860	APOSC_24788
OG0000000	APOSJ_32562, APOSJ_32561	APOSC_28968
OG0000000	APOSJ_47531, APOSJ_29010	APOSC_18629
OG0000000	APOSJ_05847, APOSJ_05848	APOSC_01689
OG0000000	APOSJ_38441	APOSC_01343
OG0000000	APOSJ_62087	APOSC_25317
OG0000000	APOSJ_26760	APOSC_25315, APOSC_25316
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	APOSC_10621
OG0000000	APOSJ_56734	APOSC_04636
OG0000000	APOSJ_31415	APOSC_18693
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	APOSC_00117
OG0000000	APOSJ_02527	APOSC_08607
OG0000001	APOSJ_37929	APOSC_22156
OG0000001	APOSJ_51222	APOSC_01815
OG0000001	APOSJ_62226	APOSC_16060
OG0000001	APOSJ_25603	APOSC_06332, APOSC_06333
OG0000001	APOSJ_52770	APOSC_10705
OG0000001	APOSJ_36611	APOSC_01009
OG0000001	APOSJ_05765	APOSC_10025, APOSC_10024, APOSC_10026
OG0000001	APOSJ_13627	APOSC_24040
OG0000001	APOSJ_55755	APOSC_19294, APOSC_19295, APOSC_01893
OG0000001	APOSJ_26325	APOSC_20334
OG0000001	APOSJ_26326	APOSC_02191
OG0000001	APOSJ_18829	APOSC_28216
OG0000001	APOSJ_49141	APOSC_18157
OG0000001	APOSJ_54194, APOSJ_54195	APOSC_23353
OG0000001	APOSJ_04615	APOSC_19105
OG0000001	APOSJ_38875	APOSC_25618, APOSC_25619, APOSC_25617
OG0000001	APOSJ_40516	APOSC_07507
OG0000001	APOSJ_28860	APOSC_17360
OG0000001	APOSJ_44200, APOSJ_44199	APOSC_12124
OG0000001	APOSJ_61464, APOSJ_61463	APOSC_24525
OG0000001	APOSJ_31549, APOSJ_31548	APOSC_00358
OG0000001	APOSJ_61758	APOSC_15381
OG0000001	APOSJ_36028	APOSC_11275
OG0000001	APOSJ_08947, APOSJ_08949, APOSJ_08948	APOSC_09129
OG0000001	APOSJ_38838	APOSC_04420
OG0000001	APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727	APOSC_26949
OG0000001	APOSJ_39037, APOSJ_44320	APOSC_05393
OG0000001	APOSJ_26026, APOSJ_23152	APOSC_00625
OG0000001	APOSJ_36498	APOSC_02499, APOSC_01751, APOSC_07766
OG0000002	APOSJ_36413	APOSC_17563
OG0000002	APOSJ_41244, APOSJ_49613	APOSC_09040
OG0000002	APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870	APOSC_26016
OG0000002	APOSJ_53783, APOSJ_53781, APOSJ_65202	APOSC_12200
OG0000002	APOSJ_53782	APOSC_12199
OG0000002	APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873	APOSC_23614
OG0000002	APOSJ_50646, APOSJ_61186, APOSJ_47171	APOSC_00935
OG0000002	APOSJ_32422, APOSJ_05886	APOSC_18975
OG0000002	APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048	APOSC_26427
OG0000002	APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854	APOSC_18610
OG0000002	APOSJ_42507, APOSJ_51187	APOSC_04905
OG0000002	APOSJ_16645, APOSJ_07327	APOSC_26642
OG0000002	APOSJ_21931	APOSC_19154, APOSC_21951
OG0000003	APOSJ_20832, APOSJ_20829	APOSC_22070
OG0000003	APOSJ_22272, APOSJ_03630	APOSC_13273, APOSC_13272
OG0000003	APOSJ_06613	APOSC_21855
OG0000003	APOSJ_27925, APOSJ_44929	APOSC_00102
OG0000003	APOSJ_58026	APOSC_28638, APOSC_28639, APOSC_26010, APOSC_06907, APOSC_24394
OG0000003	APOSJ_33006	APOSC_02274
OG0000003	APOSJ_45754	APOSC_01247, APOSC_01039
OG0000003	APOSJ_41535, APOSJ_46680, APOSJ_41536	APOSC_02631, APOSC_04148, APOSC_07747
OG0000003	APOSJ_07491	APOSC_20058
OG0000003	APOSJ_48345	APOSC_08367
OG0000003	APOSJ_36000	APOSC_26963
OG0000003	APOSJ_46106	APOSC_05483
OG0000003	APOSJ_22526, APOSJ_22667	APOSC_22147
OG0000003	APOSJ_52549	APOSC_27026
OG0000003	APOSJ_22529, APOSJ_10268	APOSC_05500
OG0000003	APOSJ_57640, APOSJ_59054, APOSJ_11759	APOSC_20479
OG0000003	APOSJ_10992, APOSJ_60978, APOSJ_36445, APOSJ_12157, APOSJ_25443	APOSC_06472
OG0000004	APOSJ_50666	APOSC_06431
OG0000004	APOSJ_27471	APOSC_27025
OG0000004	APOSJ_28748, APOSJ_28747	APOSC_21785
