Orthogroup	OWEFU	SCHMD
OG0000000	OFUSG19483.1.p1, OFUSG18880.1.p1	SCHMD20461, SCHMD14540, SCHMD00971
OG0000000	OFUSG13305.1.p1	SCHMD09645
OG0000000	OFUSG05489.1.p1, OFUSG05755.1.p1	SCHMD20523, SCHMD24588
OG0000000	OFUSG06970.1.p1	SCHMD03805
OG0000000	OFUSG05968.1.p1	SCHMD20256, SCHMD22099
OG0000000	OFUSG07309.1.p1, OFUSG07308.1.p1	SCHMD09133, SCHMD27825
OG0000000	OFUSG09074.1.p1	SCHMD27182, SCHMD16896
OG0000000	OFUSG17443.1.p1	SCHMD28523
OG0000000	OFUSG13332.1.p1	SCHMD18969
OG0000000	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1	SCHMD08046
OG0000000	OFUSG13337.1.p1, OFUSG13338.1.p1, OFUSG13339.1.p1, OFUSG13340.1.p1	SCHMD22390, SCHMD21735
OG0000000	OFUSG17003.1.p1	SCHMD21303
OG0000000	OFUSG05673.1.p1, OFUSG05672.1.p1	SCHMD01868
OG0000000	OFUSG13341.1.p1	SCHMD11888, SCHMD08259
OG0000000	OFUSG12947.1.p1	SCHMD24693
OG0000000	OFUSG05775.1.p1	SCHMD05281, SCHMD04291
OG0000000	OFUSG06109.1.p1, OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1, OFUSG21806.1.p1	SCHMD13268
OG0000001	OFUSG07127.1.p1	SCHMD23406
OG0000001	OFUSG06369.1.p1, OFUSG09030.1.p1	SCHMD02916
OG0000002	OFUSG22946.2.p1	SCHMD15297
OG0000003	OFUSG05190.1.p1, OFUSG05194.1.p1	SCHMD24187, SCHMD29314, SCHMD02634
OG0000003	OFUSG12884.1.p1	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092
OG0000003	OFUSG13877.1.p1, OFUSG13877.2.p1	SCHMD08141, SCHMD02635, SCHMD12732
