Orthogroup	STRPU_ok	MOUSE
OG0000000	STRPU_10146, STRPU_10084	MOUSE35835, MOUSE46731
OG0000000	STRPU_22262	MOUSE35499, MOUSE22971
OG0000000	STRPU_10304	MOUSE40493, MOUSE21445
OG0000000	STRPU_10083, STRPU_10145	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	STRPU_10015	MOUSE47799, MOUSE46854, MOUSE36974
OG0000000	STRPU_19865, STRPU_19892	MOUSE25533, MOUSE37056
OG0000000	STRPU_02929	MOUSE09344, MOUSE50563
OG0000000	STRPU_03800	MOUSE50880
OG0000000	STRPU_09982, STRPU_09961	MOUSE20961
OG0000000	STRPU_20780	MOUSE24692
OG0000000	STRPU_23206	MOUSE05222, MOUSE26497, MOUSE39799
OG0000000	STRPU_05654	MOUSE38794, MOUSE36509
OG0000000	STRPU_05390	MOUSE38795
OG0000000	STRPU_23197, STRPU_23198	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889
OG0000000	STRPU_23194	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	STRPU_23756	MOUSE35589, MOUSE35590
OG0000000	STRPU_22253	MOUSE05644, MOUSE06967
OG0000000	STRPU_09852	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	STRPU_23199	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817
OG0000000	STRPU_05830	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	STRPU_23207	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	STRPU_10189	MOUSE12761, MOUSE36110
OG0000000	STRPU_09890	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	STRPU_21017	MOUSE28110, MOUSE28109
OG0000000	STRPU_21014	MOUSE07114
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	MOUSE11565, MOUSE20858, MOUSE11567, MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000002	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991	MOUSE31557, MOUSE31558
OG0000002	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083	MOUSE45935, MOUSE45932, MOUSE45933, MOUSE45934, MOUSE45931, MOUSE14276, MOUSE14281, MOUSE14277, MOUSE14278, MOUSE14279, MOUSE14280, MOUSE14283, MOUSE14284
OG0000002	STRPU_20582, STRPU_20566	MOUSE33129
