Orthogroup	PFLAV	ORYLA
OG0000000	TCONS_00026365.p1	ORYLA04928
OG0000000	TCONS_00019737.p1	ORYLA07037, ORYLA08538
OG0000000	TCONS_00027826.p1	ORYLA05297
OG0000000	TCONS_00026910.p1	ORYLA07510, ORYLA04677
OG0000000	TCONS_00026836.p1	ORYLA10797
OG0000000	TCONS_00026612.p1	ORYLA04924, ORYLA08113
OG0000000	TCONS_00026711.p1	ORYLA18170
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	ORYLA02858, ORYLA12900
OG0000000	TCONS_00018852.p1	ORYLA03677
OG0000000	TCONS_00010493.p1	ORYLA11446
OG0000000	TCONS_00032259.p1	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	TCONS_00043772.p1	ORYLA04170, ORYLA18990
OG0000000	TCONS_00032260.p1	ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619
OG0000000	TCONS_00043771.p1	ORYLA09108
OG0000000	TCONS_00032269.p1	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160
OG0000000	TCONS_00032262.p1	ORYLA04681, ORYLA15776, ORYLA17162, ORYLA09898
OG0000000	TCONS_00032264.p1	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775
OG0000000	TCONS_00019139.p1	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	ORYLA08225, ORYLA06162
OG0000000	TCONS_00027510.p1	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	TCONS_00032270.p1	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617
OG0000000	TCONS_00042478.p1	ORYLA01029, ORYLA04459
OG0000000	TCONS_00031629.p1	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	TCONS_00026601.p1	ORYLA00932
OG0000000	TCONS_00026600.p1	ORYLA17730, ORYLA05045, ORYLA01322
OG0000000	TCONS_00009627.p1	ORYLA11797, ORYLA10603
OG0000000	TCONS_00009628.p1	ORYLA10060
OG0000001	TCONS_00034555.p1, TCONS_00007091.p1	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897
OG0000002	TCONS_00008473.p1, TCONS_00020039.p1	ORYLA00438
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1	ORYLA12350
OG0000002	TCONS_00050428.p1, TCONS_00050118.p1	ORYLA11640, ORYLA16693, ORYLA11641, ORYLA13465, ORYLA13463, ORYLA13464, ORYLA13468, ORYLA13466, ORYLA13469, ORYLA13571
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	ORYLA03052, ORYLA16692
OG0000002	TCONS_00048938.p1	ORYLA13467, ORYLA16691
OG0000004	TCONS_00039987.p1	ORYLA04400, ORYLA08919
OG0000005	TCONS_00049335.p1, TCONS_00047603.p1, TCONS_00047643.p1, TCONS_00047644.p1, TCONS_00047602.p1, TCONS_00049337.p1, TCONS_00047645.p1, TCONS_00016788.p1, TCONS_00017981.p1, TCONS_00000197.p1, TCONS_00001362.p1	ORYLA03896, ORYLA03898, ORYLA03897, ORYLA03895
OG0000005	TCONS_00020906.p1, TCONS_00020909.p1, TCONS_00020911.p1	ORYLA19606, ORYLA19605, ORYLA00089, ORYLA04143, ORYLA04443, ORYLA11947, ORYLA01858, ORYLA06713, ORYLA06714, ORYLA09160
OG0000006	TCONS_00016792.p1, TCONS_00023587.p1	ORYLA04794
OG0000006	TCONS_00031049.p1, TCONS_00031040.p1, TCONS_00031041.p1, TCONS_00031046.p1, TCONS_00031039.p1	ORYLA13204, ORYLA13568, ORYLA06565
OG0000006	TCONS_00042787.p1	ORYLA20407, ORYLA03595
OG0000006	TCONS_00021207.p1	ORYLA03421, ORYLA09483
OG0000006	TCONS_00016646.p1	ORYLA13382
OG0000006	TCONS_00021581.p1	ORYLA09038
OG0000006	TCONS_00023551.p1	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784
OG0000006	TCONS_00003496.p1	ORYLA10511, ORYLA11827
OG0000006	TCONS_00012810.p1	ORYLA16517
OG0000006	TCONS_00013984.p1	ORYLA16515
OG0000006	TCONS_00027932.p1	ORYLA17394
OG0000006	TCONS_00045950.p1, TCONS_00031211.p1, TCONS_00031188.p1, TCONS_00031189.p1, TCONS_00031212.p1	ORYLA05082
OG0000006	TCONS_00028953.p1	ORYLA13656, ORYLA07153, ORYLA02533
OG0000006	TCONS_00030792.p1	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	TCONS_00011491.p1	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762
OG0000006	TCONS_00011052.p1	ORYLA04691
OG0000007	TCONS_00008966.p1	ORYLA13334
OG0000007	TCONS_00029574.p1	ORYLA14937, ORYLA17526
OG0000007	TCONS_00009611.p1	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	TCONS_00052518.p1	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595
OG0000007	TCONS_00052512.p1	ORYLA00451, ORYLA13596
OG0000007	TCONS_00026068.p1	ORYLA10719
OG0000007	TCONS_00051149.p1	ORYLA18472
OG0000007	TCONS_00007744.p1	ORYLA09030
OG0000007	TCONS_00008967.p1	ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	TCONS_00024115.p1	ORYLA13010
OG0000007	TCONS_00055417.p1	ORYLA03471, ORYLA17615
OG0000007	TCONS_00011336.p1	ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	TCONS_00014249.p1	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	TCONS_00012754.p1	ORYLA16317
OG0000007	TCONS_00051990.p1, TCONS_00051989.p1	ORYLA15605, ORYLA13871, ORYLA05828
OG0000007	TCONS_00009689.p1	ORYLA10158, ORYLA04736
OG0000008	TCONS_00054315.p1	ORYLA06372, ORYLA06647, ORYLA13248
OG0000008	TCONS_00054316.p1	ORYLA19926, ORYLA19925, ORYLA18489, ORYLA19927, ORYLA18477, ORYLA00582
OG0000010	TCONS_00031213.p1, TCONS_00031190.p1	ORYLA06892, ORYLA19685, ORYLA19686
OG0000010	TCONS_00018080.p1	ORYLA09104, ORYLA13024
