Orthogroup	ASTMX	Other
OG0000006	ASTMX11700	MOUSE29954
OG0000008	ASTMX13129	DROME19967, DROME19966, DROME19965
OG0000020	ASTMX22736	APOSJ_16758
OG0000020	ASTMX22736	APOSC_05461
OG0000020	ASTMX22736	AENJA_11444
OG0000020	ASTMX22736	HELIO_05888
OG0000020	ASTMX22736	STRPU_04309, STRPU_04336
OG0000020	ASTMX22736	LYTVA_06231
OG0000020	ASTMX22736	AMPFI_21494
OG0000026	ASTMX12978	AENJA_10622
OG0000026	ASTMX12978	AMPFI_12243, AMPFI_19577, AMPFI_24734, AMPFI_07664, AMPFI_25563, AMPFI_09392
OG0000030	ASTMX22293	STRPU_06146, STRPU_06148
OG0000031	ASTMX22504	APOSJ_52458, APOSJ_52455
OG0000034	ASTMX03519	APOSJ_42839, APOSJ_42842, APOSJ_42843
OG0000038	ASTMX05291	LYTVA_14520
OG0000068	ASTMX22587	LYTVA_12287
OG0000094	ASTMX03425	APOSJ_63079
OG0000094	ASTMX08393	APOSC_24152
OG0000094	ASTMX08392	AENJA_26553
OG0000094	ASTMX08392	HELIO_03878
OG0000094	ASTMX08392	STRPU_19407
OG0000094	ASTMX08392	LYTVA_09221
OG0000094	ASTMX08392	AMPFI_06525
OG0000094	ASTMX08392	APOSJ_53754, APOSJ_53752, APOSJ_65048, APOSJ_47218, APOSJ_27262, APOSJ_47216, APOSJ_45516, APOSJ_53755, APOSJ_53750, APOSJ_43553, APOSJ_53751, APOSJ_27263, APOSJ_13209, APOSJ_53749, APOSJ_13205, APOSJ_41126, APOSJ_58382, APOSJ_53747, APOSJ_41131, APOSJ_47213, APOSJ_44712, APOSJ_13203, APOSJ_44716, APOSJ_53748, APOSJ_41124, APOSJ_41129, APOSJ_44710, APOSJ_53753, APOSJ_47217, APOSJ_41133, APOSJ_47215, APOSJ_41125, APOSJ_44715, APOSJ_41128
OG0000094	ASTMX08392	APOSC_21896, APOSC_21895
OG0000094	ASTMX08392	SCHMD18374
OG0000099	ASTMX21430	AENJA_00123
