Orthogroup	AMPFI_ok	BRALA
OG0000000	AMPFI_12098	BRALA16375, BRALA16376
OG0000000	AMPFI_16114	BRALA00047
OG0000000	AMPFI_11894	BRALA19584, BRALA19585, BRALA25857
OG0000000	AMPFI_12336	BRALA24482
OG0000000	AMPFI_16025	BRALA16263
OG0000000	AMPFI_08228	BRALA18359
OG0000000	AMPFI_02168	BRALA28387
OG0000000	AMPFI_10716	BRALA21476
OG0000000	AMPFI_19781	BRALA11734
OG0000000	AMPFI_12478	BRALA34448
OG0000000	AMPFI_20876	BRALA11733
OG0000000	AMPFI_21326	BRALA30674
OG0000000	AMPFI_10655	BRALA17840
OG0000001	AMPFI_19192	BRALA22338, BRALA22325
OG0000001	AMPFI_06127, AMPFI_11237, AMPFI_13782, AMPFI_23521	BRALA22324, BRALA14825
OG0000001	AMPFI_19631	BRALA14819
OG0000001	AMPFI_25090	BRALA09015
OG0000001	AMPFI_03160	BRALA12714, BRALA00678
OG0000001	AMPFI_18148, AMPFI_13477	BRALA00762, BRALA09667, BRALA20490
OG0000001	AMPFI_25597, AMPFI_23362, AMPFI_20167	BRALA21021
OG0000001	AMPFI_07438, AMPFI_25876, AMPFI_24482, AMPFI_16657, AMPFI_02115, AMPFI_21709, AMPFI_22650, AMPFI_17262, AMPFI_21417, AMPFI_00689	BRALA25322, BRALA21156
OG0000001	AMPFI_00828, AMPFI_17788, AMPFI_06520, AMPFI_03907, AMPFI_04264, AMPFI_03487, AMPFI_00879	BRALA19588, BRALA19586
OG0000002	AMPFI_23102	BRALA19734, BRALA28971, BRALA28972, BRALA28973, BRALA13962, BRALA24414, BRALA24243, BRALA17824, BRALA28952, BRALA33640, BRALA28951, BRALA34586
OG0000002	AMPFI_23105, AMPFI_23982, AMPFI_10257, AMPFI_10256, AMPFI_17364, AMPFI_17537, AMPFI_23709, AMPFI_23336	BRALA20754
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663	BRALA27121
OG0000002	AMPFI_24271	BRALA24331, BRALA13772, BRALA12787, BRALA28959, BRALA12788, BRALA12298, BRALA22141, BRALA22208, BRALA01522, BRALA21191, BRALA02619, BRALA12358, BRALA12505, BRALA16485, BRALA09406, BRALA12797
OG0000003	AMPFI_15515	BRALA34994, BRALA34493, BRALA07602, BRALA07598, BRALA23609
OG0000003	AMPFI_12750	BRALA33939, BRALA01916
OG0000003	AMPFI_04384	BRALA11277
OG0000003	AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419	BRALA03414
OG0000003	AMPFI_00352	BRALA17860, BRALA17865, BRALA17861, BRALA17866, BRALA03419
OG0000003	AMPFI_07815	BRALA31353
OG0000003	AMPFI_25889	BRALA11278
OG0000003	AMPFI_11277	BRALA27165
OG0000003	AMPFI_13080, AMPFI_14508	BRALA34993, BRALA18601
OG0000003	AMPFI_13340, AMPFI_02133, AMPFI_10984	BRALA24754
OG0000003	AMPFI_09603, AMPFI_21929, AMPFI_23519	BRALA31768
OG0000003	AMPFI_13846	BRALA11276
OG0000003	AMPFI_15473, AMPFI_11654, AMPFI_16634, AMPFI_10596	BRALA10124
OG0000003	AMPFI_16630, AMPFI_04001	BRALA02711
OG0000003	AMPFI_18895	BRALA07070
OG0000003	AMPFI_14207	BRALA31766
OG0000003	AMPFI_01423, AMPFI_22677	BRALA29565
OG0000003	AMPFI_04480	BRALA02712, BRALA07571
OG0000003	AMPFI_02366	BRALA14502
OG0000003	AMPFI_18391, AMPFI_13137	BRALA01914
OG0000003	AMPFI_11583	BRALA01313
OG0000003	AMPFI_04899	BRALA17936, BRALA23610
OG0000003	AMPFI_09604	BRALA23910, BRALA01314, BRALA16566
OG0000004	AMPFI_23148, AMPFI_09184, AMPFI_25238	BRALA16167
OG0000004	AMPFI_07977	BRALA27667
OG0000004	AMPFI_08501, AMPFI_13880	BRALA03961
OG0000004	AMPFI_04189, AMPFI_03317	BRALA02003, BRALA02015
OG0000005	AMPFI_18504	BRALA00382
OG0000005	AMPFI_17853	BRALA31589
OG0000005	AMPFI_00525	BRALA15577, BRALA04488
OG0000006	AMPFI_22255, AMPFI_24001	BRALA03676
OG0000006	AMPFI_01603	BRALA27911
OG0000006	AMPFI_22470	BRALA17590
OG0000006	AMPFI_22463	BRALA23800
OG0000006	AMPFI_10542, AMPFI_00206	BRALA07568, BRALA29276
OG0000006	AMPFI_02520	BRALA22280
OG0000006	AMPFI_09123	BRALA17591
OG0000006	AMPFI_18507	BRALA24372, BRALA34187
OG0000006	AMPFI_06099	BRALA24993
OG0000006	AMPFI_17130	BRALA24994
OG0000006	AMPFI_12555	BRALA22628
OG0000007	AMPFI_02812	BRALA13447, BRALA13448
OG0000007	AMPFI_07094	BRALA20872, BRALA20870
OG0000007	AMPFI_16775	BRALA09541
OG0000007	AMPFI_15871	BRALA20579
OG0000007	AMPFI_26059	BRALA26097, BRALA14947
OG0000007	AMPFI_15806	BRALA22487
OG0000007	AMPFI_22204	BRALA06491
OG0000007	AMPFI_08786	BRALA18647
OG0000007	AMPFI_17089	BRALA23348
OG0000007	AMPFI_21281	BRALA05625
OG0000007	AMPFI_23280	BRALA30788
OG0000008	AMPFI_03619	BRALA16035, BRALA05591
OG0000008	AMPFI_18464	BRALA27340
OG0000008	AMPFI_10761	BRALA26942
OG0000008	AMPFI_13893	BRALA20539
OG0000009	AMPFI_19615	BRALA33044, BRALA32203, BRALA32983
OG0000009	AMPFI_03747	BRALA34913
OG0000009	AMPFI_22442, AMPFI_06910, AMPFI_19945, AMPFI_07658, AMPFI_17391	BRALA26278, BRALA32982
OG0000009	AMPFI_02892, AMPFI_01981	BRALA26344, BRALA34657
OG0000009	AMPFI_25789	BRALA26896, BRALA05198, BRALA23884, BRALA31944
OG0000009	AMPFI_18638, AMPFI_23313	BRALA12697, BRALA27847
OG0000009	AMPFI_04909, AMPFI_20474, AMPFI_23431	BRALA32265, BRALA29866, BRALA26277, BRALA33071, BRALA32981, BRALA30024, BRALA26298, BRALA26297, BRALA06338
OG0000010	AMPFI_14170	BRALA05894, BRALA13736, BRALA14215, BRALA13464, BRALA24211, BRALA24209
OG0000010	AMPFI_04353	BRALA24210, BRALA03886
OG0000010	AMPFI_20654	BRALA03920, BRALA03888, BRALA03922
