Orthogroup	XENTR	APOSJ_ok
OG0000000	XENTR08878	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	XENTR18066, XENTR08976, XENTR07932	APOSJ_43984, APOSJ_47154
OG0000000	XENTR10492, XENTR10560	APOSJ_18686
OG0000000	XENTR07734, XENTR13891	APOSJ_32352
OG0000000	XENTR17298, XENTR05705	APOSJ_18136
OG0000000	XENTR12445	APOSJ_34245
OG0000000	XENTR07618	APOSJ_60507
OG0000000	XENTR07167, XENTR10848, XENTR03338	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	XENTR04389	APOSJ_36728
OG0000000	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	XENTR10852, XENTR03334, XENTR08541	APOSJ_40396
OG0000000	XENTR06295, XENTR04184	APOSJ_37520
OG0000000	XENTR03185	APOSJ_38857, APOSJ_38860
OG0000000	XENTR12464, XENTR08726	APOSJ_32562, APOSJ_32561
OG0000000	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330	APOSJ_47531, APOSJ_29010
OG0000000	XENTR04388, XENTR00687, XENTR13779	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	XENTR01971, XENTR14936, XENTR09546	APOSJ_56734
OG0000000	XENTR01972, XENTR09547, XENTR08722	APOSJ_31415
OG0000000	XENTR12981	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	XENTR06679	APOSJ_02527
OG0000001	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247	APOSJ_12278, APOSJ_36722
