Orthogroup	SCHMD	MOUSE
OG0000000	SCHMD15791	MOUSE21446, MOUSE46880, MOUSE20962
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	MOUSE35835, MOUSE46731
OG0000000	SCHMD09645	MOUSE35499, MOUSE22971
OG0000000	SCHMD20523, SCHMD24588	MOUSE46719, MOUSE46718, MOUSE35959
OG0000000	SCHMD03805	MOUSE47799, MOUSE46854, MOUSE36974
OG0000000	SCHMD09133, SCHMD27825	MOUSE25533, MOUSE37056
OG0000000	SCHMD27182, SCHMD16896	MOUSE50880
OG0000000	SCHMD10926, SCHMD19942	MOUSE39800
OG0000000	SCHMD18969	MOUSE05222, MOUSE26497, MOUSE39799
OG0000000	SCHMD08046	MOUSE26494, MOUSE05221, MOUSE39801
OG0000000	SCHMD22390, SCHMD21735	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889
OG0000000	SCHMD21303	MOUSE35589, MOUSE35590
OG0000000	SCHMD01868	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	SCHMD11888, SCHMD08259	MOUSE42582
OG0000000	SCHMD24693	MOUSE39822, MOUSE26482, MOUSE26483
OG0000000	SCHMD05281, SCHMD04291	MOUSE12761, MOUSE36110
OG0000000	SCHMD13268	MOUSE12760, MOUSE21123, MOUSE17205, MOUSE28110, MOUSE28109, MOUSE07114
OG0000001	SCHMD16091	MOUSE11565, MOUSE20858, MOUSE11567
OG0000002	SCHMD15297	MOUSE33129
OG0000003	SCHMD00325	MOUSE23701, MOUSE23700, MOUSE08264
OG0000006	SCHMD00178	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	SCHMD18704	MOUSE29952, MOUSE29953, MOUSE29954, MOUSE29955
OG0000006	SCHMD09638	MOUSE54497, MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111, MOUSE28165, MOUSE07632, MOUSE07631, MOUSE38532, MOUSE38531, MOUSE10280
OG0000006	SCHMD23237	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	SCHMD13710	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	SCHMD18814	MOUSE03398
OG0000007	SCHMD12323	MOUSE09063, MOUSE49748
OG0000007	SCHMD01193	MOUSE28251
OG0000007	SCHMD08294	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	SCHMD17075	MOUSE20752
OG0000007	SCHMD03666	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	SCHMD12296, SCHMD02893	MOUSE13954, MOUSE09061, MOUSE09062, MOUSE49739
OG0000007	SCHMD08922, SCHMD00556	MOUSE38585
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	MOUSE04689, MOUSE37388, MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	SCHMD19134	MOUSE38586, MOUSE06525
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	MOUSE06204
OG0000007	SCHMD02246	MOUSE07031, MOUSE07030
OG0000010	SCHMD14528	MOUSE43879
OG0000010	SCHMD19321	MOUSE22876
OG0000010	SCHMD12053	MOUSE16882, MOUSE16884, MOUSE16883, MOUSE16885, MOUSE16872, MOUSE16871, MOUSE17060, MOUSE17058, MOUSE53049
OG0000010	SCHMD16346	MOUSE09529
OG0000010	SCHMD14061	MOUSE12661
