Orthogroup	SACKO_ok	XENTR
OG0000000	SACKO_12749	XENTR08878
OG0000000	SACKO_19677	XENTR18832, XENTR01079, XENTR01080
OG0000000	SACKO_25619	XENTR18066, XENTR08976, XENTR07932
OG0000000	SACKO_25616	XENTR18621
OG0000000	SACKO_05553	XENTR10508, XENTR13402
OG0000000	SACKO_16683	XENTR10492, XENTR10560
OG0000000	SACKO_08208, SACKO_08197	XENTR07734, XENTR13891
OG0000000	SACKO_32730, SACKO_17792	XENTR17298, XENTR05705
OG0000000	SACKO_19489	XENTR16086
OG0000000	SACKO_31887	XENTR12445
OG0000000	SACKO_24012	XENTR07167, XENTR10848, XENTR03338
OG0000000	SACKO_11590	XENTR04390, XENTR05494
OG0000000	SACKO_24040	XENTR10849, XENTR03337
OG0000000	SACKO_11588	XENTR04389
OG0000000	SACKO_24002	XENTR10854, XENTR08539, XENTR07170, XENTR03332, XENTR10853, XENTR03333, XENTR08540
OG0000000	SACKO_24024	XENTR08542, XENTR10851, XENTR07169, XENTR03335
OG0000000	SACKO_24025	XENTR10852, XENTR03334, XENTR08541
OG0000000	SACKO_26673	XENTR06295, XENTR04184
OG0000000	SACKO_06485	XENTR03185
OG0000000	SACKO_31872	XENTR12464, XENTR08726
OG0000000	SACKO_24017	XENTR08538, XENTR03331, XENTR07171, XENTR10855, XENTR10856, XENTR08537, XENTR03330
OG0000000	SACKO_11599	XENTR04388, XENTR00687, XENTR13779
OG0000000	SACKO_22872	XENTR03327, XENTR07175
OG0000000	SACKO_31901	XENTR14936, XENTR09546
OG0000000	SACKO_31899	XENTR01972, XENTR09547, XENTR08722
OG0000000	SACKO_11978	XENTR12981
OG0000000	SACKO_12011	XENTR06679
OG0000001	SACKO_21170	XENTR19191, XENTR05335, XENTR05334
OG0000001	SACKO_30873	XENTR06490
OG0000001	SACKO_04743, SACKO_04719, SACKO_23106	XENTR06493, XENTR06495, XENTR06496, XENTR06491, XENTR06492, XENTR06498, XENTR04248, XENTR04247
OG0000002	SACKO_11085, SACKO_21630, SACKO_21632	XENTR12747
OG0000002	SACKO_18256, SACKO_21544, SACKO_20829, SACKO_09450, SACKO_09460	XENTR16022, XENTR06263, XENTR03914, XENTR03913, XENTR03939, XENTR03940, XENTR05151, XENTR03912
OG0000002	SACKO_18684	XENTR16271, XENTR03602, XENTR03603, XENTR03601, XENTR03577, XENTR03576, XENTR18928, XENTR18929, XENTR03582, XENTR03581, XENTR03583, XENTR03579, XENTR18721, XENTR03578, XENTR03589, XENTR03580, XENTR19167, XENTR18665, XENTR03594, XENTR03590, XENTR03591, XENTR03595, XENTR03584, XENTR03574, XENTR03585, XENTR03586, XENTR03587, XENTR03588, XENTR03593, XENTR03592, XENTR03575, XENTR03600, XENTR03596, XENTR03597, XENTR03599, XENTR18361, XENTR18362, XENTR18519, XENTR03598
OG0000002	SACKO_00245, SACKO_00252	XENTR17667
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	XENTR05002, XENTR05003
OG0000005	SACKO_22081, SACKO_22108, SACKO_22102	XENTR09503, XENTR09492, XENTR09491, XENTR09477, XENTR17068, XENTR04106
OG0000006	SACKO_21953	XENTR06019
OG0000006	SACKO_11503	XENTR00026
OG0000006	SACKO_02616	XENTR03474, XENTR03473, XENTR14730
OG0000006	SACKO_13650	XENTR03954, XENTR14945
OG0000006	SACKO_23250	XENTR09947, XENTR11692
OG0000006	SACKO_15817	XENTR11329
OG0000006	SACKO_32444	XENTR15046
OG0000006	SACKO_12590, SACKO_14761, SACKO_02017	XENTR13548
OG0000006	SACKO_32500	XENTR15729, XENTR08627
OG0000006	SACKO_06429	XENTR04854, XENTR07280, XENTR07527
OG0000006	SACKO_32477	XENTR07719
