X.query_name	predicted_gene_name	eggNOG.annot	comparison
TCONS_00000865	OLIG3	Oligodendrocyte transcription factor 3	Pfla MG/Blan 18h
TCONS_00011489	GSC	goosecoid homeobox	Pfla MG/Blan 18h
TCONS_00013750	CACNG5	calcium channel, voltage-dependent, gamma subunit	Pfla MG/Blan 18h
TCONS_00019856	DNASE1	deoxyribonuclease	Pfla MG/Blan 18h
TCONS_00020192	FAM187A	family with sequence similarity 187, member A	Pfla MG/Blan 18h
TCONS_00045168	CD5L	CD5 molecule-like	Pfla MG/Blan 18h
TCONS_00050259	VWA5B1	von Willebrand factor A domain containing	Pfla MG/Blan 18h
TCONS_00050627	WNT4	Ligand for members of the frizzled family of seven transmembrane receptors (By similarity)	Pfla MG/Blan 18h
TCONS_00052595	HELT	helt bHLH transcription factor	Pfla MG/Blan 18h
TCONS_00002237	NOS1	Produces nitric oxide (NO) (By similarity)	Pfla Metchk/Blan Premet
TCONS_00003081	MUC12	SEA	Pfla Metchk/Blan Premet
TCONS_00005399	PRODH2	proline dehydrogenase (oxidase) 2	Pfla Metchk/Blan Premet
TCONS_00008407	CSMD1	c-type lectin domain family	Pfla Metchk/Blan Premet
TCONS_00010218	SRSF4	serine arginine-rich splicing factor	Pfla Metchk/Blan Premet
TCONS_00010599	TGFB2	Transforming growth factor beta	Pfla Metchk/Blan Premet
TCONS_00011027	FANCL	Fanconi anemia, complementation group L	Pfla Metchk/Blan Premet
TCONS_00013220	OTOA	Otoancorin	Pfla Metchk/Blan Premet
TCONS_00015587	FKBPL	FK506 binding protein like	Pfla Metchk/Blan Premet
TCONS_00016076	MAL-A8	Solute carrier family 3 (Cystine, dibasic and neutral amino acid transporters, activator of cystine, dibasic and neutral amino acid transport), member 1	Pfla Metchk/Blan Premet
TCONS_00016106	NR5A2	nuclear receptor subfamily 5 group A member	Pfla Metchk/Blan Premet
TCONS_00019861	MRC1	mannose receptor, C type 1	Pfla Metchk/Blan Premet
