Orthogroup	SACKO_ok	OWEFU
OG0000000	SACKO_12749	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	SACKO_19677	OFUSG13305.1.p1
OG0000000	SACKO_25619	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	SACKO_25616	OFUSG18918.1.p1
OG0000000	SACKO_05553	OFUSG05755.1.p1
OG0000000	SACKO_16683	OFUSG06970.1.p1
OG0000000	SACKO_25799	OFUSG05968.1.p1
OG0000000	SACKO_08208, SACKO_08197	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	SACKO_32730, SACKO_17792	OFUSG08786.1.p1
OG0000000	SACKO_19489	OFUSG09074.1.p1
OG0000000	SACKO_26485	OFUSG17443.1.p1
OG0000000	SACKO_31887	OFUSG19303.1.p1
OG0000000	SACKO_26668	OFUSG17426.1.p1
OG0000000	SACKO_24012	OFUSG13332.1.p1
OG0000000	SACKO_11590	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	SACKO_24040	OFUSG13333.1.p1, OFUSG13334.1.p1, OFUSG13334.3.p1, OFUSG13334.2.p1
OG0000000	SACKO_11588	OFUSG03302.1.p1
OG0000000	SACKO_24002	OFUSG13338.1.p1
OG0000000	SACKO_24009	OFUSG13339.1.p1, OFUSG13340.1.p1
OG0000000	SACKO_24024	OFUSG13335.1.p1
OG0000000	SACKO_24025	OFUSG13336.1.p1
OG0000000	SACKO_26673	OFUSG17003.1.p1
OG0000000	SACKO_06485	OFUSG21200.1.p1
OG0000000	SACKO_31872	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	SACKO_15987	OFUSG23416.1.p1
OG0000000	SACKO_11599	OFUSG03177.1.p1
OG0000000	SACKO_22872	OFUSG12947.1.p1
OG0000000	SACKO_31901	OFUSG05775.1.p1
OG0000000	SACKO_31899	OFUSG06109.1.p1
OG0000000	SACKO_11978	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	SACKO_12011	OFUSG21806.1.p1
OG0000001	SACKO_11349	OFUSG04431.1.p1
OG0000001	SACKO_32654, SACKO_33857	OFUSG26260.1.p1, OFUSG08771.1.p1
OG0000001	SACKO_21170	OFUSG18749.1.p1
OG0000001	SACKO_04733	OFUSG21348.1.p1, OFUSG06637.1.p1, OFUSG07880.1.p1, OFUSG17580.1.p1, OFUSG11591.1.p1, OFUSG11593.1.p1, OFUSG06797.1.p1, OFUSG05636.1.p1, OFUSG14751.1.p1, OFUSG02932.1.p1, OFUSG01783.1.p1, OFUSG01765.1.p1, OFUSG01912.1.p1
OG0000001	SACKO_30873	OFUSG04205.1.p1
OG0000002	SACKO_14603	OFUSG00560.1.p1
OG0000002	SACKO_11085, SACKO_21630, SACKO_21632	OFUSG12055.1.p1
OG0000002	SACKO_18605, SACKO_04997, SACKO_05015, SACKO_02276	OFUSG17657.1.p1, OFUSG13677.1.p1, OFUSG13676.1.p1, OFUSG19313.1.p1, OFUSG24110.1.p1, OFUSG03223.1.p1, OFUSG03217.1.p1, OFUSG18418.1.p1, OFUSG18418.2.p1, OFUSG23288.1.p1, OFUSG05627.1.p1, OFUSG19291.1.p1, OFUSG11944.1.p1, OFUSG01110.1.p1, OFUSG01110.2.p1, OFUSG18119.1.p1, OFUSG23287.1.p1
OG0000002	SACKO_18684	OFUSG09076.1.p1
OG0000002	SACKO_13458	OFUSG22946.2.p1
OG0000002	SACKO_00245, SACKO_00252	OFUSG18506.1.p1, OFUSG12538.1.p1, OFUSG08182.1.p1, OFUSG08178.1.p1, OFUSG08180.1.p1
OG0000003	SACKO_30791	OFUSG16265.1.p1, OFUSG21683.1.p1
OG0000003	SACKO_25210, SACKO_25215	OFUSG26297.1.p1
OG0000003	SACKO_32071	OFUSG21073.1.p1
OG0000005	SACKO_20139, SACKO_20129, SACKO_26428, SACKO_26458, SACKO_29310, SACKO_29323, SACKO_25395, SACKO_18304, SACKO_32970, SACKO_20142	OFUSG24728.1.p1, OFUSG03693.1.p1
OG0000005	SACKO_14812	OFUSG15197.1.p1, OFUSG15195.1.p1
OG0000005	SACKO_03236, SACKO_00899, SACKO_02650, SACKO_00900	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1
OG0000006	SACKO_15269	OFUSG11531.1.p1
OG0000006	SACKO_11503	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	SACKO_02616	OFUSG02905.1.p1
OG0000006	SACKO_13650	OFUSG25514.1.p1
OG0000006	SACKO_23250	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	SACKO_15817	OFUSG10782.1.p1
OG0000006	SACKO_33806	OFUSG14810.1.p1
OG0000006	SACKO_32444	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	SACKO_32440	OFUSG08660.1.p1
OG0000006	SACKO_12590	OFUSG21061.1.p1
OG0000006	SACKO_14761, SACKO_02017	OFUSG18090.1.p1
OG0000006	SACKO_32500	OFUSG08659.1.p1
OG0000006	SACKO_06429	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	SACKO_32477	OFUSG11740.1.p1
OG0000006	SACKO_20803	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	SACKO_32388	OFUSG11470.1.p1
OG0000006	SACKO_22000	OFUSG05485.1.p1
OG0000007	SACKO_16486	OFUSG09476.1.p1
OG0000007	SACKO_25751	OFUSG21527.1.p1
OG0000007	SACKO_30170	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	SACKO_17363	OFUSG13716.1.p1
OG0000007	SACKO_33128	OFUSG05364.1.p1
OG0000007	SACKO_15684	OFUSG04867.2.p1, OFUSG04867.1.p1
OG0000007	SACKO_15694	OFUSG23111.1.p1
OG0000007	SACKO_22717	OFUSG04768.1.p1
OG0000007	SACKO_15952	OFUSG09682.1.p1, OFUSG09683.1.p1
OG0000007	SACKO_15953	OFUSG19661.1.p1
OG0000007	SACKO_04591	OFUSG08948.1.p1
OG0000007	SACKO_00920	OFUSG10014.1.p1
OG0000007	SACKO_27771	OFUSG25429.1.p1
OG0000007	SACKO_27817	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	SACKO_02233	OFUSG10613.1.p1
OG0000007	SACKO_31073	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	SACKO_11981	OFUSG25241.1.p1
OG0000008	SACKO_09217	OFUSG25732.1.p1
OG0000008	SACKO_29665, SACKO_28380, SACKO_28379, SACKO_25577, SACKO_25585, SACKO_31323, SACKO_31280, SACKO_17455, SACKO_31331, SACKO_25272, SACKO_01695, SACKO_32427, SACKO_28703	OFUSG15533.1.p1
OG0000008	SACKO_31986, SACKO_33937, SACKO_05540	OFUSG20435.1.p1
OG0000008	SACKO_10317	OFUSG18646.1.p1
OG0000009	SACKO_23301	OFUSG23060.1.p1
OG0000009	SACKO_10948	OFUSG25126.1.p1
OG0000010	SACKO_19747, SACKO_14158, SACKO_23674	OFUSG05937.1.p1
OG0000010	SACKO_31740	OFUSG09897.1.p1, OFUSG08323.1.p1, OFUSG09247.1.p1
OG0000010	SACKO_15785	OFUSG10776.1.p1
OG0000010	SACKO_19852, SACKO_19839, SACKO_20088	OFUSG10415.1.p1, OFUSG10415.2.p1
OG0000012	SACKO_29085, SACKO_29089	OFUSG23981.1.p1, OFUSG23977.1.p1, OFUSG23979.1.p1, OFUSG23978.1.p1
OG0000012	SACKO_25852, SACKO_05170, SACKO_05236, SACKO_05231, SACKO_27422, SACKO_01346, SACKO_05227, SACKO_05213, SACKO_06922, SACKO_10565	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	SACKO_01736	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000012	SACKO_05175	OFUSG13750.1.p1, OFUSG26096.1.p1
OG0000013	SACKO_20134, SACKO_20882, SACKO_20884, SACKO_25123, SACKO_25143, SACKO_25131, SACKO_25137	OFUSG11222.1.p1, OFUSG06042.1.p1, OFUSG00249.1.p1, OFUSG06180.1.p1, OFUSG08166.1.p1, OFUSG15690.1.p1, OFUSG15877.1.p1, OFUSG07440.1.p1, OFUSG04377.1.p1, OFUSG04674.1.p1, OFUSG09984.1.p1, OFUSG22598.1.p1, OFUSG22594.1.p1, OFUSG22593.1.p1, OFUSG22595.1.p1, OFUSG22599.1.p1, OFUSG22597.1.p1, OFUSG22596.1.p1
OG0000014	SACKO_03371, SACKO_03415, SACKO_03391, SACKO_22208, SACKO_17210, SACKO_07037, SACKO_09441, SACKO_09449, SACKO_09439, SACKO_09461, SACKO_06966, SACKO_06947, SACKO_08105, SACKO_08147, SACKO_09870, SACKO_16092, SACKO_31551, SACKO_29003, SACKO_10634, SACKO_14937, SACKO_17414, SACKO_06936, SACKO_32656, SACKO_09455, SACKO_09442, SACKO_09453, SACKO_09445, SACKO_09444, SACKO_09452, SACKO_06943, SACKO_06984, SACKO_08621, SACKO_25933, SACKO_00449, SACKO_12265, SACKO_12257, SACKO_10784, SACKO_10786, SACKO_33738, SACKO_26423, SACKO_26460	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	SACKO_13283	OFUSG00805.1.p1
OG0000014	SACKO_06958	OFUSG25832.1.p1
OG0000015	SACKO_09494	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	SACKO_31697	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	SACKO_11254, SACKO_29684, SACKO_11255, SACKO_11287, SACKO_11889, SACKO_08390, SACKO_24547, SACKO_24571, SACKO_02855, SACKO_24548, SACKO_22485, SACKO_22502, SACKO_22509	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1
OG0000015	SACKO_17011, SACKO_07089, SACKO_00034, SACKO_00056, SACKO_18010, SACKO_12151, SACKO_25364, SACKO_25361, SACKO_25397, SACKO_25365, SACKO_33283, SACKO_33290, SACKO_08251, SACKO_11425, SACKO_33292, SACKO_33299	OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1
OG0000015	SACKO_09394, SACKO_11453, SACKO_31684	OFUSG21186.1.p1
OG0000016	SACKO_26503, SACKO_06921, SACKO_08552, SACKO_02763, SACKO_27519, SACKO_31968	OFUSG16773.1.p1
OG0000016	SACKO_06844	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1
OG0000016	SACKO_23373, SACKO_07103, SACKO_18319	OFUSG13895.1.p1
OG0000016	SACKO_11717, SACKO_14898	OFUSG11848.1.p1
OG0000016	SACKO_26527	OFUSG06227.1.p1
OG0000016	SACKO_06390, SACKO_25497, SACKO_10752, SACKO_25451, SACKO_06368, SACKO_16222, SACKO_01152, SACKO_01198, SACKO_02850, SACKO_02856, SACKO_23460, SACKO_02844, SACKO_00542, SACKO_04938, SACKO_04247, SACKO_12793, SACKO_30133, SACKO_06151, SACKO_06139, SACKO_16244, SACKO_18686, SACKO_27061, SACKO_06906, SACKO_06367, SACKO_06917	OFUSG14920.1.p1, OFUSG23914.1.p1
OG0000018	SACKO_12447	OFUSG02956.1.p1
OG0000019	SACKO_05035	OFUSG14039.1.p1, OFUSG23776.1.p1
OG0000019	SACKO_20530, SACKO_31918, SACKO_29250, SACKO_29837, SACKO_29254	OFUSG08823.1.p1
OG0000019	SACKO_28153	OFUSG23567.1.p1, OFUSG09103.1.p1
OG0000019	SACKO_34115, SACKO_32997, SACKO_06343, SACKO_26551, SACKO_34158, SACKO_09261, SACKO_14219, SACKO_09585, SACKO_04627, SACKO_12671	OFUSG04421.1.p1, OFUSG13833.1.p1, OFUSG25829.1.p1, OFUSG14065.1.p1, OFUSG25830.1.p1, OFUSG14040.1.p1
OG0000019	SACKO_03203	OFUSG20813.1.p1, OFUSG20814.1.p1, OFUSG18686.1.p1
OG0000019	SACKO_23880	OFUSG11853.1.p1, OFUSG11853.3.p1, OFUSG11853.2.p1
OG0000019	SACKO_20403, SACKO_20414	OFUSG19407.1.p1, OFUSG06826.1.p1
OG0000020	SACKO_34195	OFUSG13197.1.p1
OG0000020	SACKO_22951	OFUSG19131.1.p1
OG0000020	SACKO_26124, SACKO_26857, SACKO_10515, SACKO_21519, SACKO_08704, SACKO_24262, SACKO_13567, SACKO_14956, SACKO_28904	OFUSG13406.1.p1
OG0000020	SACKO_23553	OFUSG14744.1.p1
OG0000020	SACKO_23513	OFUSG12274.1.p1, OFUSG12274.2.p1
OG0000021	SACKO_33728, SACKO_24549	OFUSG18643.1.p1
OG0000021	SACKO_32115	OFUSG26914.2.p1, OFUSG26914.3.p1, OFUSG26914.1.p1
OG0000021	SACKO_15594	OFUSG24230.1.p1, OFUSG15132.1.p1, OFUSG15132.2.p1
OG0000021	SACKO_12803	OFUSG13532.1.p1, OFUSG13532.2.p1
OG0000021	SACKO_31258, SACKO_00486, SACKO_14364, SACKO_10771, SACKO_11695, SACKO_09800, SACKO_24631	OFUSG03542.1.p1, OFUSG03403.1.p1, OFUSG03403.2.p1, OFUSG16515.1.p1, OFUSG16515.2.p1, OFUSG16222.2.p1, OFUSG16222.1.p1, OFUSG13726.2.p1, OFUSG13726.1.p1, OFUSG22547.2.p1, OFUSG22547.1.p1
