Orthogroup	DROME	YEAST
OG0000000	DROME16218, DROME16219, DROME04813, DROME07346, DROME14805, DROME14806, DROME15599, DROME15463, DROME15462, DROME11250, DROME14878, DROME21328, DROME21327, DROME20419, DROME03422, DROME05373, DROME12799, DROME16097, DROME01107, DROME17319, DROME13389, DROME13388, DROME11314, DROME13405, DROME13402, DROME13403, DROME13415, DROME13417, DROME13418, DROME13419, DROME13416, DROME15339, DROME15340, DROME13413, DROME13414, DROME10025, DROME16399	YEAST00701
OG0000000	DROME13420	YEAST04484
OG0000007	DROME18346	YEAST00671
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	YEAST01568, YEAST05134
OG0000013	DROME14257, DROME14247, DROME14258, DROME18111, DROME14254, DROME14255, DROME14256, DROME14251, DROME14252, DROME14250, DROME03185, DROME16203, DROME07507, DROME07508, DROME03238, DROME03237, DROME00659, DROME03236, DROME01152, DROME14613, DROME14614, DROME03497, DROME02996, DROME02995, DROME06577, DROME02994, DROME03979, DROME03978	YEAST04082
OG0000014	DROME06381, DROME05409, DROME03987, DROME14595, DROME14594, DROME04096, DROME08642, DROME05988, DROME18828	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	YEAST03870, YEAST01103
OG0000031	DROME19172, DROME19945, DROME19947, DROME19946, DROME19949, DROME19948, DROME07909, DROME09230, DROME05246, DROME16481	YEAST02238
OG0000034	DROME20092, DROME20090, DROME20091, DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489, DROME13496, DROME18268, DROME18267, DROME18266, DROME18269, DROME03104, DROME03105, DROME20524, DROME11310, DROME11311	YEAST04436, YEAST05550, YEAST05115
OG0000036	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305, DROME20717, DROME20716, DROME20719, DROME20718	YEAST02545, YEAST02806
OG0000037	DROME13887, DROME14759, DROME14760, DROME20237, DROME07468, DROME07469, DROME08695, DROME15640, DROME04516	YEAST03227
OG0000038	DROME10442, DROME15543, DROME13535, DROME13441, DROME13993	YEAST04422, YEAST04379
OG0000043	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771	YEAST00224, YEAST01200
OG0000048	DROME07309, DROME15626, DROME15625, DROME15613, DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389, DROME01500	YEAST05707
OG0000054	DROME20361, DROME14495, DROME14891, DROME14496, DROME14497, DROME14593, DROME13726, DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360, DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822, DROME21992	YEAST01385
OG0000055	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677	YEAST01199, YEAST00225
OG0000058	DROME14598	YEAST02989
OG0000058	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731	YEAST02120
OG0000069	DROME03713	YEAST03661
OG0000069	DROME19859, DROME00928	YEAST05172
OG0000079	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316, DROME14749, DROME14748, DROME14747, DROME14750, DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810, DROME17092, DROME17093, DROME17091, DROME17095, DROME17094, DROME01298	YEAST05330
OG0000082	DROME20298	YEAST03287
OG0000082	DROME05998	YEAST04267, YEAST01834, YEAST03359
OG0000082	DROME11174, DROME11173, DROME15008, DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705	YEAST03862, YEAST00076, YEAST01992, YEAST00148
OG0000095	DROME09894, DROME19308, DROME19311, DROME09898, DROME09896, DROME09897, DROME09895, DROME09917, DROME01438, DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771	YEAST02993
OG0000096	DROME08195, DROME08196, DROME08870	YEAST02643
OG0000096	DROME13163	YEAST00638
OG0000096	DROME06400, DROME13915, DROME09341	YEAST05104, YEAST05564
OG0000103	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989, DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439	YEAST02873
OG0000107	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752	YEAST05173
