Orthogroup	ORYLA	BRALA
OG0000000	ORYLA04928	BRALA16375, BRALA16376
OG0000000	ORYLA07037, ORYLA08538	BRALA00047
OG0000000	ORYLA05297	BRALA19584, BRALA19585, BRALA25857
OG0000000	ORYLA07510, ORYLA04677	BRALA17283
OG0000000	ORYLA04924, ORYLA08113	BRALA24482
OG0000000	ORYLA18170	BRALA16262
OG0000000	ORYLA02858, ORYLA12900	BRALA18359
OG0000000	ORYLA03677	BRALA29522
OG0000000	ORYLA11446	BRALA21476
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	BRALA00115
OG0000000	ORYLA04170, ORYLA18990	BRALA11736
OG0000000	ORYLA17164, ORYLA01822, ORYLA05619	BRALA00116
OG0000000	ORYLA09108	BRALA11734
OG0000000	ORYLA08249, ORYLA17160	BRALA00121
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	BRALA00118
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	BRALA00439, BRALA26541
OG0000000	ORYLA08225, ORYLA06162	BRALA00079
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	BRALA34448
OG0000000	ORYLA01827, ORYLA05617	BRALA00124
OG0000000	ORYLA01029, ORYLA04459	BRALA11733
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	BRALA00135
OG0000000	ORYLA05044, ORYLA00932	BRALA30674
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	BRALA30673
OG0000000	ORYLA10060	BRALA17840
OG0000001	ORYLA01580	BRALA14819
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897	BRALA00762, BRALA09667, BRALA20490, BRALA27259
OG0000001	ORYLA02547	BRALA25322, BRALA21156
OG0000002	ORYLA00438	BRALA02394, BRALA02393, BRALA12208, BRALA06193, BRALA06192, BRALA12524, BRALA04416, BRALA20174, BRALA26760, BRALA23949, BRALA18644, BRALA02269, BRALA16429, BRALA10636, BRALA22142, BRALA19929, BRALA19930, BRALA32338, BRALA20554, BRALA19928, BRALA04417, BRALA20500
OG0000002	ORYLA03051	BRALA21492, BRALA22510, BRALA17577, BRALA01102, BRALA16253, BRALA11862, BRALA13544, BRALA13542, BRALA01271, BRALA00868, BRALA05067, BRALA24317, BRALA30805, BRALA05068, BRALA05069, BRALA16745, BRALA10425, BRALA30468
OG0000002	ORYLA03052, ORYLA16692	BRALA20754
OG0000002	ORYLA13467, ORYLA16691	BRALA27121
OG0000004	ORYLA08163	BRALA03918
