Orthogroup	AMPFI_ok	APOSJ_ok
OG0000000	AMPFI_12098	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	AMPFI_11894	APOSJ_43984, APOSJ_47154
OG0000000	AMPFI_16025	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	AMPFI_08228	APOSJ_32352
OG0000000	AMPFI_02168	APOSJ_34245
OG0000000	AMPFI_10716	APOSJ_60507
OG0000000	AMPFI_19781	APOSJ_36728
OG0000000	AMPFI_22359	APOSJ_20159
OG0000000	AMPFI_12478	APOSJ_32562, APOSJ_32561
OG0000000	AMPFI_25019	APOSJ_05847, APOSJ_05848
OG0000000	AMPFI_04297	APOSJ_38441
OG0000000	AMPFI_05560	APOSJ_62087
OG0000000	AMPFI_20876	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	AMPFI_21326	APOSJ_56734
OG0000000	AMPFI_01589	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	AMPFI_10655	APOSJ_02527
OG0000001	AMPFI_06127	APOSJ_37929
OG0000001	AMPFI_11237	APOSJ_51222
OG0000001	AMPFI_13782	APOSJ_62226
OG0000001	AMPFI_23521	APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875
OG0000001	AMPFI_18148, AMPFI_13477	APOSJ_12278, APOSJ_36722
OG0000001	AMPFI_00879	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152
OG0000002	AMPFI_23102	APOSJ_36413
OG0000002	AMPFI_19052, AMPFI_09634, AMPFI_20301, AMPFI_00785, AMPFI_19979	APOSJ_32422, APOSJ_05886, APOSJ_09049, APOSJ_21222, APOSJ_21226, APOSJ_56330, APOSJ_56332, APOSJ_57911, APOSJ_56329, APOSJ_54856, APOSJ_21227, APOSJ_09048, APOSJ_38446, APOSJ_40855, APOSJ_40858, APOSJ_11585, APOSJ_46757, APOSJ_40854, APOSJ_31322
OG0000002	AMPFI_18855, AMPFI_10028, AMPFI_14105	APOSJ_42507, APOSJ_51187
OG0000002	AMPFI_02191, AMPFI_00932, AMPFI_04499, AMPFI_00565, AMPFI_17812, AMPFI_23663, AMPFI_24271, AMPFI_17825, AMPFI_16931, AMPFI_22489, AMPFI_13725, AMPFI_24486, AMPFI_21278, AMPFI_04152	APOSJ_21931
OG0000003	AMPFI_04384	APOSJ_24854
OG0000003	AMPFI_16210, AMPFI_13329, AMPFI_20804, AMPFI_11026, AMPFI_25419, AMPFI_16064	APOSJ_63267
OG0000003	AMPFI_07815	APOSJ_43552, APOSJ_43551
OG0000003	AMPFI_25889	APOSJ_43592, APOSJ_07424, APOSJ_43596
