Orthogroup	AENJA_ok	CAEEL
OG0000000	AENJA_00110	CAEEL18735
OG0000000	AENJA_24355	CAEEL01893
OG0000000	AENJA_09148	CAEEL08140
OG0000000	AENJA_23544	CAEEL18754
OG0000000	AENJA_09172	CAEEL06523
OG0000000	AENJA_06471	CAEEL00081
OG0000000	AENJA_01537	CAEEL18467, CAEEL18466
OG0000000	AENJA_05531	CAEEL10851
OG0000000	AENJA_07481	CAEEL18086
OG0000000	AENJA_15854	CAEEL08092
OG0000000	AENJA_12748, AENJA_15858, AENJA_15855, AENJA_12751, AENJA_05807, AENJA_05798, AENJA_15859, AENJA_15861, AENJA_05799	CAEEL08135, CAEEL08091
OG0000000	AENJA_22692	CAEEL00979
OG0000000	AENJA_05802, AENJA_19519, AENJA_10529, AENJA_19329, AENJA_10530	CAEEL09056, CAEEL09057, CAEEL09058
OG0000000	AENJA_21459	CAEEL07441
OG0000000	AENJA_05805	CAEEL08137, CAEEL17599
OG0000000	AENJA_01755	CAEEL08875
OG0000000	AENJA_05264, AENJA_18954, AENJA_18955	CAEEL16213
OG0000001	AENJA_16489	CAEEL15812
OG0000001	AENJA_04021	CAEEL12710, CAEEL12709, CAEEL12708
OG0000001	AENJA_08321, AENJA_04251, AENJA_04252, AENJA_14378, AENJA_09599, AENJA_01806, AENJA_19759	CAEEL14137
OG0000002	AENJA_05471, AENJA_03252	CAEEL18977
OG0000003	AENJA_06624	CAEEL08453, CAEEL08460
OG0000003	AENJA_15435	CAEEL18127
OG0000003	AENJA_21338	CAEEL20577
OG0000003	AENJA_22000	CAEEL19939
OG0000005	AENJA_12565	CAEEL13168
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	AENJA_24820, AENJA_26322, AENJA_26127, AENJA_12569, AENJA_08345	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	AENJA_18510	CAEEL18976
OG0000006	AENJA_13126	CAEEL00696
OG0000006	AENJA_22522	CAEEL07700
OG0000006	AENJA_09814, AENJA_09813	CAEEL05532
OG0000006	AENJA_18450	CAEEL12101
OG0000006	AENJA_01590	CAEEL00153
OG0000006	AENJA_09210	CAEEL17819
OG0000006	AENJA_15474	CAEEL15182
OG0000007	AENJA_18163	CAEEL04050
OG0000007	AENJA_00810	CAEEL17965
OG0000007	AENJA_25020	CAEEL05829
OG0000007	AENJA_18328	CAEEL01108
OG0000007	AENJA_07512	CAEEL01984
OG0000007	AENJA_07359, AENJA_15955, AENJA_09687, AENJA_07358	CAEEL10238, CAEEL04602
OG0000007	AENJA_26507	CAEEL18586
OG0000010	AENJA_06639	CAEEL10534
OG0000012	AENJA_21729, AENJA_07862, AENJA_07861, AENJA_02014	CAEEL20690
OG0000013	AENJA_11516, AENJA_23415	CAEEL19127
OG0000015	AENJA_18653	CAEEL15587
OG0000015	AENJA_19630	CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855
OG0000016	AENJA_04784, AENJA_04814, AENJA_14549, AENJA_07664	CAEEL20493
OG0000016	AENJA_11513	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078
OG0000016	AENJA_26671, AENJA_26677, AENJA_21813, AENJA_16651	CAEEL18647
OG0000019	AENJA_12747	CAEEL19797
OG0000019	AENJA_19174, AENJA_03417, AENJA_02272, AENJA_02277	CAEEL15403
OG0000019	AENJA_02275, AENJA_02276, AENJA_10509, AENJA_19272	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513
OG0000020	AENJA_16929	CAEEL00627
OG0000020	AENJA_10912, AENJA_11444	CAEEL05927
OG0000020	AENJA_14659	CAEEL13362
OG0000020	AENJA_12495	CAEEL09273
OG0000021	AENJA_14639	CAEEL15603
OG0000021	AENJA_24950	CAEEL00422
