Orthogroup	CAPO3	OWEFU
OG0000003	CAPO301945	OFUSG23316.1.p1, OFUSG23314.1.p1, OFUSG18790.1.p1, OFUSG26533.1.p1, OFUSG26305.1.p1, OFUSG17555.1.p1, OFUSG19225.1.p1, OFUSG16264.1.p1, OFUSG08772.1.p1, OFUSG14536.1.p1, OFUSG21334.1.p1, OFUSG16265.1.p1, OFUSG21683.1.p1, OFUSG05190.1.p1, OFUSG05194.1.p1, OFUSG12884.1.p1, OFUSG26297.1.p1, OFUSG10601.1.p1, OFUSG12883.1.p1, OFUSG01752.1.p1, OFUSG13877.1.p1, OFUSG13877.2.p1, OFUSG04319.1.p1, OFUSG05925.1.p1, OFUSG18436.1.p1, OFUSG18438.1.p1, OFUSG26303.1.p1, OFUSG26296.1.p1, OFUSG05924.1.p1, OFUSG23734.1.p1, OFUSG18791.1.p1, OFUSG23315.1.p1, OFUSG04335.1.p1, OFUSG23618.1.p1, OFUSG03893.1.p1, OFUSG08977.2.p1, OFUSG08977.1.p1, OFUSG21073.1.p1, OFUSG02265.1.p1, OFUSG04605.1.p1, OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1, OFUSG23317.1.p1
OG0000005	CAPO308356, CAPO307946	OFUSG03264.1.p1, OFUSG24728.1.p1, OFUSG03693.1.p1, OFUSG01432.2.p1, OFUSG01432.1.p1, OFUSG01434.1.p1, OFUSG01434.2.p1, OFUSG22435.1.p1, OFUSG07985.1.p1, OFUSG00507.1.p1, OFUSG04765.1.p1, OFUSG01152.1.p1, OFUSG04763.1.p1, OFUSG04764.1.p1, OFUSG17307.1.p1, OFUSG01079.1.p1, OFUSG20722.1.p1, OFUSG20723.1.p1, OFUSG20721.1.p1, OFUSG03976.2.p1, OFUSG03976.3.p1, OFUSG03976.1.p1, OFUSG20962.1.p1, OFUSG26395.1.p1, OFUSG26404.1.p1, OFUSG17086.1.p1, OFUSG23479.1.p1, OFUSG23482.2.p1, OFUSG23482.1.p1, OFUSG15197.1.p1, OFUSG15195.1.p1, OFUSG16580.1.p1, OFUSG23825.1.p1, OFUSG23824.1.p1, OFUSG14951.1.p1, OFUSG10608.1.p1, OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1, OFUSG26276.1.p1, OFUSG09350.1.p1, OFUSG16869.1.p1, OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	CAPO302620	OFUSG11470.1.p1
OG0000007	CAPO304209	OFUSG10014.1.p1, OFUSG24641.1.p1, OFUSG25429.1.p1, OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	CAPO300935	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	CAPO305123	OFUSG25241.1.p1
OG0000012	CAPO302923, CAPO302931	OFUSG12918.1.p1, OFUSG08171.1.p1, OFUSG25983.1.p1, OFUSG24954.1.p1, OFUSG14292.1.p1, OFUSG14293.1.p1, OFUSG14294.1.p1, OFUSG21301.1.p1, OFUSG24591.1.p1, OFUSG24955.1.p1, OFUSG23981.1.p1, OFUSG23977.1.p1, OFUSG23979.1.p1, OFUSG23978.1.p1, OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1, OFUSG17546.1.p1, OFUSG22951.1.p1, OFUSG20656.1.p1, OFUSG20658.1.p1, OFUSG06519.1.p1, OFUSG06521.1.p1, OFUSG05812.1.p1, OFUSG06520.1.p1, OFUSG20570.1.p1, OFUSG20324.1.p1, OFUSG20571.1.p1, OFUSG10133.2.p1, OFUSG07223.1.p1, OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1, OFUSG04462.1.p1, OFUSG04460.1.p1, OFUSG22117.1.p1, OFUSG13750.1.p1, OFUSG26096.1.p1
OG0000015	CAPO302521	OFUSG02249.1.p1, OFUSG16912.1.p1, OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1, OFUSG03121.2.p1, OFUSG03121.1.p1, OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1, OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1, OFUSG03112.2.p1, OFUSG03112.1.p1, OFUSG03112.5.p1, OFUSG03112.4.p1, OFUSG03112.3.p1, OFUSG03383.1.p1, OFUSG21185.4.p1, OFUSG21185.2.p1, OFUSG21185.3.p1, OFUSG21185.5.p1, OFUSG21185.1.p1, OFUSG13739.4.p1, OFUSG13739.2.p1, OFUSG13739.1.p1, OFUSG13739.3.p1, OFUSG13739.5.p1, OFUSG20919.1.p1, OFUSG20919.2.p1, OFUSG20920.1.p1, OFUSG20920.4.p1, OFUSG20920.3.p1, OFUSG20920.2.p1, OFUSG02048.2.p1, OFUSG02048.1.p1, OFUSG03297.1.p1, OFUSG21186.1.p1
OG0000016	CAPO300049	OFUSG16773.1.p1
OG0000016	CAPO304360	OFUSG06387.1.p1, OFUSG05927.1.p1, OFUSG10030.1.p1, OFUSG10824.1.p1, OFUSG18493.1.p1, OFUSG18488.1.p1, OFUSG18491.1.p1, OFUSG10402.1.p1, OFUSG06386.1.p1, OFUSG05926.1.p1, OFUSG14053.2.p1, OFUSG14053.1.p1, OFUSG15777.1.p1, OFUSG03176.1.p1
OG0000016	CAPO306803	OFUSG06388.1.p1, OFUSG18492.1.p1, OFUSG13895.1.p1
OG0000016	CAPO303259	OFUSG11848.1.p1
OG0000016	CAPO300936	OFUSG06227.1.p1, OFUSG14920.1.p1, OFUSG23914.1.p1
