Orthogroup	DROME	NEMVE
OG0000000	DROME16218, DROME16219	NEMVE15388
OG0000000	DROME04813	NEMVE01834
OG0000000	DROME07346	NEMVE15910, NEMVE03396
OG0000000	DROME14805, DROME14806	NEMVE09627, NEMVE02365
OG0000000	DROME15599	NEMVE04822
OG0000000	DROME15463, DROME15462	NEMVE05015
OG0000000	DROME11250	NEMVE11246
OG0000000	DROME14878	NEMVE02875
OG0000000	DROME20419	NEMVE03328, NEMVE00592, NEMVE06804
OG0000000	DROME05373	NEMVE03364, NEMVE10341, NEMVE10347
OG0000000	DROME12799	NEMVE07200
OG0000000	DROME16097	NEMVE02364
OG0000000	DROME01107	NEMVE04732, NEMVE07124
OG0000000	DROME17319	NEMVE03387
OG0000000	DROME11314	NEMVE06009
OG0000000	DROME13405	NEMVE08994
OG0000000	DROME13402, DROME13403	NEMVE07213
OG0000000	DROME13415	NEMVE05986
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416, DROME15339, DROME15340, DROME13413, DROME13414	NEMVE15281
OG0000000	DROME10025	NEMVE07211
OG0000000	DROME16399	NEMVE10163, NEMVE10158, NEMVE10164, NEMVE10161
OG0000000	DROME17718	NEMVE05017
OG0000000	DROME03546, DROME03545, DROME13420	NEMVE15350
OG0000000	DROME04989	NEMVE07203
OG0000000	DROME16202	NEMVE17362
OG0000000	DROME16201	NEMVE03927
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	NEMVE03925, NEMVE02854, NEMVE17363, NEMVE10113, NEMVE14999, NEMVE10106
OG0000002	DROME21552, DROME21551, DROME14626, DROME12189, DROME02894	NEMVE23078, NEMVE22396, NEMVE21720, NEMVE07891
