Orthogroup	CAEEL	LYTVA_ok
OG0000000	CAEEL18735	LYTVA_01679
OG0000000	CAEEL08140	LYTVA_25096
OG0000000	CAEEL18754	LYTVA_01827
OG0000000	CAEEL06523	LYTVA_18988
OG0000000	CAEEL00081	LYTVA_18985
OG0000000	CAEEL10851	LYTVA_21959
OG0000000	CAEEL18086	LYTVA_22602
OG0000000	CAEEL05734	LYTVA_27704
OG0000000	CAEEL08092	LYTVA_08678
OG0000000	CAEEL08135, CAEEL08091	LYTVA_08668, LYTVA_23667, LYTVA_22477, LYTVA_22478, LYTVA_22480, LYTVA_22479
OG0000000	CAEEL00979	LYTVA_23047
OG0000000	CAEEL19601	LYTVA_06897
OG0000000	CAEEL09056, CAEEL09057, CAEEL09058	LYTVA_22476, LYTVA_22475, LYTVA_29838, LYTVA_27097, LYTVA_29834
OG0000000	CAEEL07441	LYTVA_22714
OG0000000	CAEEL08137, CAEEL17599	LYTVA_09826
OG0000000	CAEEL08875	LYTVA_19015
OG0000000	CAEEL16213	LYTVA_17046, LYTVA_23349, LYTVA_23351
OG0000002	CAEEL13228, CAEEL12925, CAEEL13245, CAEEL13244, CAEEL13243, CAEEL13242, CAEEL13246, CAEEL13682, CAEEL13221, CAEEL13223, CAEEL17594, CAEEL16944, CAEEL13479, CAEEL14996, CAEEL14636, CAEEL11003, CAEEL11002, CAEEL11012, CAEEL20200, CAEEL14075, CAEEL20203, CAEEL20199, CAEEL20201, CAEEL01553, CAEEL04143	LYTVA_05820
OG0000003	CAEEL18127	LYTVA_06976
OG0000005	CAEEL13168	LYTVA_24142
OG0000005	CAEEL20591, CAEEL05556, CAEEL19115	LYTVA_01017
OG0000005	CAEEL17405, CAEEL08039, CAEEL04792	LYTVA_21111, LYTVA_05821
OG0000006	CAEEL00696	LYTVA_21289
OG0000006	CAEEL07700	LYTVA_07373
OG0000006	CAEEL05532	LYTVA_23957, LYTVA_14827
OG0000006	CAEEL12101	LYTVA_29412, LYTVA_25462
OG0000006	CAEEL00153	LYTVA_16832
OG0000006	CAEEL17819	LYTVA_16844
OG0000006	CAEEL15182	LYTVA_08878
OG0000007	CAEEL04050	LYTVA_22273
OG0000007	CAEEL17965	LYTVA_23216
OG0000007	CAEEL05829	LYTVA_27359
OG0000007	CAEEL01108	LYTVA_04121
OG0000007	CAEEL10238, CAEEL04602	LYTVA_03206, LYTVA_12379, LYTVA_12378
OG0000007	CAEEL18586	LYTVA_05177
OG0000012	CAEEL20690	LYTVA_11199, LYTVA_24773, LYTVA_27764
OG0000012	CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698, CAEEL13039, CAEEL14777, CAEEL19132, CAEEL18995	LYTVA_05189
OG0000013	CAEEL19127	LYTVA_14036, LYTVA_14035, LYTVA_24263, LYTVA_16177, LYTVA_17617, LYTVA_13019, LYTVA_13020, LYTVA_03982, LYTVA_05971, LYTVA_26708, LYTVA_02518, LYTVA_13739, LYTVA_21776, LYTVA_12310, LYTVA_12309, LYTVA_22713, LYTVA_22716, LYTVA_11879, LYTVA_09546, LYTVA_28541, LYTVA_13975, LYTVA_00129, LYTVA_18668, LYTVA_18187, LYTVA_18188, LYTVA_11839, LYTVA_02943, LYTVA_27265, LYTVA_27263, LYTVA_13649, LYTVA_17421, LYTVA_15176, LYTVA_12759, LYTVA_00164, LYTVA_00165, LYTVA_15941, LYTVA_29938, LYTVA_08916, LYTVA_23579, LYTVA_15177, LYTVA_22519
OG0000015	CAEEL15587	LYTVA_26002
OG0000016	CAEEL20493	LYTVA_02179, LYTVA_09460, LYTVA_20745
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	LYTVA_21831, LYTVA_18288
OG0000016	CAEEL18647	LYTVA_27143, LYTVA_00562
OG0000019	CAEEL19797, CAEEL15403	LYTVA_17120
OG0000019	CAEEL20377, CAEEL20739, CAEEL19383, CAEEL19258, CAEEL10676, CAEEL00531, CAEEL01379, CAEEL01513	LYTVA_14521, LYTVA_18523, LYTVA_29569, LYTVA_29679, LYTVA_04809, LYTVA_22729
OG0000020	CAEEL07399	LYTVA_00541
OG0000020	CAEEL00627	LYTVA_23009
OG0000020	CAEEL05927	LYTVA_17081, LYTVA_06231
OG0000020	CAEEL13362	LYTVA_09530
OG0000020	CAEEL09273	LYTVA_00542
OG0000021	CAEEL15603	LYTVA_04917
OG0000021	CAEEL00422	LYTVA_09991
OG0000021	CAEEL00784, CAEEL15377	LYTVA_14564
OG0000023	CAEEL13426	LYTVA_24785
OG0000028	CAEEL01726, CAEEL20276, CAEEL05087, CAEEL06397, CAEEL18628, CAEEL05010, CAEEL01184, CAEEL14863, CAEEL14864, CAEEL10517	LYTVA_12763
OG0000029	CAEEL20320	LYTVA_19314
OG0000029	CAEEL11851, CAEEL20612	LYTVA_19555, LYTVA_01403, LYTVA_23870
OG0000030	CAEEL00681, CAEEL00682, CAEEL00680	LYTVA_26760
OG0000030	CAEEL04353	LYTVA_20955, LYTVA_09651, LYTVA_26586
OG0000030	CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	LYTVA_27440
OG0000031	CAEEL02023	LYTVA_04157, LYTVA_03000, LYTVA_07242
OG0000031	CAEEL04718	LYTVA_19491
OG0000031	CAEEL07076	LYTVA_05124
OG0000032	CAEEL19615	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734
OG0000032	CAEEL08739, CAEEL18742, CAEEL18342	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746, LYTVA_26011, LYTVA_24216, LYTVA_22020
OG0000034	CAEEL07900	LYTVA_20191
OG0000034	CAEEL13037	LYTVA_09293
OG0000034	CAEEL04773, CAEEL04774, CAEEL06717, CAEEL13034	LYTVA_04080
OG0000034	CAEEL01132	LYTVA_29167, LYTVA_10612
OG0000034	CAEEL03140, CAEEL03141	LYTVA_11788
OG0000035	CAEEL20458	LYTVA_12115
