Orthogroup	STRPU_ok	OWEFU
OG0000000	STRPU_10146, STRPU_10084	OFUSG19483.1.p1, OFUSG18880.1.p1
OG0000000	STRPU_22262	OFUSG13305.1.p1
OG0000000	STRPU_10304	OFUSG05593.1.p1, OFUSG05592.1.p1
OG0000000	STRPU_10010	OFUSG06560.1.p1
OG0000000	STRPU_10083, STRPU_10145	OFUSG05489.1.p1, OFUSG05755.1.p1
OG0000000	STRPU_10015	OFUSG06970.1.p1
OG0000000	STRPU_10016	OFUSG05968.1.p1
OG0000000	STRPU_19865, STRPU_19892	OFUSG07309.1.p1, OFUSG07308.1.p1
OG0000000	STRPU_02929	OFUSG08786.1.p1
OG0000000	STRPU_03800	OFUSG09074.1.p1
OG0000000	STRPU_23673, STRPU_23648	OFUSG17443.1.p1
OG0000000	STRPU_09982, STRPU_09961	OFUSG19303.1.p1
OG0000000	STRPU_20780	OFUSG12013.1.p1
OG0000000	STRPU_23557	OFUSG17426.1.p1
OG0000000	STRPU_23206	OFUSG13332.1.p1
OG0000000	STRPU_05654	OFUSG03265.2.p2, OFUSG03265.1.p1
OG0000000	STRPU_05390	OFUSG03302.1.p1
OG0000000	STRPU_23197, STRPU_23198	OFUSG13338.1.p1
OG0000000	STRPU_23194	OFUSG13336.1.p1
OG0000000	STRPU_23756	OFUSG17003.1.p1
OG0000000	STRPU_22253	OFUSG21200.1.p1
OG0000000	STRPU_09852	OFUSG05673.1.p1, OFUSG05672.1.p1
OG0000000	STRPU_05830	OFUSG03177.1.p1
OG0000000	STRPU_23207	OFUSG12947.1.p1
OG0000000	STRPU_10189	OFUSG05775.1.p1
OG0000000	STRPU_09890	OFUSG06109.1.p1
OG0000000	STRPU_21017	OFUSG12225.3.p1, OFUSG12225.2.p1, OFUSG12225.1.p1
OG0000000	STRPU_21014	OFUSG21806.1.p1
OG0000001	STRPU_14334	OFUSG26260.1.p1, OFUSG08771.1.p1
OG0000001	STRPU_05173, STRPU_05094	OFUSG08662.1.p1
OG0000001	STRPU_16294, STRPU_16314, STRPU_16310, STRPU_16293, STRPU_16221	OFUSG10216.1.p1, OFUSG15117.1.p1
OG0000001	STRPU_00074	OFUSG21348.1.p1
OG0000001	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414	OFUSG17423.1.p1
OG0000002	STRPU_21867	OFUSG00560.1.p1
OG0000002	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991	OFUSG12055.1.p1
OG0000003	STRPU_08514	OFUSG18790.1.p1
OG0000003	STRPU_00063	OFUSG26305.1.p1, OFUSG17555.1.p1
OG0000003	STRPU_07634	OFUSG16264.1.p1
OG0000003	STRPU_17011	OFUSG16265.1.p1, OFUSG21683.1.p1
OG0000003	STRPU_08627	OFUSG05190.1.p1, OFUSG05194.1.p1
OG0000003	STRPU_02120, STRPU_20651	OFUSG12884.1.p1
OG0000003	STRPU_17996	OFUSG26297.1.p1
OG0000003	STRPU_09153, STRPU_02119, STRPU_09154	OFUSG01752.1.p1
OG0000003	STRPU_12409, STRPU_12413, STRPU_12410, STRPU_12414, STRPU_12412, STRPU_12000	OFUSG13877.1.p1, OFUSG13877.2.p1
OG0000003	STRPU_09130	OFUSG02265.1.p1
OG0000003	STRPU_06867, STRPU_06866	OFUSG24540.1.p1, OFUSG24474.1.p1, OFUSG20752.1.p1, OFUSG01393.1.p1, OFUSG25330.1.p1
OG0000004	STRPU_26215, STRPU_26214	OFUSG24712.2.p1, OFUSG24712.1.p1, OFUSG20755.1.p1, OFUSG20753.1.p1, OFUSG20754.1.p1, OFUSG14752.1.p1
OG0000005	STRPU_18110, STRPU_02307, STRPU_02309	OFUSG15197.1.p1, OFUSG15195.1.p1
OG0000005	STRPU_26723	OFUSG04131.1.p1, OFUSG08841.1.p1, OFUSG17326.1.p1, OFUSG20156.1.p1, OFUSG19966.1.p1, OFUSG09231.1.p1, OFUSG09655.1.p1
OG0000005	STRPU_06288, STRPU_06333	OFUSG26276.1.p1
OG0000005	STRPU_02665, STRPU_01699	OFUSG20119.1.p1, OFUSG08484.1.p1
OG0000006	STRPU_04777	OFUSG17934.3.p1, OFUSG17934.2.p1, OFUSG17934.1.p1
OG0000006	STRPU_05111, STRPU_05037	OFUSG02905.1.p1
OG0000006	STRPU_06684	OFUSG14509.1.p1
OG0000006	STRPU_19989	OFUSG25514.1.p1
OG0000006	STRPU_06500	OFUSG14428.1.p1
OG0000006	STRPU_12594, STRPU_12593	OFUSG07929.1.p1
OG0000006	STRPU_20521	OFUSG05068.1.p1, OFUSG21700.1.p1, OFUSG21701.1.p1
OG0000006	STRPU_09165, STRPU_02127	OFUSG10782.1.p1
OG0000006	STRPU_27184, STRPU_27203	OFUSG09474.1.p1, OFUSG09474.2.p1
OG0000006	STRPU_27125	OFUSG08660.1.p1
OG0000006	STRPU_07314	OFUSG21061.1.p1
OG0000006	STRPU_27126	OFUSG08659.1.p1
OG0000006	STRPU_04454, STRPU_04403, STRPU_04401	OFUSG18494.1.p1, OFUSG18494.2.p1
OG0000006	STRPU_21069	OFUSG11740.1.p1
OG0000006	STRPU_21071	OFUSG11532.2.p1, OFUSG11532.1.p1, OFUSG11532.3.p1
OG0000006	STRPU_14340	OFUSG11470.1.p1
OG0000006	STRPU_22384	OFUSG05485.1.p1
OG0000007	STRPU_26581	OFUSG09476.1.p1
OG0000007	STRPU_21427	OFUSG21527.1.p1
OG0000007	STRPU_26977	OFUSG09642.1.p1, OFUSG09693.1.p1
OG0000007	STRPU_18763	OFUSG13716.1.p1
OG0000007	STRPU_10770	OFUSG23682.1.p1
OG0000007	STRPU_25460	OFUSG05364.1.p1
OG0000007	STRPU_25304	OFUSG23111.1.p1
OG0000007	STRPU_25458	OFUSG04768.1.p1
OG0000007	STRPU_08156, STRPU_08157	OFUSG08948.1.p1
OG0000007	STRPU_16477	OFUSG25429.1.p1
OG0000007	STRPU_21790	OFUSG21828.2.p1, OFUSG21828.1.p1
OG0000007	STRPU_08417	OFUSG10613.1.p1
OG0000007	STRPU_10590	OFUSG23528.4.p1, OFUSG23528.1.p1, OFUSG23528.2.p1, OFUSG23528.3.p1
OG0000007	STRPU_21559	OFUSG25241.1.p1
OG0000008	STRPU_10214	OFUSG15555.1.p1
OG0000008	STRPU_15692	OFUSG22532.1.p1, OFUSG22531.1.p1, OFUSG22625.1.p1, OFUSG22623.1.p1, OFUSG20244.1.p1, OFUSG11838.1.p1, OFUSG11837.1.p1, OFUSG02607.1.p1, OFUSG06031.1.p1, OFUSG02120.1.p1, OFUSG12365.1.p1, OFUSG06314.1.p1, OFUSG16783.1.p1, OFUSG22288.1.p1
OG0000008	STRPU_08296	OFUSG10082.1.p1
OG0000008	STRPU_19365	OFUSG20435.1.p1
OG0000008	STRPU_23377, STRPU_23376	OFUSG22412.1.p1, OFUSG08236.1.p1, OFUSG01705.1.p1, OFUSG01704.1.p1, OFUSG01067.1.p1
OG0000010	STRPU_11420	OFUSG05937.1.p1
OG0000012	STRPU_06380, STRPU_06825	OFUSG14153.2.p1, OFUSG14153.1.p1, OFUSG14153.3.p1
OG0000012	STRPU_23513	OFUSG12200.1.p1, OFUSG04333.1.p1, OFUSG15962.2.p1, OFUSG15962.1.p1, OFUSG16395.2.p1, OFUSG16395.1.p1, OFUSG16273.2.p1, OFUSG16273.1.p1, OFUSG16273.3.p1, OFUSG04682.1.p1, OFUSG22368.1.p1, OFUSG22367.1.p1, OFUSG22366.1.p1
OG0000014	STRPU_08197, STRPU_03932, STRPU_16744, STRPU_01717, STRPU_04369, STRPU_21238, STRPU_20412, STRPU_20806, STRPU_06096	OFUSG09895.2.p1, OFUSG09895.1.p1, OFUSG25487.1.p1, OFUSG16820.1.p1, OFUSG25374.2.p1, OFUSG25374.3.p1, OFUSG25374.1.p1, OFUSG26341.1.p1, OFUSG07532.1.p1, OFUSG25831.1.p1, OFUSG10758.1.p1, OFUSG23286.1.p1, OFUSG03351.1.p1, OFUSG22799.1.p1
OG0000014	STRPU_12767, STRPU_02355	OFUSG05464.1.p1, OFUSG05465.1.p1, OFUSG06729.1.p1, OFUSG06729.2.p1, OFUSG06620.1.p1, OFUSG05782.1.p1, OFUSG05806.1.p1, OFUSG25239.1.p1, OFUSG05463.1.p1, OFUSG06975.1.p1, OFUSG19549.1.p1, OFUSG05975.1.p1
OG0000014	STRPU_17754, STRPU_17755	OFUSG00805.1.p1
OG0000015	STRPU_05602, STRPU_05543	OFUSG03122.3.p1, OFUSG03122.2.p1, OFUSG03122.1.p1
OG0000015	STRPU_05547, STRPU_05606	OFUSG02213.1.p1, OFUSG02213.2.p1, OFUSG03120.2.p1, OFUSG03120.3.p1, OFUSG03120.1.p1
OG0000015	STRPU_21905	OFUSG17779.2.p1, OFUSG17779.1.p1, OFUSG02838.1.p1
OG0000016	STRPU_06927, STRPU_06051, STRPU_06086, STRPU_06084, STRPU_06503, STRPU_06525, STRPU_06574, STRPU_06085, STRPU_06200, STRPU_06221	OFUSG16773.1.p1
OG0000016	STRPU_09277	OFUSG10402.1.p1
OG0000016	STRPU_06664, STRPU_06873, STRPU_06665	OFUSG13895.1.p1
OG0000016	STRPU_15361, STRPU_21110	OFUSG11848.1.p1
