TCONS_00000004.p1	STRPU_14737
TCONS_00000009.p1	STRPU_07435
TCONS_00000010.p1	STRPU_17684
TCONS_00000011.p1	STRPU_03812
TCONS_00000013.p1	STRPU_24196
TCONS_00000015.p1	STRPU_21982
TCONS_00000016.p1	STRPU_21980
TCONS_00000021.p1	STRPU_07726
TCONS_00000022.p1	STRPU_13118
TCONS_00000023.p1	STRPU_22601
TCONS_00000026.p1	STRPU_21333
TCONS_00000027.p1	STRPU_08266
TCONS_00000033.p1	STRPU_25715
TCONS_00000035.p1	STRPU_27420
TCONS_00000037.p1	STRPU_26644
TCONS_00000038.p1	STRPU_20563
TCONS_00000039.p1	STRPU_17068
TCONS_00000040.p1	STRPU_27311
TCONS_00000045.p1	STRPU_19464
TCONS_00000046.p1	STRPU_24873
TCONS_00000050.p1	STRPU_10411
TCONS_00000052.p1	STRPU_10223
TCONS_00000055.p1	STRPU_01651
TCONS_00000057.p1	STRPU_04537
TCONS_00000064.p1	STRPU_16559
TCONS_00000070.p1	STRPU_18177
TCONS_00000071.p1	STRPU_04049
TCONS_00000074.p1	STRPU_04387
TCONS_00000080.p1	STRPU_02714
TCONS_00000083.p1	STRPU_26001
TCONS_00000084.p1	STRPU_25164
TCONS_00000087.p1	STRPU_06432
TCONS_00000089.p1	STRPU_23900
TCONS_00000091.p1	STRPU_13852
TCONS_00000092.p1	STRPU_22021
TCONS_00000093.p2	STRPU_22568
TCONS_00000094.p1	STRPU_15743
TCONS_00000095.p1	STRPU_07500
TCONS_00000096.p1	STRPU_07977
TCONS_00000100.p1	STRPU_16419
TCONS_00000101.p1	STRPU_16419
TCONS_00000102.p1	STRPU_16419
TCONS_00000103.p1	STRPU_16419
TCONS_00000104.p1	STRPU_22020
TCONS_00000105.p1	STRPU_22022
TCONS_00000107.p1	STRPU_07726
TCONS_00000109.p1	STRPU_04176
TCONS_00000110.p1	STRPU_20232
TCONS_00000112.p1	STRPU_17219
TCONS_00000113.p1	STRPU_03725
TCONS_00000115.p1	STRPU_17977
TCONS_00000116.p1	STRPU_17384
TCONS_00000118.p1	STRPU_17940
TCONS_00000121.p1	STRPU_17166
TCONS_00000122.p1	STRPU_04446
TCONS_00000124.p1	STRPU_08197
TCONS_00000125.p1	STRPU_17476
TCONS_00000126.p1	STRPU_15801
TCONS_00000127.p1	STRPU_25716
TCONS_00000128.p1	STRPU_01806
TCONS_00000131.p1	STRPU_17715
TCONS_00000133.p1	STRPU_12545
TCONS_00000136.p1	STRPU_16999
TCONS_00000139.p1	STRPU_23538
TCONS_00000141.p1	STRPU_17939
TCONS_00000142.p1	STRPU_26520
TCONS_00000144.p1	STRPU_26772
TCONS_00000145.p1	STRPU_18029
TCONS_00000146.p1	STRPU_17935
TCONS_00000147.p1	STRPU_17935
TCONS_00000148.p1	STRPU_18029
TCONS_00000152.p1	STRPU_17137
TCONS_00000153.p1	STRPU_17282
TCONS_00000164.p1	STRPU_17074
TCONS_00000165.p1	STRPU_17770
TCONS_00000166.p1	STRPU_17875
TCONS_00000169.p1	STRPU_21599
TCONS_00000170.p1	STRPU_17878
TCONS_00000173.p1	STRPU_01814
TCONS_00000174.p1	STRPU_12724
TCONS_00000175.p1	STRPU_06432
TCONS_00000177.p1	STRPU_10195
TCONS_00000178.p1	STRPU_06432
TCONS_00000180.p1	STRPU_17604
TCONS_00000181.p1	STRPU_17375
TCONS_00000185.p1	STRPU_18134
TCONS_00000187.p1	STRPU_17909
TCONS_00000188.p1	STRPU_17738
TCONS_00000189.p1	STRPU_18032
TCONS_00000190.p1	STRPU_12901
TCONS_00000194.p4	STRPU_25718
TCONS_00000195.p1	STRPU_22448
TCONS_00000196.p1	STRPU_17967
TCONS_00000197.p1	STRPU_17272
TCONS_00000198.p1	STRPU_01509
TCONS_00000199.p1	STRPU_02315
TCONS_00000200.p1	STRPU_17785
TCONS_00000201.p1	STRPU_19911
TCONS_00000203.p1	STRPU_22000
TCONS_00000204.p1	STRPU_22000
TCONS_00000205.p1	STRPU_18029
TCONS_00000206.p1	STRPU_17935
TCONS_00000207.p1	STRPU_17935
TCONS_00000211.p1	STRPU_23566
TCONS_00000219.p1	STRPU_11129
TCONS_00000234.p1	STRPU_14670
TCONS_00000235.p1	STRPU_26397
TCONS_00000242.p1	STRPU_00461
TCONS_00000252.p1	STRPU_14519
TCONS_00000254.p1	STRPU_16983
TCONS_00000259.p1	STRPU_18063
TCONS_00000267.p1	STRPU_07747
TCONS_00000268.p1	STRPU_19518
TCONS_00000270.p1	STRPU_17251
TCONS_00000272.p1	STRPU_01790
TCONS_00000274.p1	STRPU_17907
TCONS_00000275.p1	STRPU_12635
TCONS_00000278.p1	STRPU_17691
TCONS_00000282.p1	STRPU_17411
TCONS_00000285.p1	STRPU_06208
TCONS_00000287.p1	STRPU_17937
TCONS_00000293.p1	STRPU_18037
TCONS_00000295.p1	STRPU_01781
TCONS_00000299.p1	STRPU_17380
TCONS_00000300.p1	STRPU_17844
TCONS_00000308.p1	STRPU_17838
TCONS_00000311.p1	STRPU_17594
TCONS_00000312.p1	STRPU_18535
TCONS_00000316.p1	STRPU_18535
TCONS_00000318.p1	STRPU_18535
TCONS_00000320.p1	STRPU_17399
TCONS_00000321.p1	STRPU_17409
TCONS_00000322.p1	STRPU_18868
TCONS_00000323.p1	STRPU_17591
TCONS_00000324.p1	STRPU_23155
TCONS_00000325.p1	STRPU_11764
TCONS_00000327.p1	STRPU_11764
TCONS_00000328.p1	STRPU_11764
TCONS_00000329.p1	STRPU_21236
TCONS_00000330.p1	STRPU_12096
TCONS_00000334.p1	STRPU_17447
TCONS_00000335.p1	STRPU_07979
TCONS_00000336.p1	STRPU_23724
TCONS_00000337.p1	STRPU_23727
TCONS_00000338.p1	STRPU_16508
TCONS_00000339.p1	STRPU_05277
TCONS_00000340.p1	STRPU_17742
TCONS_00000342.p1	STRPU_17330
TCONS_00000343.p1	STRPU_15706
TCONS_00000345.p1	STRPU_19411
TCONS_00000346.p1	STRPU_10224
TCONS_00000347.p1	STRPU_10223
TCONS_00000348.p1	STRPU_11347
TCONS_00000349.p1	STRPU_20232
TCONS_00000351.p1	STRPU_22051
TCONS_00000353.p1	STRPU_26396
TCONS_00000354.p1	STRPU_14670
TCONS_00000355.p1	STRPU_17887
TCONS_00000357.p1	STRPU_17887
TCONS_00000360.p1	STRPU_02825
TCONS_00000361.p1	STRPU_17218
