Orthogroup	YEAST	DROME
OG0000000	YEAST00701	DROME16218, DROME16219, DROME04813, DROME07346, DROME14805, DROME14806, DROME15599, DROME15463, DROME15462, DROME11250, DROME14878, DROME21328, DROME21327, DROME20419, DROME03422, DROME05373, DROME12799, DROME16097, DROME01107, DROME17319, DROME13389, DROME13388, DROME11314, DROME13405, DROME13402, DROME13403, DROME13415, DROME13417, DROME13418, DROME13419, DROME13416, DROME15339, DROME15340, DROME13413, DROME13414, DROME10025, DROME16399
OG0000000	YEAST04484	DROME13420
OG0000007	YEAST00671	DROME18346
OG0000007	YEAST01568, YEAST05134	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671
OG0000013	YEAST04082	DROME14257, DROME14247, DROME14258, DROME18111, DROME14254, DROME14255, DROME14256, DROME14251, DROME14252, DROME14250, DROME03185, DROME16203, DROME07507, DROME07508, DROME03238, DROME03237, DROME00659, DROME03236, DROME01152, DROME14613, DROME14614, DROME03497, DROME02996, DROME02995, DROME06577, DROME02994, DROME03979, DROME03978
OG0000014	YEAST03484, YEAST05078, YEAST05334, YEAST05768	DROME06381, DROME05409, DROME03987, DROME14595, DROME14594, DROME04096, DROME08642, DROME05988, DROME18828
OG0000016	YEAST03870, YEAST01103	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425
OG0000031	YEAST02238	DROME19172, DROME19945, DROME19947, DROME19946, DROME19949, DROME19948, DROME07909, DROME09230, DROME05246, DROME16481
OG0000034	YEAST04436, YEAST05550, YEAST05115	DROME20092, DROME20090, DROME20091, DROME00494, DROME00490, DROME00493, DROME00492, DROME00491, DROME00489, DROME13496, DROME18268, DROME18267, DROME18266, DROME18269, DROME03104, DROME03105, DROME20524, DROME11310, DROME11311
OG0000036	YEAST02545, YEAST02806	DROME18108, DROME18109, DROME02324, DROME17378, DROME11305, DROME20717, DROME20716, DROME20719, DROME20718
OG0000037	YEAST03227	DROME13887, DROME14759, DROME14760, DROME20237, DROME07468, DROME07469, DROME08695, DROME15640, DROME04516
OG0000038	YEAST04422, YEAST04379	DROME10442, DROME15543, DROME13535, DROME13441, DROME13993
OG0000043	YEAST00224, YEAST01200	DROME03726, DROME03741, DROME03696, DROME03781, DROME03716, DROME03731, DROME03721, DROME03706, DROME03711, DROME03751, DROME03746, DROME03678, DROME03736, DROME03701, DROME03687, DROME03756, DROME03776, DROME03766, DROME03761, DROME03771
OG0000048	YEAST05707	DROME07309, DROME15626, DROME15625, DROME15613, DROME19410, DROME04387, DROME04385, DROME04384, DROME04383, DROME04388, DROME04389, DROME01500
OG0000054	YEAST01385	DROME20361, DROME14495, DROME14891, DROME14496, DROME14497, DROME14593, DROME13726, DROME11951, DROME18814, DROME18815, DROME18820, DROME18819, DROME01420, DROME08996, DROME18821, DROME09916, DROME18822, DROME04594, DROME04595, DROME01843, DROME04592, DROME04593, DROME20803, DROME20238, DROME18477, DROME18041, DROME06360, DROME00973, DROME00974, DROME00972, DROME04820, DROME04821, DROME04822, DROME21992
OG0000055	YEAST01199, YEAST00225	DROME03691, DROME03682, DROME03686, DROME03760, DROME03750, DROME03735, DROME03720, DROME03770, DROME03765, DROME03740, DROME03755, DROME03725, DROME03710, DROME03730, DROME03700, DROME03780, DROME03705, DROME03775, DROME03715, DROME03745, DROME03695, DROME03673, DROME03677
OG0000058	YEAST02989	DROME14598
OG0000058	YEAST02120	DROME04020, DROME19327, DROME12667, DROME15093, DROME07418, DROME14731
OG0000069	YEAST03661	DROME03713
OG0000069	YEAST05172	DROME19859, DROME00928
OG0000079	YEAST05330	DROME14752, DROME17573, DROME17572, DROME17571, DROME17570, DROME14753, DROME17315, DROME17314, DROME17316, DROME14749, DROME14748, DROME14747, DROME14750, DROME11804, DROME11805, DROME11807, DROME11806, DROME11809, DROME11808, DROME11810, DROME17092, DROME17093, DROME17091, DROME17095, DROME17094, DROME01298
OG0000082	YEAST03287	DROME20298
OG0000082	YEAST04267, YEAST01834, YEAST03359	DROME05998
OG0000082	YEAST03862, YEAST00076, YEAST01992, YEAST00148	DROME11174, DROME11173, DROME15008, DROME14666, DROME14429, DROME14428, DROME14566, DROME14568, DROME14567, DROME14565, DROME16705
OG0000095	YEAST02993	DROME09894, DROME19308, DROME19311, DROME09898, DROME09896, DROME09897, DROME09895, DROME09917, DROME01438, DROME01849, DROME01848, DROME04475, DROME16555, DROME16554, DROME01436, DROME01437, DROME05668, DROME09771
OG0000096	YEAST02643	DROME08195, DROME08196, DROME08870
OG0000096	YEAST00638	DROME13163
OG0000096	YEAST05104, YEAST05564	DROME06400, DROME13915, DROME09341
OG0000103	YEAST02873	DROME02978, DROME02981, DROME02974, DROME02980, DROME02972, DROME02982, DROME02975, DROME02990, DROME02977, DROME02985, DROME02984, DROME02983, DROME02986, DROME02973, DROME02979, DROME02987, DROME02991, DROME02976, DROME02988, DROME02989, DROME08435, DROME08438, DROME08434, DROME08440, DROME08436, DROME08437, DROME08439
OG0000107	YEAST05173	DROME03683, DROME03679, DROME03732, DROME03722, DROME03762, DROME03717, DROME03767, DROME03727, DROME03772, DROME03712, DROME03702, DROME03707, DROME03737, DROME03674, DROME03692, DROME03697, DROME03688, DROME03742, DROME14911, DROME03777, DROME03747, DROME03757, DROME03752
OG0000113	YEAST00378, YEAST01351, YEAST05581	DROME13618, DROME10760, DROME10761, DROME10759, DROME10758, DROME10762, DROME10947, DROME09281, DROME09280, DROME04114, DROME10948, DROME22089, DROME22090
OG0000116	YEAST04456	DROME05231
OG0000122	YEAST04928	DROME10483, DROME10478, DROME10477, DROME10479, DROME10481, DROME10480, DROME10476, DROME01359, DROME01363, DROME01361, DROME01366, DROME01365, DROME01360, DROME01358, DROME01362, DROME01367, DROME01364
OG0000124	YEAST05021	DROME17463
OG0000124	YEAST04122	DROME21734
OG0000127	YEAST06208	DROME11208, DROME11205, DROME11204, DROME08158, DROME05986, DROME18062
OG0000132	YEAST06016	DROME03704, DROME03676, DROME03724, DROME03709, DROME03749, DROME03779, DROME03759, DROME03681, DROME03754, DROME03744, DROME03694, DROME03690, DROME03714, DROME03739, DROME03719, DROME03672, DROME03685, DROME03734, DROME03699, DROME03764, DROME03769, DROME03729, DROME03774
OG0000142	YEAST02122	DROME09730, DROME08254, DROME08253, DROME07188, DROME13886, DROME07187, DROME17530, DROME17531
OG0000157	YEAST01890	DROME11709
OG0000158	YEAST05568	DROME06825, DROME06824
OG0000160	YEAST04194	DROME18430, DROME18431, DROME18429, DROME21524, DROME21236, DROME21232, DROME21234, DROME21233, DROME21235, DROME20353
OG0000175	YEAST00850, YEAST04327	DROME19671, DROME02329, DROME16486, DROME16483, DROME03593, DROME00840
OG0000179	YEAST01123, YEAST04430	DROME11221, DROME21050
OG0000179	YEAST02911, YEAST01281	DROME07796
OG0000179	YEAST04108, YEAST03346	DROME10428
OG0000181	YEAST00824, YEAST00771	DROME12775, DROME18397, DROME06226
OG0000186	YEAST00336	DROME17153, DROME18591, DROME04472, DROME04471, DROME05503, DROME05502
OG0000195	YEAST03414	DROME10558, DROME10557, DROME10559, DROME09087, DROME14260
OG0000211	YEAST04964	DROME17290, DROME21074, DROME21072, DROME21073, DROME21071, DROME17069, DROME17072, DROME17070, DROME17071, DROME17068
OG0000222	YEAST01460	DROME09565, DROME16074, DROME09564, DROME04893, DROME12542, DROME12543, DROME13909, DROME07721, DROME07723, DROME07722, DROME20893, DROME03346, DROME18058, DROME18059
OG0000225	YEAST06146	DROME11929
OG0000227	YEAST05815	DROME20242, DROME06362, DROME06368, DROME06369, DROME06365, DROME04927, DROME04926
OG0000233	YEAST03726, YEAST03241, YEAST03242	DROME00414, DROME00405, DROME00404, DROME00403, DROME13369
OG0000238	YEAST06340, YEAST03834	DROME01901, DROME01902, DROME05364, DROME05367, DROME05366, DROME05365, DROME05361, DROME05360, DROME05362, DROME05359, DROME05357, DROME05358, DROME08037, DROME08034, DROME08036, DROME08035, DROME08031, DROME08032, DROME08033
OG0000240	YEAST03827	DROME20536, DROME04915, DROME04914, DROME21863, DROME21862
OG0000240	YEAST04973	DROME04779, DROME05772, DROME06965, DROME08357, DROME06930, DROME06939, DROME06932, DROME06931, DROME06933, DROME06938, DROME06935, DROME06936, DROME06937, DROME06934, DROME14517, DROME14518, DROME14516, DROME14525, DROME14521, DROME14522, DROME14519, DROME14520, DROME14523, DROME14524, DROME14527, DROME14528
OG0000242	YEAST00734	DROME19192, DROME19194, DROME19193, DROME19191, DROME20266, DROME20267, DROME20264, DROME20265
