Orthogroup	DROME	STRPU_ok
OG0000000	DROME16218, DROME16219	STRPU_10146, STRPU_10084
OG0000000	DROME04813	STRPU_22262
OG0000000	DROME14805, DROME14806	STRPU_10304
OG0000000	DROME15599	STRPU_10010
OG0000000	DROME15463, DROME15462	STRPU_10083, STRPU_10145
OG0000000	DROME11250	STRPU_10015
OG0000000	DROME14878	STRPU_10016
OG0000000	DROME21328, DROME21327	STRPU_19865, STRPU_19892
OG0000000	DROME20419	STRPU_19906
OG0000000	DROME03422	STRPU_03800
OG0000000	DROME12799	STRPU_23673, STRPU_23648
OG0000000	DROME16097	STRPU_09982, STRPU_09961
OG0000000	DROME01107	STRPU_20780
OG0000000	DROME17319	STRPU_23557
OG0000000	DROME13389, DROME13388	STRPU_23206
OG0000000	DROME11314	STRPU_05654
OG0000000	DROME13415	STRPU_05390
OG0000000	DROME13417, DROME13418, DROME13419, DROME13416	STRPU_23197, STRPU_23198
OG0000000	DROME13414	STRPU_23194
OG0000000	DROME10025	STRPU_23756
OG0000000	DROME16399	STRPU_22253
OG0000000	DROME17718	STRPU_09852
OG0000000	DROME15341, DROME15342, DROME15343	STRPU_23199
OG0000000	DROME03546, DROME03545	STRPU_05830
OG0000000	DROME04989	STRPU_23207
OG0000000	DROME16202	STRPU_10189
OG0000000	DROME12831, DROME12829, DROME12828, DROME12830	STRPU_09890, STRPU_21017, STRPU_21014
OG0000001	DROME04936, DROME08706, DROME19770	STRPU_00074
OG0000002	DROME14626, DROME12189, DROME02894	STRPU_00361, STRPU_18021, STRPU_18027
OG0000006	DROME08113	STRPU_05111, STRPU_05037
OG0000006	DROME01994, DROME01995, DROME01996	STRPU_06684
OG0000006	DROME07928	STRPU_19989
OG0000006	DROME00104	STRPU_06500
OG0000006	DROME19258, DROME19257, DROME19259	STRPU_20521
OG0000006	DROME21396	STRPU_09165, STRPU_02127
OG0000006	DROME07409, DROME07411, DROME07410, DROME07413, DROME07408, DROME07412, DROME07415, DROME07414	STRPU_27184, STRPU_27203
OG0000006	DROME07420	STRPU_27125
OG0000006	DROME19786	STRPU_07314
OG0000006	DROME07417	STRPU_27126
OG0000006	DROME18045, DROME18046, DROME18044	STRPU_04454, STRPU_04403, STRPU_04401
OG0000006	DROME00147, DROME00148	STRPU_21069
OG0000006	DROME19780, DROME19779, DROME19781	STRPU_21071
OG0000006	DROME21674, DROME21675, DROME21673	STRPU_14340
OG0000007	DROME12545	STRPU_25459
OG0000007	DROME16994, DROME16993	STRPU_26581
OG0000007	DROME17568, DROME17567	STRPU_21427
OG0000007	DROME07864	STRPU_18763
OG0000007	DROME09292	STRPU_09815, STRPU_10770, STRPU_25460
OG0000007	DROME14142	STRPU_16477
OG0000007	DROME19603, DROME19602	STRPU_21790
OG0000007	DROME10668, DROME10667, DROME10669, DROME10670, DROME10671	STRPU_08442
OG0000007	DROME21792, DROME00712, DROME00713	STRPU_21559
OG0000008	DROME05669	STRPU_08296
OG0000008	DROME12246, DROME19967, DROME19966, DROME19965, DROME04622, DROME21421, DROME02754, DROME07701, DROME07700, DROME07702, DROME01169, DROME06573, DROME06574	STRPU_23377, STRPU_23376
OG0000010	DROME09935	STRPU_04522
OG0000010	DROME12147	STRPU_01204, STRPU_19975
OG0000012	DROME14687, DROME14686	STRPU_06380, STRPU_06825
OG0000014	DROME05409, DROME03987	STRPU_08197, STRPU_03932, STRPU_16744, STRPU_01717, STRPU_04369, STRPU_21238, STRPU_20412, STRPU_20806, STRPU_06096
OG0000014	DROME14595, DROME14594	STRPU_17754, STRPU_17755
OG0000015	DROME10325, DROME10328, DROME10327, DROME10326, DROME10329	STRPU_05602, STRPU_05543
OG0000015	DROME11913, DROME20981, DROME20982	STRPU_05547, STRPU_05606
OG0000016	DROME02422, DROME02430, DROME02437, DROME02423, DROME02429, DROME02435, DROME02434, DROME02428, DROME02433, DROME02424, DROME02436, DROME02427, DROME02426, DROME02431, DROME02432, DROME02425	STRPU_09277
OG0000016	DROME16828, DROME17675, DROME07519, DROME17674, DROME04855, DROME04854, DROME01619, DROME03269, DROME14337, DROME15853, DROME15855, DROME15854, DROME03271, DROME03270, DROME03589	STRPU_19934, STRPU_02593, STRPU_06663, STRPU_23484
OG0000016	DROME01609	STRPU_21110
OG0000020	DROME22108	STRPU_13949
OG0000020	DROME02490	STRPU_20580, STRPU_01068, STRPU_24239, STRPU_19028, STRPU_00464
OG0000020	DROME11466, DROME11467	STRPU_19861, STRPU_19888
OG0000020	DROME19890, DROME19889, DROME19888, DROME19891	STRPU_05007
OG0000020	DROME07045, DROME07043, DROME07044, DROME07042	STRPU_11453
OG0000020	DROME03151, DROME03150	STRPU_04309, STRPU_04336
OG0000020	DROME14454, DROME14455	STRPU_21977
OG0000021	DROME18320, DROME18321	STRPU_23367
OG0000021	DROME08269	STRPU_02205, STRPU_15603
OG0000021	DROME00802, DROME00801	STRPU_02212, STRPU_15595
