Orthogroup	APOSJ_ok	MOUSE
OG0000000	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578	MOUSE35835, MOUSE46731
OG0000000	APOSJ_43984, APOSJ_47154	MOUSE40493, MOUSE21445
OG0000000	APOSJ_18686	MOUSE46854, MOUSE36974
OG0000000	APOSJ_32352	MOUSE25533, MOUSE37056
OG0000000	APOSJ_18136	MOUSE09344, MOUSE50563
OG0000000	APOSJ_34245	MOUSE20961
OG0000000	APOSJ_60507	MOUSE24692
OG0000000	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220	MOUSE05222, MOUSE26497, MOUSE39799
OG0000000	APOSJ_36728	MOUSE38795
OG0000000	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190	MOUSE26489, MOUSE05214, MOUSE05213, MOUSE14888, MOUSE26490, MOUSE26491, MOUSE05215, MOUSE39813, MOUSE39810, MOUSE05216, MOUSE39808, MOUSE14889
OG0000000	APOSJ_40396	MOUSE05217, MOUSE39807, MOUSE14885
OG0000000	APOSJ_37520	MOUSE35589, MOUSE35590
OG0000000	APOSJ_38857, APOSJ_38860	MOUSE05644, MOUSE06967
OG0000000	APOSJ_32562, APOSJ_32561	MOUSE36056, MOUSE09425, MOUSE46881
OG0000000	APOSJ_47531, APOSJ_29010	MOUSE14887, MOUSE39814, MOUSE26488, MOUSE05211, MOUSE39816, MOUSE39817
OG0000000	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081	MOUSE54681, MOUSE19588, MOUSE38796
OG0000000	APOSJ_56734	MOUSE12761, MOUSE36110
OG0000000	APOSJ_31415	MOUSE12760, MOUSE21123, MOUSE17205
OG0000000	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633	MOUSE28110, MOUSE28109
OG0000000	APOSJ_02527	MOUSE07114
OG0000001	APOSJ_12278, APOSJ_36722	MOUSE47437, MOUSE47438, MOUSE47439, MOUSE47434, MOUSE47432, MOUSE47431, MOUSE47433, MOUSE47430, MOUSE47429, MOUSE47425, MOUSE47427, MOUSE47426, MOUSE47428, MOUSE47435, MOUSE40449, MOUSE40448, MOUSE41355, MOUSE41354, MOUSE41356, MOUSE41348, MOUSE41347, MOUSE41353, MOUSE41346, MOUSE41352, MOUSE41351, MOUSE41343, MOUSE41361, MOUSE41362
OG0000002	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873	MOUSE31557, MOUSE31558
OG0000002	APOSJ_21931	MOUSE15413, MOUSE15412
OG0000003	APOSJ_16637, APOSJ_17591	MOUSE08264
OG0000003	APOSJ_10992, APOSJ_60978	MOUSE36184
OG0000004	APOSJ_50666, APOSJ_27471	MOUSE21111
OG0000005	APOSJ_43564, APOSJ_43561	MOUSE30956, MOUSE30955, MOUSE30957
OG0000006	APOSJ_12203, APOSJ_12202, APOSJ_12204	MOUSE48684, MOUSE48683
OG0000006	APOSJ_14510	MOUSE33561, MOUSE33562
OG0000006	APOSJ_43757	MOUSE36359, MOUSE36360, MOUSE45321
OG0000006	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178	MOUSE24072, MOUSE24070, MOUSE24071, MOUSE25672, MOUSE25673
OG0000006	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917	MOUSE31158, MOUSE02096, MOUSE02095, MOUSE02097, MOUSE27112, MOUSE27111
OG0000006	APOSJ_52128	MOUSE38532, MOUSE38531
OG0000006	APOSJ_25002	MOUSE10280
OG0000006	APOSJ_24425, APOSJ_24424	MOUSE11440, MOUSE11438, MOUSE11439
OG0000006	APOSJ_38154	MOUSE31507, MOUSE31506, MOUSE31503, MOUSE31505, MOUSE31501, MOUSE21233, MOUSE21234, MOUSE09568, MOUSE09567
OG0000006	APOSJ_46492	MOUSE11795, MOUSE11796, MOUSE11797, MOUSE11799, MOUSE11800, MOUSE02988, MOUSE02987, MOUSE42610, MOUSE42611, MOUSE42608, MOUSE42609, MOUSE11798
OG0000007	APOSJ_59584	MOUSE09063, MOUSE49748
OG0000007	APOSJ_54414, APOSJ_55946, APOSJ_54415	MOUSE51845, MOUSE20686
OG0000007	APOSJ_59909	MOUSE42742, MOUSE28113, MOUSE28115, MOUSE28114, MOUSE07122
OG0000007	APOSJ_46494	MOUSE20752, MOUSE33185, MOUSE10368, MOUSE33510
OG0000007	APOSJ_04151	MOUSE03187, MOUSE40199, MOUSE40198, MOUSE46807
OG0000007	APOSJ_32909	MOUSE49749
OG0000007	APOSJ_33751	MOUSE09062, MOUSE49739
OG0000007	APOSJ_45510, APOSJ_50337	MOUSE04689, MOUSE37388
OG0000007	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	MOUSE07862, MOUSE07863, MOUSE07860, MOUSE18809, MOUSE18808, MOUSE18807
OG0000007	APOSJ_06582, APOSJ_20594	MOUSE38586, MOUSE06525
OG0000007	APOSJ_16847, APOSJ_57982, APOSJ_16846	MOUSE06204
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	MOUSE33792, MOUSE33790, MOUSE33791, MOUSE33794, MOUSE33789, MOUSE33793, MOUSE41340, MOUSE41339
