target_id	length	eff_length	est_counts	tpm
rna-XM_035809314.1	4367	4168	17	0.155672
rna-XM_035809311.1	7960	7761	59	0.29015
rna-XM_035809312.1	2231	2032	412	7.7386
rna-XM_035809927.1	1635	1436	12	0.318945
rna-XM_035843980.1	1957	1758	32.3786	0.702956
rna-XM_035843291.1	2870	2671	1556	22.2343
rna-XM_035843288.1	8290	8091	16976	80.0796
rna-XM_035842700.1	6972	6773	1442	8.12592
rna-XM_035844125.1	7002	6803	732.522	4.10969
rna-XR_004833096.1	2378	2179	3.33651	0.0584418
rna-XM_035844220.1	1276	1077	57	2.01998
rna-XR_004833035.1	888	689	16	0.886318
rna-XM_035843555.1	7535	7336	4872	25.3476
rna-XM_035843558.1	1785	1586	141.502	3.40525
rna-XR_004833034.1	1816	1617	36.6028	0.863958
rna-XM_035844186.1	2399	2200	3	0.052046
rna-XM_035843121.1	9611	9412	19.2544	0.0780794
rna-XM_035843648.1	681	482	0	0
rna-XM_035844039.1	1277	1078	3	0.106216
rna-XM_035843054.1	2787	2588	1615	23.8175
rna-XM_035843051.1	4058	3859	251	2.48249
rna-XM_035842353.1	3636	3437	1503	16.6905
rna-XM_035842345.1	2562	2363	1578.04	25.4884
rna-XM_035842347.1	2561	2362	273.252	4.41541
rna-XR_004832958.1	1734	1535	158.149	3.9323
rna-XR_004832955.1	2424	2225	1914.64	32.8432
rna-Trnad-guc-16	72	3.52559	0	0
rna-XM_035844096.1	1046	847	2	0.0901229
rna-XM_035843374.1	8247	8048	804	3.81291
rna-XM_035843375.1	7869	7670	1	0.00497615
rna-XM_035843378.1	5092	4893	782	6.09986
rna-XM_035843376.1	1108	909	20	0.839759
rna-XM_035844147.1	4071	3872	292.612	2.88433
rna-XM_035844146.1	5380	5181	6115	45.0476
rna-XR_004833092.1	1294	1095	63.6195	2.21751
rna-XR_004833093.1	941	742	1.02741	0.0528479
rna-XM_035843651.1	2352	2153	14.7192	0.260933
rna-XM_035843693.1	1602	1403	9	0.244835
rna-XM_035843699.1	1894	1695	159.286	3.58671
rna-XM_035843654.1	519	320	18	2.1469
rna-XR_004833074.1	339	140	5	1.36311
rna-XM_035843941.1	1880	1681	103.933	2.3598
rna-XR_004833047.1	1692	1493	10	0.25564
rna-XM_035843767.1	721	522	0	0
rna-XM_035843655.1	1210	1011	33.5913	1.26813
rna-XM_035843037.1	997	798	52.6154	2.51651
rna-XM_035843038.1	487	288	508.427	67.3791
gene-LOC118432129	2806	2607	1431.84	20.9624
rna-XM_035843033.1	1491	1292	1658.59	48.9965
rna-XM_035843036.1	844	645	54.1243	3.20274
rna-XM_035843039.1	476	277	207.652	28.6118
rna-XM_035843032.1	789	590	0	0
rna-XM_035843034.1	931	732	259.802	13.5463
rna-XM_035843035.1	906	707	16.6036	0.896337
rna-XM_035843041.1	487	288	508.427	67.3791
rna-XM_035844128.1	2060	1861	73.8528	1.51464
rna-XM_035843657.1	1111	912	62.9876	2.63602
rna-XM_035843624.1	2698	2499	124.299	1.8984
rna-XM_035844189.1	1731	1532	6	0.149479
rna-XM_035843659.1	2798	2599	0	0
rna-XM_035844048.1	3748	3549	5	0.0537716
rna-XM_035844265.1	409	210	1.36439	0.247975
rna-XM_035844256.1	799	600	8.10124	0.515334
rna-XM_035844245.1	1615	1416	267.818	7.21879
rna-XM_035844269.1	405	206	469.3	86.9506
rna-XM_035844248.1	719	520	211.696	15.5381
rna-XM_035844262.1	841	642	41.4266	2.46282
rna-XM_035843660.1	1019	820	15.9182	0.740916
rna-XR_004833110.1	1293	1094	12	0.418651
rna-XM_035844231.1	2144	1945	134.575	2.64079
rna-XM_035843661.1	2803	2604	223.714	3.279
rna-XM_035844249.1	1418	1219	2610.91	81.748
rna-XM_035843662.1	5465	5266	171.155	1.2405
rna-XR_004833109.1	363	164	0	0
rna-XM_035844246.1	2248	2049	1331	24.7928
rna-XM_035844230.1	4579	4380	8357	72.8224
rna-XR_004833108.1	1249	1050	1418.32	51.5553
rna-XM_035844234.1	2145	1946	1	0.0196131
rna-XM_035844235.1	2197	1998	11	0.210129
rna-XM_035844236.1	2061	1862	2819.97	57.8033
rna-XM_035844229.1	2417	2218	78	1.34221
rna-XM_035844247.1	1181	982	10	0.388667
rna-XM_035844228.1	4695	4496	386.213	3.2786
rna-XM_035844232.1	2074	1875	2244.72	45.693
rna-Trnaa-agc-3	73	3.5471	0	0
rna-XM_035844243.1	812	613	0	0
rna-XM_035843667.1	1246	1047	96.2257	3.50778
rna-XM_035844259.1	823	624	0	0
rna-XM_035844258.1	894	695	0.00200936	0.000110347
rna-XM_035844266.1	416	217	0	0
rna-XM_035843668.1	2536	2337	2194.64	35.8421
gene-LOC118432614	1378	1179	0	0
rna-XM_035844238.1	905	706	151.724	8.20237
rna-XM_035844237.1	1349	1150	365.576	12.133
rna-XM_035843669.1	949	750	481.701	24.5135
rna-Trnaa-agc-4	73	3.5471	0	0
rna-XM_035844241.1	1241	1042	0	0
rna-XM_035844253.1	966	767	498.189	24.7906
