BRALA17843	bflo_13437
BRALA16375	bflo_10712
BRALA16376	bflo_10733
BRALA00047	bflo_04183
BRALA19584	bflo_24421
BRALA19585	bflo_24425
BRALA25857	bflo_09165
BRALA17283	bflo_24954
BRALA25847	bflo_08798
BRALA24482	bflo_09701
BRALA16262	bflo_10072
BRALA16263	bflo_10147
BRALA16378	bflo_10759
BRALA16379	bflo_10751
BRALA25044	bflo_23278
BRALA18359	bflo_16599
BRALA29522	bflo_24252
BRALA21349	bflo_16111
BRALA24707	bflo_08732
BRALA18600	bflo_26435
BRALA28387	bflo_10637
BRALA21476	bflo_19045
BRALA00440	bflo_00450
BRALA00115	bflo_00191
BRALA11736	bflo_15523
BRALA00116	bflo_00196
BRALA00120	bflo_00195
BRALA00118	bflo_00197
BRALA00439	bflo_00617
BRALA26541	bflo_23916
BRALA00079	bflo_00176
BRALA34448	bflo_10639
BRALA00125	bflo_26449
BRALA00124	bflo_00920
BRALA00127	bflo_26443
BRALA00135	bflo_00526
BRALA30674	bflo_10437
BRALA30673	bflo_10148
BRALA17840	bflo_18457
BRALA22546	bflo_16887
BRALA24139	bflo_24105
BRALA11820	bflo_14077
BRALA12085	bflo_22059
BRALA05603	bflo_24912
BRALA05601	bflo_24911
BRALA11578	bflo_22062
BRALA09015	bflo_27403
BRALA14112	bflo_00691
BRALA20490	bflo_13782
BRALA21021	bflo_18819
BRALA25322	bflo_01216
BRALA19588	bflo_24437
BRALA19586	bflo_24440
BRALA19734	bflo_10743
BRALA28971	bflo_14897
BRALA13962	bflo_23881
BRALA24414	bflo_05739
BRALA24243	bflo_21182
BRALA12500	bflo_13533
BRALA02394	bflo_03228
BRALA12524	bflo_04290
BRALA04416	bflo_00094
BRALA22142	bflo_00884
BRALA19929	bflo_09101
BRALA19930	bflo_09095
BRALA20554	bflo_12588
BRALA22510	bflo_17498
BRALA01271	bflo_25930
BRALA00868	bflo_26131
BRALA10425	bflo_22660
BRALA30468	bflo_11130
BRALA13772	bflo_04757
BRALA28959	bflo_08809
BRALA12788	bflo_11571
BRALA16485	bflo_18490
BRALA09406	bflo_10984
BRALA32340	bflo_09100
BRALA28950	bflo_09110
BRALA11277	bflo_02237
BRALA03419	bflo_26996
BRALA35907	bflo_01321
BRALA07610	bflo_08714
BRALA10124	bflo_15766
BRALA07070	bflo_22230
BRALA07069	bflo_26929
BRALA20351	bflo_27439
BRALA23384	bflo_09845
BRALA23910	bflo_18522
BRALA16566	bflo_19532
BRALA12395	bflo_18067
BRALA08526	bflo_05437
BRALA14376	bflo_17240
BRALA33844	bflo_24214
BRALA03918	bflo_07914
BRALA13601	bflo_21986
BRALA11141	bflo_16145
BRALA34270	bflo_17905
BRALA18416	bflo_16770
BRALA00625	bflo_26492
BRALA18454	bflo_15868
BRALA12234	bflo_21372
BRALA07928	bflo_08461
BRALA04490	bflo_08460
BRALA04489	bflo_07020
BRALA16464	bflo_13036
BRALA31590	bflo_00914
BRALA24865	bflo_00505
BRALA24860	bflo_00504
BRALA24861	bflo_00482
BRALA00380	bflo_00815
BRALA26703	bflo_19551
BRALA00381	bflo_26509
BRALA15287	bflo_10917
BRALA27911	bflo_03612
BRALA07705	bflo_10484
BRALA17590	bflo_06221
BRALA06686	bflo_07660
BRALA06109	bflo_22120
BRALA23800	bflo_22526
BRALA07568	bflo_10066
BRALA29276	bflo_10065
BRALA22280	bflo_12576
BRALA06185	bflo_23572
BRALA06182	bflo_23665
BRALA06186	bflo_23603
BRALA24212	bflo_22579
BRALA17603	bflo_06220
BRALA30843	bflo_09963
BRALA03602	bflo_08237
BRALA17591	bflo_06222
BRALA24372	bflo_08431
BRALA24993	bflo_22598
BRALA24994	bflo_15412
BRALA22628	bflo_10980
BRALA03259	bflo_13266
BRALA20872	bflo_16444
BRALA20870	bflo_15598
BRALA09541	bflo_06255
BRALA01304	bflo_25903
BRALA31416	bflo_10207
BRALA11149	bflo_23632
BRALA03260	bflo_13761
BRALA20579	bflo_13742
BRALA03286	bflo_13892
BRALA03282	bflo_13084
BRALA08350	bflo_00716
BRALA09316	bflo_12223
BRALA25787	bflo_16800
