Orthogroup	ASTMX	ORYLA
OG0000000	ASTMX02793	ORYLA04928
OG0000000	ASTMX22512	ORYLA02333
OG0000000	ASTMX17483	ORYLA07037
OG0000000	ASTMX11444	ORYLA08538
OG0000000	ASTMX02535	ORYLA05297
OG0000000	ASTMX19308	ORYLA07510
OG0000000	ASTMX03273	ORYLA04677
OG0000000	ASTMX22570	ORYLA10797
OG0000000	ASTMX10474, ASTMX18080	ORYLA00843
OG0000000	ASTMX13971	ORYLA04925
OG0000000	ASTMX13970	ORYLA04924
OG0000000	ASTMX05790, ASTMX17479	ORYLA18170
OG0000000	ASTMX20577, ASTMX08977	ORYLA02858
OG0000000	ASTMX08271	ORYLA12900
OG0000000	ASTMX07042	ORYLA03677
OG0000000	ASTMX10234	ORYLA11446
OG0000000	ASTMX01439, ASTMX16054	ORYLA08246
OG0000000	ASTMX20165	ORYLA01821
OG0000000	ASTMX16946	ORYLA04170
OG0000000	ASTMX11106	ORYLA18990
OG0000000	ASTMX01438	ORYLA08247
OG0000000	ASTMX16053	ORYLA17164
OG0000000	ASTMX01903	ORYLA01822
OG0000000	ASTMX20164	ORYLA05619
OG0000000	ASTMX06178	ORYLA09108
OG0000000	ASTMX16048	ORYLA17159
OG0000000	ASTMX20108	ORYLA15774
OG0000000	ASTMX01436, ASTMX16050	ORYLA08249
OG0000000	ASTMX05321, ASTMX20111	ORYLA15776
OG0000000	ASTMX16051	ORYLA17162
OG0000000	ASTMX12038	ORYLA09898
OG0000000	ASTMX01437	ORYLA08248
OG0000000	ASTMX20110	ORYLA15775
OG0000000	ASTMX17422	ORYLA09198
OG0000000	ASTMX12684, ASTMX17005	ORYLA12232
OG0000000	ASTMX01447	ORYLA08225
OG0000000	ASTMX00835, ASTMX16253	ORYLA06162
OG0000000	ASTMX20873	ORYLA14471
OG0000000	ASTMX05835, ASTMX11919	ORYLA05095
OG0000000	ASTMX08519	ORYLA10061
OG0000000	ASTMX09510, ASTMX01253	ORYLA11798
OG0000000	ASTMX05324, ASTMX20107	ORYLA15773
OG0000000	ASTMX12036	ORYLA09896
OG0000000	ASTMX16047	ORYLA17158
OG0000000	ASTMX01904	ORYLA05618
OG0000000	ASTMX20160	ORYLA01824, ORYLA01826
OG0000000	ASTMX01905	ORYLA01827, ORYLA05617
OG0000000	ASTMX08795	ORYLA01029
OG0000000	ASTMX17999, ASTMX15569	ORYLA04459
OG0000000	ASTMX16045	ORYLA17155
OG0000000	ASTMX20156	ORYLA01830
OG0000000	ASTMX12031	ORYLA09892
OG0000000	ASTMX17267	ORYLA17729
OG0000000	ASTMX11612	ORYLA00932
OG0000000	ASTMX02801	ORYLA05045
OG0000000	ASTMX07975	ORYLA01322
OG0000000	ASTMX09511	ORYLA10603
OG0000000	ASTMX08520	ORYLA10060
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576
OG0000001	ASTMX14749, ASTMX14750	ORYLA01896, ORYLA01897
OG0000001	ASTMX14986, ASTMX22661, ASTMX20102	ORYLA01767, ORYLA01768, ORYLA01766
OG0000001	ASTMX19574, ASTMX19576, ASTMX19575, ASTMX10473	ORYLA07199, ORYLA07206, ORYLA07208, ORYLA07207
OG0000001	ASTMX07755	ORYLA02547
OG0000002	ASTMX13878	ORYLA00438
OG0000002	ASTMX20124	ORYLA03051
OG0000002	ASTMX19248	ORYLA12350
OG0000002	ASTMX14857, ASTMX14858, ASTMX14859	ORYLA11640, ORYLA16693
OG0000002	ASTMX12466, ASTMX09748, ASTMX12460, ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463, ASTMX18376, ASTMX15952	ORYLA13465
OG0000002	ASTMX12459	ORYLA13463, ORYLA13464
OG0000002	ASTMX12467, ASTMX12468	ORYLA13468, ORYLA13466, ORYLA13469
OG0000002	ASTMX01931	ORYLA13571
OG0000002	ASTMX20125	ORYLA03052, ORYLA16692
OG0000004	ASTMX21576	ORYLA16672
OG0000004	ASTMX12117, ASTMX01551	ORYLA08163
OG0000004	ASTMX09630	ORYLA04400
OG0000004	ASTMX17273	ORYLA08919
OG0000004	ASTMX15865	ORYLA11724
OG0000004	ASTMX13574	ORYLA11723, ORYLA15657
OG0000005	ASTMX16020	ORYLA03896
OG0000005	ASTMX16019	ORYLA03898
OG0000005	ASTMX16021	ORYLA03895
OG0000005	ASTMX14148	ORYLA19606
OG0000005	ASTMX14149	ORYLA19605
OG0000005	ASTMX13051	ORYLA04143
OG0000005	ASTMX18005	ORYLA04443
OG0000005	ASTMX12914	ORYLA11947
OG0000005	ASTMX04261	ORYLA01858
OG0000005	ASTMX08691	ORYLA09160
OG0000005	ASTMX10242	ORYLA11550
OG0000005	ASTMX03244	ORYLA04733
OG0000006	ASTMX03985	ORYLA13204
OG0000006	ASTMX00495	ORYLA13568
OG0000006	ASTMX16379	ORYLA06565
OG0000006	ASTMX16363	ORYLA20407
OG0000006	ASTMX04345	ORYLA03595
OG0000006	ASTMX11700	ORYLA03421
OG0000006	ASTMX00138	ORYLA09483
OG0000006	ASTMX03791, ASTMX03123	ORYLA13382
OG0000006	ASTMX12191, ASTMX07931	ORYLA09038
OG0000006	ASTMX15917	ORYLA15680
OG0000006	ASTMX06292	ORYLA07217
OG0000006	ASTMX15319	ORYLA12345, ORYLA14784
OG0000006	ASTMX09680	ORYLA10511, ORYLA11827
OG0000006	ASTMX14682, ASTMX19702	ORYLA16517
OG0000006	ASTMX21126, ASTMX03352	ORYLA17394
OG0000006	ASTMX06644	ORYLA05082
OG0000006	ASTMX04941	ORYLA13656
OG0000006	ASTMX20531	ORYLA07153
OG0000006	ASTMX03398	ORYLA02533
OG0000006	ASTMX03759	ORYLA20473
OG0000006	ASTMX02775	ORYLA04673
OG0000006	ASTMX15412	ORYLA03873
OG0000006	ASTMX12518	ORYLA03827
OG0000006	ASTMX16515	ORYLA03500
OG0000006	ASTMX08479, ASTMX15103	ORYLA10460
OG0000006	ASTMX11575, ASTMX03265	ORYLA00215, ORYLA04762
OG0000006	ASTMX10604	ORYLA04691
OG0000006	ASTMX16006	ORYLA03542
OG0000007	ASTMX14980	ORYLA13334
OG0000007	ASTMX05134	ORYLA14937
OG0000007	ASTMX12498	ORYLA17526
OG0000007	ASTMX06316	ORYLA03070
OG0000007	ASTMX09513	ORYLA10601
OG0000007	ASTMX08102	ORYLA19360
OG0000007	ASTMX21418	ORYLA17457
OG0000007	ASTMX05483	ORYLA13245
OG0000007	ASTMX12390	ORYLA02416
OG0000007	ASTMX04000	ORYLA13595
OG0000007	ASTMX22657	ORYLA00451
OG0000007	ASTMX14799	ORYLA10719
OG0000007	ASTMX16179	ORYLA18472
OG0000007	ASTMX07688	ORYLA07783
OG0000007	ASTMX20070	ORYLA09030
OG0000007	ASTMX14979	ORYLA13335
OG0000007	ASTMX11120	ORYLA07003
OG0000007	ASTMX02564	ORYLA12464
OG0000007	ASTMX18062	ORYLA03471
OG0000007	ASTMX21262	ORYLA17615
OG0000007	ASTMX11815	ORYLA01042
OG0000007	ASTMX04848, ASTMX08093	ORYLA11394
OG0000007	ASTMX06558, ASTMX19375	ORYLA05164
OG0000007	ASTMX04966	ORYLA00561
OG0000007	ASTMX11650	ORYLA16283, ORYLA08278
OG0000007	ASTMX18779	ORYLA16317
OG0000007	ASTMX15847	ORYLA13871
OG0000007	ASTMX10097	ORYLA05828
OG0000007	ASTMX10986	ORYLA10158
OG0000007	ASTMX01681	ORYLA04736
OG0000008	ASTMX21956	ORYLA06372
OG0000008	ASTMX05481	ORYLA06647, ORYLA13248
OG0000008	ASTMX19143, ASTMX19134, ASTMX19135, ASTMX19136	ORYLA19926, ORYLA19925, ORYLA18489, ORYLA19927, ORYLA18477
OG0000008	ASTMX19133, ASTMX14439	ORYLA00582
OG0000008	ASTMX13345, ASTMX11364	ORYLA02437
OG0000008	ASTMX13129	ORYLA01591, ORYLA05589, ORYLA06938
OG0000008	ASTMX09448	ORYLA13726
OG0000008	ASTMX03057	ORYLA11025
OG0000008	ASTMX05709	ORYLA15397
OG0000008	ASTMX11795	ORYLA19119
OG0000008	ASTMX03297, ASTMX08955	ORYLA01552, ORYLA11813
OG0000010	ASTMX18922	ORYLA14018
OG0000010	ASTMX10678	ORYLA17718
OG0000010	ASTMX08865	ORYLA15599
OG0000010	ASTMX08864	ORYLA15600
OG0000010	ASTMX00210, ASTMX00597, ASTMX00598, ASTMX00209	ORYLA12063
OG0000010	ASTMX19981	ORYLA05561
OG0000010	ASTMX21265	ORYLA06892
OG0000010	ASTMX18619	ORYLA13024
OG0000010	ASTMX02979	ORYLA06010
OG0000010	ASTMX12532, ASTMX19555	ORYLA03414
OG0000010	ASTMX07329	ORYLA07950
OG0000010	ASTMX04474	ORYLA07946, ORYLA07947
OG0000010	ASTMX04471	ORYLA19018, ORYLA07556, ORYLA07557, ORYLA07940
OG0000010	ASTMX17076	ORYLA16310, ORYLA16306, ORYLA16308, ORYLA16304, ORYLA16305, ORYLA16303, ORYLA16307, ORYLA16319, ORYLA16309
OG0000010	ASTMX11060	ORYLA15708
OG0000010	ASTMX05524	ORYLA16137
OG0000010	ASTMX05737	ORYLA05941
OG0000010	ASTMX05736	ORYLA05550
OG0000010	ASTMX06728, ASTMX17688, ASTMX18214	ORYLA20398
OG0000010	ASTMX16219, ASTMX16220	ORYLA05923, ORYLA05924
OG0000010	ASTMX05525	ORYLA14435
OG0000010	ASTMX21918	ORYLA16136
OG0000011	ASTMX17376, ASTMX20016, ASTMX17522, ASTMX22822, ASTMX10306, ASTMX19041	ORYLA04501
OG0000012	ASTMX22063	ORYLA07628
OG0000012	ASTMX06265	ORYLA15199
OG0000013	ASTMX14510, ASTMX15685	ORYLA20078
OG0000013	ASTMX16246	ORYLA06697, ORYLA06696
OG0000013	ASTMX13553, ASTMX13556, ASTMX13554, ASTMX13555, ASTMX13557	ORYLA19175
OG0000013	ASTMX19252	ORYLA17235
OG0000013	ASTMX15992	ORYLA08330
OG0000013	ASTMX02064	ORYLA16166, ORYLA16167
OG0000013	ASTMX06990	ORYLA07272
OG0000013	ASTMX20933	ORYLA19251, ORYLA12627, ORYLA12626
OG0000013	ASTMX21137, ASTMX05203	ORYLA19586
OG0000013	ASTMX03702	ORYLA04041
OG0000014	ASTMX02678	ORYLA07442
OG0000014	ASTMX08608	ORYLA17297
OG0000014	ASTMX07233	ORYLA15314
OG0000014	ASTMX17398, ASTMX00995, ASTMX00994	ORYLA13996, ORYLA16200
OG0000014	ASTMX13292	ORYLA10845
OG0000014	ASTMX10769	ORYLA16010
OG0000014	ASTMX16405, ASTMX12634	ORYLA17181
OG0000014	ASTMX17340, ASTMX01557	ORYLA08263
OG0000014	ASTMX03213	ORYLA04835
OG0000014	ASTMX07656	ORYLA19923
OG0000014	ASTMX01801	ORYLA15682
OG0000014	ASTMX03251, ASTMX15832	ORYLA04907
OG0000014	ASTMX12908	ORYLA11600
OG0000014	ASTMX11632	ORYLA01088
OG0000014	ASTMX01423	ORYLA07812
OG0000014	ASTMX16397	ORYLA17200
OG0000015	ASTMX21958, ASTMX03764	ORYLA00867, ORYLA20430
OG0000015	ASTMX21759	ORYLA00866
OG0000015	ASTMX01476, ASTMX13504	ORYLA04638
OG0000015	ASTMX15417, ASTMX08007	ORYLA19973
OG0000015	ASTMX06039	ORYLA13511
OG0000015	ASTMX15203	ORYLA04332
OG0000015	ASTMX18097	ORYLA10753
OG0000015	ASTMX09926, ASTMX15220	ORYLA11923
OG0000015	ASTMX09927	ORYLA11921
OG0000015	ASTMX01377	ORYLA10367
OG0000015	ASTMX13993	ORYLA04154
OG0000015	ASTMX18335	ORYLA03899
OG0000015	ASTMX18098	ORYLA10757
OG0000015	ASTMX18099, ASTMX04658	ORYLA01414
OG0000015	ASTMX18334	ORYLA19970
OG0000015	ASTMX04125	ORYLA04333
OG0000015	ASTMX06038	ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513
OG0000015	ASTMX08008	ORYLA01230
OG0000015	ASTMX04657	ORYLA01413
OG0000015	ASTMX18333	ORYLA19971
OG0000015	ASTMX00011	ORYLA09940, ORYLA09941
OG0000015	ASTMX10695	ORYLA04300
OG0000015	ASTMX18288	ORYLA18852
OG0000015	ASTMX04727	ORYLA01514
OG0000016	ASTMX03544	ORYLA12720
OG0000016	ASTMX11482	ORYLA00945
OG0000016	ASTMX17817	ORYLA17171
OG0000016	ASTMX17818, ASTMX05407	ORYLA00784
OG0000016	ASTMX11675	ORYLA19764
OG0000016	ASTMX17393	ORYLA05054
OG0000016	ASTMX00540	ORYLA09921
OG0000016	ASTMX02874	ORYLA00030
OG0000016	ASTMX17395	ORYLA08665
OG0000016	ASTMX13275	ORYLA11245
OG0000016	ASTMX20114	ORYLA15380
OG0000018	ASTMX14731, ASTMX14730, ASTMX09170, ASTMX13804	ORYLA18860, ORYLA00684, ORYLA17944
OG0000019	ASTMX14084	ORYLA16405
OG0000019	ASTMX03976, ASTMX18923	ORYLA07040
OG0000019	ASTMX19662	ORYLA07041
OG0000019	ASTMX20251	ORYLA15975
OG0000019	ASTMX21241, ASTMX14833	ORYLA16411
OG0000019	ASTMX15190	ORYLA20088
OG0000020	ASTMX12654	ORYLA09327
OG0000020	ASTMX04834	ORYLA12531
OG0000020	ASTMX22432	ORYLA15493
OG0000020	ASTMX12285	ORYLA10559
OG0000020	ASTMX15062	ORYLA06663
OG0000020	ASTMX14060	ORYLA16080
OG0000020	ASTMX00875	ORYLA02155
OG0000020	ASTMX06734	ORYLA05512
OG0000020	ASTMX14107, ASTMX08186	ORYLA11359
OG0000020	ASTMX17613	ORYLA19795
OG0000020	ASTMX00490, ASTMX12696	ORYLA09855
OG0000020	ASTMX03725, ASTMX07958, ASTMX18318	ORYLA06900
OG0000020	ASTMX16689	ORYLA09950
OG0000020	ASTMX16030, ASTMX16028	ORYLA16727
OG0000020	ASTMX17320	ORYLA06780
OG0000020	ASTMX04750	ORYLA01097
OG0000020	ASTMX21042	ORYLA00349
OG0000020	ASTMX05243	ORYLA15647
OG0000020	ASTMX04710	ORYLA00902
OG0000020	ASTMX07754	ORYLA02546
OG0000020	ASTMX13875	ORYLA06519
OG0000021	ASTMX05285	ORYLA13904
OG0000021	ASTMX16996	ORYLA15936
OG0000021	ASTMX01998	ORYLA11094
OG0000021	ASTMX04046	ORYLA20207
OG0000021	ASTMX15305	ORYLA15834
OG0000021	ASTMX00802, ASTMX04036	ORYLA15878
OG0000021	ASTMX09468, ASTMX09467	ORYLA20191
OG0000021	ASTMX09435	ORYLA19977, ORYLA13759, ORYLA13761
OG0000021	ASTMX07052, ASTMX07051, ASTMX06325	ORYLA08737
OG0000021	ASTMX15788	ORYLA10930, ORYLA14683
OG0000021	ASTMX05284	ORYLA13905
OG0000021	ASTMX00201	ORYLA12641
OG0000021	ASTMX09085	ORYLA05479
OG0000021	ASTMX02310	ORYLA03698
OG0000021	ASTMX16342	ORYLA17601
OG0000021	ASTMX09645	ORYLA04373
OG0000021	ASTMX21461	ORYLA12092
OG0000021	ASTMX05545	ORYLA14389
OG0000021	ASTMX13864	ORYLA06753
OG0000021	ASTMX09336	ORYLA04245
OG0000023	ASTMX18896	ORYLA08126
OG0000023	ASTMX07788	ORYLA02861
OG0000023	ASTMX10048	ORYLA06733
OG0000023	ASTMX07031	ORYLA07486
OG0000023	ASTMX08985	ORYLA12741
OG0000023	ASTMX18700	ORYLA13800
OG0000023	ASTMX14127	ORYLA07073
OG0000023	ASTMX07394	ORYLA08963
OG0000023	ASTMX07336, ASTMX04478	ORYLA07951
OG0000023	ASTMX03414	ORYLA02776
OG0000023	ASTMX11687	ORYLA03601
OG0000023	ASTMX14286	ORYLA14352
OG0000023	ASTMX19623	ORYLA16095
OG0000023	ASTMX04385, ASTMX04386	ORYLA03721
OG0000023	ASTMX11217	ORYLA03720
OG0000023	ASTMX00199	ORYLA12643
OG0000023	ASTMX01795	ORYLA15685
OG0000023	ASTMX02984, ASTMX02983	ORYLA18660
OG0000024	ASTMX13912, ASTMX19678, ASTMX01482, ASTMX02027, ASTMX06069, ASTMX05426, ASTMX21974	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064
OG0000026	ASTMX12978	ORYLA09539
OG0000027	ASTMX01705	ORYLA12309
OG0000027	ASTMX01846, ASTMX01847, ASTMX11673	ORYLA08306
OG0000027	ASTMX17505	ORYLA07922
OG0000027	ASTMX05716, ASTMX05715, ASTMX05717, ASTMX19973, ASTMX05714, ASTMX05713	ORYLA15904, ORYLA15903
OG0000027	ASTMX01680	ORYLA04739
OG0000028	ASTMX01628	ORYLA00361
OG0000028	ASTMX11297	ORYLA03205
OG0000028	ASTMX12202	ORYLA04463
OG0000028	ASTMX14889	ORYLA01107
OG0000028	ASTMX21200	ORYLA00838
OG0000028	ASTMX09164	ORYLA05731
OG0000028	ASTMX21506	ORYLA12623
OG0000028	ASTMX21505	ORYLA12624
OG0000028	ASTMX21832	ORYLA00837, ORYLA01106
OG0000028	ASTMX08169, ASTMX10814	ORYLA11312
OG0000028	ASTMX02886	ORYLA15414
OG0000028	ASTMX14890	ORYLA01105
OG0000028	ASTMX22400	ORYLA00835
OG0000028	ASTMX17696	ORYLA09887, ORYLA09886
OG0000028	ASTMX05417	ORYLA04684
OG0000028	ASTMX01721, ASTMX15155	ORYLA20303, ORYLA20302
OG0000028	ASTMX14212	ORYLA05749, ORYLA01547
OG0000029	ASTMX02055	ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293
OG0000029	ASTMX06262	ORYLA15257
OG0000029	ASTMX11166	ORYLA13110
OG0000029	ASTMX03267	ORYLA04764
OG0000029	ASTMX11576	ORYLA00213
OG0000029	ASTMX22545	ORYLA03112
OG0000029	ASTMX19971	ORYLA15906
OG0000029	ASTMX12065	ORYLA08651, ORYLA09837
OG0000030	ASTMX06934	ORYLA18077
OG0000030	ASTMX13784	ORYLA01628
OG0000030	ASTMX06816	ORYLA19626
OG0000030	ASTMX18369	ORYLA02922
OG0000030	ASTMX02378, ASTMX18821	ORYLA07170
OG0000030	ASTMX11357	ORYLA04224
OG0000030	ASTMX13717	ORYLA03718
OG0000030	ASTMX04112, ASTMX02697	ORYLA07582
OG0000030	ASTMX07740	ORYLA07744
OG0000030	ASTMX14326	ORYLA16997
OG0000030	ASTMX22293	ORYLA20234
OG0000030	ASTMX01510	ORYLA08220
OG0000031	ASTMX03913	ORYLA04590
OG0000031	ASTMX08659	ORYLA09861
OG0000031	ASTMX04771	ORYLA15740
