Orthogroup	SCHMD	ORYLA
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	ORYLA04928
OG0000000	SCHMD09645	ORYLA07037, ORYLA08538
OG0000000	SCHMD20523, SCHMD24588	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113
OG0000000	SCHMD03805	ORYLA18170
OG0000000	SCHMD09133, SCHMD27825	ORYLA02858, ORYLA12900
OG0000000	SCHMD18969	ORYLA17165, ORYLA08246, ORYLA01821
OG0000000	SCHMD08046	ORYLA15771, ORYLA08247, ORYLA17164, ORYLA01822, ORYLA05619
OG0000000	SCHMD22390, SCHMD21735	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160
OG0000000	SCHMD21303	ORYLA09198, ORYLA12232, ORYLA10052
OG0000000	SCHMD01868	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387
OG0000000	SCHMD11888, SCHMD08259	ORYLA04630
OG0000000	SCHMD24693	ORYLA17155, ORYLA01830, ORYLA09892
OG0000000	SCHMD05281, SCHMD04291	ORYLA17729, ORYLA05044, ORYLA00932
OG0000000	SCHMD13268	ORYLA17730, ORYLA05045, ORYLA01322, ORYLA11797, ORYLA10603, ORYLA10060
OG0000002	SCHMD15297	ORYLA03052, ORYLA16692
OG0000003	SCHMD00325	ORYLA05141
OG0000006	SCHMD07888, SCHMD24507, SCHMD09008	ORYLA04794
OG0000006	SCHMD00178	ORYLA20407, ORYLA03595
OG0000006	SCHMD18704	ORYLA03421, ORYLA09483
OG0000006	SCHMD09638	ORYLA09038, ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784, ORYLA10511, ORYLA11827, ORYLA16517, ORYLA16515, ORYLA17394
OG0000006	SCHMD23237	ORYLA05082
OG0000006	SCHMD13710	ORYLA20473, ORYLA04673, ORYLA03873
OG0000006	SCHMD18814	ORYLA04691
OG0000007	SCHMD12323	ORYLA13334
OG0000007	SCHMD08294	ORYLA03070, ORYLA10601, ORYLA19360
OG0000007	SCHMD14635	ORYLA00267
OG0000007	SCHMD03666	ORYLA10719
OG0000007	SCHMD12296, SCHMD02893	ORYLA09030, ORYLA13335, ORYLA07003, ORYLA12464
OG0000007	SCHMD08423	ORYLA13010
OG0000007	SCHMD22068, SCHMD08894, SCHMD06998	ORYLA03471, ORYLA17615, ORYLA01042, ORYLA11394, ORYLA05164
OG0000007	SCHMD19134	ORYLA00561, ORYLA16283, ORYLA08278
OG0000007	SCHMD00558, SCHMD06747, SCHMD22968, SCHMD29142, SCHMD15439, SCHMD19350, SCHMD15440, SCHMD11082, SCHMD05985	ORYLA16317
OG0000007	SCHMD02246	ORYLA10158, ORYLA04736
OG0000010	SCHMD19321	ORYLA19685, ORYLA19686
OG0000010	SCHMD12053	ORYLA18252
OG0000010	SCHMD05789, SCHMD04868	ORYLA18230
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	ORYLA07628
OG0000015	SCHMD16724	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753
OG0000015	SCHMD18317, SCHMD16528, SCHMD16031, SCHMD20432	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971
OG0000016	SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	ORYLA05054
OG0000016	SCHMD16694	ORYLA09921
OG0000016	SCHMD02183	ORYLA00030
OG0000016	SCHMD09773, SCHMD05700	ORYLA08665
OG0000017	SCHMD13346	ORYLA04686
OG0000020	SCHMD00005	ORYLA12531
OG0000020	SCHMD08736	ORYLA15493
OG0000020	SCHMD09886	ORYLA16080
OG0000020	SCHMD00966, SCHMD23498, SCHMD20009, SCHMD00182	ORYLA06780
OG0000021	SCHMD09794	ORYLA12641, ORYLA05479
OG0000021	SCHMD09793, SCHMD07893	ORYLA12092, ORYLA14389
OG0000021	SCHMD09079, SCHMD17040, SCHMD09081, SCHMD07845, SCHMD02830, SCHMD04086, SCHMD04535, SCHMD02829	ORYLA04245
OG0000023	SCHMD05376	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660
OG0000026	SCHMD02068, SCHMD03522	ORYLA19214
OG0000027	SCHMD01186, SCHMD06349, SCHMD09742, SCHMD23029, SCHMD18531	ORYLA07922, ORYLA15904, ORYLA15903
OG0000028	SCHMD06702, SCHMD02905, SCHMD16738, SCHMD14368, SCHMD23495, SCHMD26353, SCHMD14450	ORYLA01107, ORYLA00838, ORYLA05731, ORYLA12623, ORYLA12624, ORYLA00837, ORYLA01106, ORYLA11312, ORYLA15414, ORYLA01105, ORYLA00835, ORYLA09887, ORYLA09886, ORYLA04684
OG0000028	SCHMD09824, SCHMD14808, SCHMD01092, SCHMD08075	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547
OG0000030	SCHMD17295	ORYLA18077
OG0000030	SCHMD17204, SCHMD27027, SCHMD25154, SCHMD28242, SCHMD23250	ORYLA01628, ORYLA19626, ORYLA02922
OG0000030	SCHMD26819, SCHMD26942, SCHMD20336, SCHMD29499, SCHMD22579	ORYLA07170
OG0000030	SCHMD25391	ORYLA20234
OG0000030	SCHMD17912, SCHMD19398	ORYLA10728
OG0000031	SCHMD16950	ORYLA09861, ORYLA15740, ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771, ORYLA18563
OG0000031	SCHMD11094	ORYLA01770
OG0000031	SCHMD00185	ORYLA05367, ORYLA00795, ORYLA10394, ORYLA11971
OG0000031	SCHMD17865	ORYLA14237, ORYLA15433, ORYLA04591, ORYLA04917, ORYLA06754, ORYLA07156, ORYLA02513, ORYLA09501, ORYLA00346
OG0000031	SCHMD04192	ORYLA06240
OG0000032	SCHMD05709	ORYLA06416
OG0000034	SCHMD13190, SCHMD26745	ORYLA07927, ORYLA16241, ORYLA04579, ORYLA02286, ORYLA17781
OG0000034	SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558
OG0000034	SCHMD04875	ORYLA07312
OG0000034	SCHMD07081	ORYLA14655
OG0000035	SCHMD10019, SCHMD14794, SCHMD08606	ORYLA16101
OG0000035	SCHMD15627, SCHMD19701	ORYLA11278, ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724
OG0000037	SCHMD19933	ORYLA10680, ORYLA05584, ORYLA10681, ORYLA11814, ORYLA12530, ORYLA11609, ORYLA10251, ORYLA04338, ORYLA01058, ORYLA05151, ORYLA08136, ORYLA03090
OG0000037	SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448
OG0000037	SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781	ORYLA04725
OG0000039	SCHMD12270	ORYLA13584, ORYLA13588, ORYLA13587, ORYLA07496, ORYLA15984, ORYLA18454, ORYLA16125, ORYLA16124, ORYLA05812, ORYLA00801, ORYLA00802
OG0000040	SCHMD25293, SCHMD21694, SCHMD27504, SCHMD01749, SCHMD05916, SCHMD12013, SCHMD13146	ORYLA18356
OG0000040	SCHMD01747, SCHMD05915, SCHMD23179, SCHMD12014, SCHMD13145, SCHMD01745, SCHMD27992, SCHMD24413, SCHMD19420, SCHMD24395	ORYLA04846, ORYLA04844
OG0000041	SCHMD18236, SCHMD01855, SCHMD05642, SCHMD04611, SCHMD00627, SCHMD25467, SCHMD20856	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118
OG0000041	SCHMD01473, SCHMD17447, SCHMD15880, SCHMD14684, SCHMD25470, SCHMD01841, SCHMD06678	ORYLA13695, ORYLA09068
OG0000043	SCHMD00424	ORYLA04209, ORYLA03853, ORYLA11281, ORYLA00044, ORYLA03854
OG0000043	SCHMD29206, SCHMD09758	ORYLA03388
OG0000044	SCHMD06706	ORYLA05174
OG0000048	SCHMD13771, SCHMD03961	ORYLA15052
OG0000048	SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319	ORYLA14965, ORYLA19631
OG0000049	SCHMD22370	ORYLA14190, ORYLA14191, ORYLA11029
OG0000058	SCHMD06371	ORYLA18104
OG0000058	SCHMD01787, SCHMD01785, SCHMD00036, SCHMD00040, SCHMD20412, SCHMD11329	ORYLA18102
OG0000060	SCHMD03062	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092
OG0000061	SCHMD24930	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422
OG0000061	SCHMD11039	ORYLA07060, ORYLA08273
OG0000062	SCHMD03372	ORYLA03553
OG0000062	SCHMD29099, SCHMD15194, SCHMD14172, SCHMD18015, SCHMD15195, SCHMD23769	ORYLA18121, ORYLA18156, ORYLA00681, ORYLA10025, ORYLA00679, ORYLA00682, ORYLA18500, ORYLA19830, ORYLA18157, ORYLA05590, ORYLA05591, ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546, ORYLA10585, ORYLA11804
OG0000063	SCHMD13250	ORYLA07168
OG0000063	SCHMD04855	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933
OG0000063	SCHMD09653	ORYLA19987, ORYLA10868, ORYLA20199
OG0000065	SCHMD25936, SCHMD21821, SCHMD20931, SCHMD12953	ORYLA02755, ORYLA03358, ORYLA10271, ORYLA10273, ORYLA10272
OG0000066	SCHMD06030	ORYLA06398
OG0000069	SCHMD05798, SCHMD12262	ORYLA08015
OG0000069	SCHMD18974	ORYLA03826
OG0000070	SCHMD06745	ORYLA11329, ORYLA09412
OG0000072	SCHMD10090	ORYLA01510, ORYLA00516, ORYLA03563, ORYLA04070
OG0000073	SCHMD28862, SCHMD24546, SCHMD24547, SCHMD27237, SCHMD14430, SCHMD15760, SCHMD20122, SCHMD26801, SCHMD20121, SCHMD12548, SCHMD21957, SCHMD02329, SCHMD02330, SCHMD01699, SCHMD20600, SCHMD05889, SCHMD20601, SCHMD01751, SCHMD01750, SCHMD01753, SCHMD08749, SCHMD05891, SCHMD13211, SCHMD02332, SCHMD02336, SCHMD11064, SCHMD14641, SCHMD02335, SCHMD01698, SCHMD23534, SCHMD15686, SCHMD10005, SCHMD20123	ORYLA06148, ORYLA06147
OG0000075	SCHMD10965	ORYLA04438
OG0000075	SCHMD03704	ORYLA13961, ORYLA13960, ORYLA15787, ORYLA15785, ORYLA15786, ORYLA20334
OG0000075	SCHMD21424	ORYLA11054, ORYLA15824
OG0000077	SCHMD17571	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787
