Orthogroup	AENJA_ok	APOSJ_ok
OG0000000	AENJA_00110	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	AENJA_26081	APOSJ_43984, APOSJ_47154
OG0000000	AENJA_09172	APOSJ_18686
OG0000000	AENJA_06471	APOSJ_09863, APOSJ_52388, APOSJ_64477, APOSJ_29962
OG0000000	AENJA_01537	APOSJ_32352
OG0000000	AENJA_09519	APOSJ_18136
OG0000000	AENJA_07481	APOSJ_34245
OG0000000	AENJA_25905	APOSJ_60507
OG0000000	AENJA_15854	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	AENJA_12751	APOSJ_36728
OG0000000	AENJA_05807	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	AENJA_05798	APOSJ_20159
OG0000000	AENJA_15861	APOSJ_40396
OG0000000	AENJA_22692	APOSJ_37520
OG0000000	AENJA_20015	APOSJ_38857, APOSJ_38860
OG0000000	AENJA_05802	APOSJ_05847, APOSJ_05848
OG0000000	AENJA_19519	APOSJ_38441
OG0000000	AENJA_10529	APOSJ_62087
OG0000000	AENJA_10530	APOSJ_26760
OG0000000	AENJA_21459	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	AENJA_10279	APOSJ_56734
OG0000000	AENJA_05264	APOSJ_31415
OG0000000	AENJA_18954	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	AENJA_18955	APOSJ_02527
OG0000001	AENJA_05757	APOSJ_37929
OG0000001	AENJA_05760	APOSJ_51222, APOSJ_62226
OG0000001	AENJA_26229	APOSJ_25603, APOSJ_52770, APOSJ_36611, APOSJ_05765, APOSJ_13627, APOSJ_55755, APOSJ_26325, APOSJ_26326, APOSJ_18829, APOSJ_49141, APOSJ_54194, APOSJ_54195, APOSJ_04615, APOSJ_38875
OG0000001	AENJA_06007	APOSJ_40516, APOSJ_28860
OG0000001	AENJA_26118, AENJA_17575	APOSJ_12278, APOSJ_36722
OG0000001	AENJA_05207, AENJA_05206	APOSJ_62573, APOSJ_49921, APOSJ_44200, APOSJ_44199, APOSJ_61464, APOSJ_61463, APOSJ_31549, APOSJ_31548, APOSJ_61758, APOSJ_36028, APOSJ_08947, APOSJ_08949, APOSJ_08948, APOSJ_38838, APOSJ_25728, APOSJ_31189, APOSJ_25730, APOSJ_25727, APOSJ_39037, APOSJ_44320, APOSJ_26026, APOSJ_23152
OG0000002	AENJA_03072	APOSJ_36413
OG0000002	AENJA_19547	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870
OG0000002	AENJA_05471, AENJA_03252	APOSJ_21931
OG0000003	AENJA_21348	APOSJ_24854
OG0000003	AENJA_04022	APOSJ_63267
OG0000003	AENJA_16645	APOSJ_43592, APOSJ_07424, APOSJ_43596
OG0000003	AENJA_13805	APOSJ_07887, APOSJ_06613
OG0000003	AENJA_21345	APOSJ_27925, APOSJ_44929
OG0000003	AENJA_06628	APOSJ_24559
OG0000003	AENJA_15435	APOSJ_33662
OG0000003	AENJA_21338	APOSJ_07491, APOSJ_53718
OG0000003	AENJA_06107	APOSJ_28104, APOSJ_21473
OG0000003	AENJA_02043	APOSJ_57640, APOSJ_59054, APOSJ_11759
OG0000003	AENJA_22000	APOSJ_19882, APOSJ_38353
OG0000003	AENJA_15873	APOSJ_36445
OG0000004	AENJA_15703	APOSJ_28748, APOSJ_28747
OG0000004	AENJA_03929	APOSJ_09445
OG0000004	AENJA_25009	APOSJ_41801, APOSJ_41800, APOSJ_62352, APOSJ_41802
OG0000004	AENJA_04481	APOSJ_41012, APOSJ_39023, APOSJ_64853, APOSJ_64854, APOSJ_51805, APOSJ_51803, APOSJ_51802, APOSJ_51801, APOSJ_51799, APOSJ_24222, APOSJ_24219, APOSJ_05113, APOSJ_05111, APOSJ_64856, APOSJ_64852, APOSJ_31665, APOSJ_24225, APOSJ_24224, APOSJ_24223, APOSJ_24221, APOSJ_24220, APOSJ_05118, APOSJ_05117, APOSJ_05116, APOSJ_05114
OG0000004	AENJA_00155, AENJA_00156, AENJA_25730, AENJA_04758, AENJA_14459	APOSJ_61234, APOSJ_40238, APOSJ_49811, APOSJ_28826
OG0000004	AENJA_08909	APOSJ_42139
OG0000005	AENJA_12565	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667
OG0000005	AENJA_11751, AENJA_17797, AENJA_13656, AENJA_17582, AENJA_06910, AENJA_07536, AENJA_08989	APOSJ_31537
OG0000005	AENJA_12050	APOSJ_58392, APOSJ_58393
OG0000005	AENJA_07538	APOSJ_14167, APOSJ_17139
