Orthogroup	HUMAN	STRPU_ok
OG0000000	HUMAN22097, HUMAN03752	STRPU_10146, STRPU_10084
OG0000000	HUMAN27271, HUMAN18431	STRPU_22262
OG0000000	HUMAN17135, HUMAN03692, HUMAN17136	STRPU_10304
OG0000000	HUMAN03744, HUMAN03743, HUMAN22196	STRPU_10083, STRPU_10145
OG0000000	HUMAN27740, HUMAN03805, HUMAN22626	STRPU_10015
OG0000000	HUMAN29337, HUMAN01254	STRPU_19865, STRPU_19892
OG0000000	HUMAN28889, HUMAN05731	STRPU_02929
OG0000000	HUMAN05644	STRPU_03800
OG0000000	HUMAN03433	STRPU_09982, STRPU_09961
OG0000000	HUMAN02527	STRPU_20780
OG0000000	HUMAN12895, HUMAN12894, HUMAN17907, HUMAN26096	STRPU_23206
OG0000000	HUMAN07512, HUMAN22413	STRPU_05654
OG0000000	HUMAN07513	STRPU_05390
OG0000000	HUMAN12903, HUMAN12904, HUMAN06517, HUMAN17904, HUMAN12902, HUMAN26102, HUMAN12901, HUMAN26101, HUMAN06515	STRPU_23197, STRPU_23198
OG0000000	HUMAN06513, HUMAN12900, HUMAN26100, HUMAN06519	STRPU_23194
OG0000000	HUMAN27325, HUMAN27326	STRPU_23756
OG0000000	HUMAN12743, HUMAN26016	STRPU_22253
OG0000000	HUMAN22154, HUMAN24253	STRPU_09852
OG0000000	HUMAN06516, HUMAN26103, HUMAN17903, HUMAN12905, HUMAN26104	STRPU_23199
OG0000000	HUMAN30050, HUMAN24067, HUMAN07515	STRPU_05830
OG0000000	HUMAN26107, HUMAN17898	STRPU_23207
OG0000000	HUMAN27579, HUMAN22230	STRPU_10189
OG0000000	HUMAN27580, HUMAN03523, HUMAN24243	STRPU_09890
OG0000000	HUMAN18756	STRPU_21017
OG0000000	HUMAN08319	STRPU_21014
OG0000001	HUMAN03140, HUMAN03346, HUMAN14514, HUMAN14515, HUMAN14863, HUMAN17113, HUMAN17112, HUMAN05942, HUMAN05938, HUMAN05925, HUMAN05943, HUMAN05944	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	HUMAN10621, HUMAN10623	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227
OG0000002	HUMAN22770	STRPU_01111, STRPU_24188, STRPU_24739, STRPU_12686, STRPU_23131, STRPU_24784, STRPU_24781, STRPU_24779, STRPU_24782, STRPU_24496, STRPU_22731, STRPU_04929, STRPU_10056, STRPU_10135, STRPU_10129, STRPU_13264, STRPU_11045, STRPU_00383, STRPU_10128, STRPU_13989, STRPU_13992, STRPU_13990, STRPU_13991
OG0000002	HUMAN04207, HUMAN20269	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083
OG0000002	HUMAN20270	STRPU_25048, STRPU_20582, STRPU_20566
OG0000004	HUMAN17550	STRPU_27010
OG0000004	HUMAN27575	STRPU_02122, STRPU_15691
OG0000004	HUMAN05919, HUMAN05921, HUMAN01911	STRPU_19329
