Orthogroup	SCHMD	YEAST
OG0000000	SCHMD27593, SCHMD10927, SCHMD15603, SCHMD10284, SCHMD12569, SCHMD15791, SCHMD20461, SCHMD14540, SCHMD00971, SCHMD09645, SCHMD20523, SCHMD24588, SCHMD03805, SCHMD20256, SCHMD22099, SCHMD07815, SCHMD09133, SCHMD27825, SCHMD08472, SCHMD03766, SCHMD27182, SCHMD16896, SCHMD28523, SCHMD10926, SCHMD19942, SCHMD18969, SCHMD08046, SCHMD15558, SCHMD22390, SCHMD21735, SCHMD21303	YEAST00701
OG0000000	SCHMD11888, SCHMD08259	YEAST04484
OG0000006	SCHMD07888, SCHMD24507, SCHMD09008, SCHMD08632	YEAST01430
OG0000007	SCHMD08423	YEAST00671
OG0000007	SCHMD19134	YEAST01568, YEAST05134
OG0000011	SCHMD09818, SCHMD25014, SCHMD05659, SCHMD25643	YEAST02600, YEAST01619
OG0000014	SCHMD18409, SCHMD18786, SCHMD27036, SCHMD11444, SCHMD22676, SCHMD26730, SCHMD25903, SCHMD23025, SCHMD25904, SCHMD07386, SCHMD27174, SCHMD27072, SCHMD26433, SCHMD26360, SCHMD08949, SCHMD06657, SCHMD08950, SCHMD10401, SCHMD15215, SCHMD08948, SCHMD27260, SCHMD22821, SCHMD18998, SCHMD27894, SCHMD21669, SCHMD28940, SCHMD25178, SCHMD18458, SCHMD17107, SCHMD17106, SCHMD04686, SCHMD16431, SCHMD18460, SCHMD25052, SCHMD18459, SCHMD25054, SCHMD25184, SCHMD28601, SCHMD23423, SCHMD23923, SCHMD18997, SCHMD16115, SCHMD00336, SCHMD17936, SCHMD15732, SCHMD17591, SCHMD13208	YEAST03484, YEAST05078, YEAST05334, YEAST05768
OG0000016	SCHMD21264, SCHMD01350, SCHMD17302, SCHMD13031, SCHMD03292, SCHMD08192, SCHMD23829	YEAST03839, YEAST02807, YEAST03817
OG0000016	SCHMD13029, SCHMD08193, SCHMD03294, SCHMD13027, SCHMD08194, SCHMD01357, SCHMD21350	YEAST03870, YEAST01103
OG0000016	SCHMD09774, SCHMD19607, SCHMD01356, SCHMD01351	YEAST02775
OG0000031	SCHMD13256, SCHMD12427, SCHMD00978, SCHMD16950, SCHMD11094, SCHMD25186, SCHMD09915, SCHMD00185, SCHMD17865, SCHMD04192	YEAST02238
OG0000034	SCHMD15825, SCHMD15098, SCHMD05313, SCHMD26718, SCHMD02114, SCHMD11716, SCHMD29000, SCHMD05446, SCHMD13190, SCHMD26745, SCHMD23183, SCHMD04895, SCHMD14042, SCHMD20623, SCHMD12542, SCHMD11160, SCHMD18247, SCHMD04875, SCHMD07081, SCHMD15143, SCHMD18175	YEAST04436, YEAST05550, YEAST05115
OG0000036	SCHMD19876, SCHMD28731, SCHMD01107, SCHMD15808, SCHMD03343, SCHMD25206, SCHMD18787, SCHMD10086, SCHMD10087, SCHMD20124, SCHMD27854	YEAST02545, YEAST02806
OG0000037	SCHMD19933, SCHMD19522, SCHMD00541, SCHMD00542, SCHMD17538, SCHMD03362, SCHMD27948, SCHMD18423, SCHMD18687, SCHMD12192, SCHMD12010, SCHMD26652, SCHMD27204, SCHMD04781, SCHMD26619	YEAST03227
OG0000038	SCHMD04793, SCHMD13832, SCHMD06296, SCHMD12453, SCHMD04080, SCHMD01643, SCHMD10382, SCHMD07371, SCHMD17597, SCHMD29313, SCHMD17236, SCHMD15854, SCHMD12777, SCHMD01231, SCHMD16560, SCHMD21443, SCHMD06293, SCHMD21877, SCHMD17582, SCHMD27730, SCHMD15420, SCHMD07372, SCHMD06914, SCHMD04983, SCHMD01619, SCHMD00416, SCHMD02854, SCHMD10875, SCHMD25466, SCHMD05088, SCHMD12852, SCHMD01036, SCHMD28404, SCHMD14596, SCHMD16257, SCHMD14597, SCHMD04461, SCHMD04816, SCHMD04460	YEAST04422, YEAST04379
OG0000043	SCHMD29320, SCHMD14186, SCHMD13218, SCHMD11361, SCHMD08066, SCHMD05570, SCHMD05172, SCHMD24343, SCHMD10917, SCHMD15077, SCHMD11820, SCHMD11455, SCHMD00424, SCHMD17991, SCHMD07284, SCHMD04436, SCHMD10964, SCHMD10708, SCHMD11041, SCHMD12622, SCHMD10248, SCHMD06829, SCHMD01198, SCHMD04068, SCHMD29206, SCHMD09758	YEAST00224, YEAST01200
OG0000048	SCHMD13771, SCHMD03961	YEAST05020
OG0000048	SCHMD28788, SCHMD20183, SCHMD25913, SCHMD12614, SCHMD16550, SCHMD17319, SCHMD19708, SCHMD13779	YEAST05707
