Orthogroup	APOSJ_ok	CAPO3
OG0000003	APOSJ_50244, APOSJ_24854, APOSJ_63267, APOSJ_43552, APOSJ_43551, APOSJ_43592, APOSJ_07424, APOSJ_43596, APOSJ_20832, APOSJ_20829, APOSJ_22272, APOSJ_03630, APOSJ_07887, APOSJ_06613, APOSJ_27925, APOSJ_44929, APOSJ_58026, APOSJ_24559, APOSJ_33006, APOSJ_45754, APOSJ_33662, APOSJ_41535, APOSJ_46680, APOSJ_41536, APOSJ_07491, APOSJ_53718, APOSJ_62420, APOSJ_12361, APOSJ_28104, APOSJ_21473, APOSJ_28537, APOSJ_48345, APOSJ_47753, APOSJ_37328, APOSJ_40157, APOSJ_61298, APOSJ_07258, APOSJ_36444, APOSJ_17178, APOSJ_13667, APOSJ_36000, APOSJ_48083, APOSJ_29731, APOSJ_28848, APOSJ_28852, APOSJ_43600, APOSJ_22527, APOSJ_46106, APOSJ_22526, APOSJ_22667, APOSJ_16637, APOSJ_17591, APOSJ_58934, APOSJ_04924, APOSJ_19118, APOSJ_02529, APOSJ_52549, APOSJ_22529, APOSJ_10268, APOSJ_41438, APOSJ_57640, APOSJ_59054, APOSJ_11759, APOSJ_19882, APOSJ_38353, APOSJ_20460, APOSJ_41791, APOSJ_41790, APOSJ_10992, APOSJ_60978, APOSJ_36445, APOSJ_12157, APOSJ_25443	CAPO301945
OG0000005	APOSJ_41990, APOSJ_64784, APOSJ_14605, APOSJ_30108, APOSJ_32957, APOSJ_50291, APOSJ_50290, APOSJ_15668, APOSJ_15669, APOSJ_15667, APOSJ_43563, APOSJ_31537, APOSJ_58392, APOSJ_58393, APOSJ_14167, APOSJ_17139, APOSJ_45803, APOSJ_63383, APOSJ_63384, APOSJ_63382, APOSJ_23014, APOSJ_23018, APOSJ_05617, APOSJ_03732, APOSJ_33244, APOSJ_33245, APOSJ_07837, APOSJ_59467, APOSJ_30391, APOSJ_04718, APOSJ_02944, APOSJ_47042, APOSJ_10773, APOSJ_10774, APOSJ_10772, APOSJ_10771, APOSJ_10770, APOSJ_10769, APOSJ_40266, APOSJ_54876, APOSJ_61747, APOSJ_59821, APOSJ_03245, APOSJ_31790, APOSJ_09482, APOSJ_09484, APOSJ_09485, APOSJ_09481, APOSJ_09483, APOSJ_09269, APOSJ_48428, APOSJ_48429, APOSJ_02028, APOSJ_23808, APOSJ_02027, APOSJ_42948, APOSJ_54441, APOSJ_42029, APOSJ_12417, APOSJ_20058, APOSJ_20056, APOSJ_19603, APOSJ_07516, APOSJ_11151, APOSJ_11154, APOSJ_11157, APOSJ_63887, APOSJ_11156, APOSJ_11155, APOSJ_11153, APOSJ_11152, APOSJ_50934, APOSJ_48695, APOSJ_31844, APOSJ_31845, APOSJ_31849, APOSJ_31847, APOSJ_25648, APOSJ_14100, APOSJ_28565, APOSJ_22524, APOSJ_48942, APOSJ_07813, APOSJ_10177, APOSJ_10170, APOSJ_30095, APOSJ_12734, APOSJ_43564, APOSJ_43561	CAPO308356, CAPO307946
OG0000007	APOSJ_45510, APOSJ_50337, APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417	CAPO304209
OG0000007	APOSJ_06582, APOSJ_20594	CAPO303284
OG0000007	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878	CAPO300935
OG0000007	APOSJ_55940, APOSJ_55941	CAPO305123
OG0000012	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160, APOSJ_56324, APOSJ_56325, APOSJ_58381, APOSJ_56327, APOSJ_43063, APOSJ_43069, APOSJ_43070, APOSJ_43068, APOSJ_43067, APOSJ_43066, APOSJ_43065, APOSJ_43064, APOSJ_43930, APOSJ_28193, APOSJ_20947, APOSJ_09530, APOSJ_26007, APOSJ_34506, APOSJ_34505, APOSJ_18764, APOSJ_41502, APOSJ_41501, APOSJ_62490, APOSJ_23315, APOSJ_02166, APOSJ_26429, APOSJ_57968, APOSJ_60006, APOSJ_60001, APOSJ_08662, APOSJ_29241, APOSJ_29242, APOSJ_18379, APOSJ_27901, APOSJ_19235, APOSJ_27908, APOSJ_19236, APOSJ_27902, APOSJ_43527, APOSJ_27907, APOSJ_02479, APOSJ_20422, APOSJ_24428, APOSJ_39914	CAPO302923, CAPO302931
OG0000015	APOSJ_33839, APOSJ_56210, APOSJ_06394, APOSJ_42624, APOSJ_59632, APOSJ_31277, APOSJ_59631, APOSJ_43143, APOSJ_31279, APOSJ_62317, APOSJ_51506, APOSJ_06725, APOSJ_04715, APOSJ_09441, APOSJ_10165, APOSJ_53813, APOSJ_50846, APOSJ_50844	CAPO302521
OG0000016	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457	CAPO300049
OG0000016	APOSJ_49455, APOSJ_50025, APOSJ_49454, APOSJ_40337, APOSJ_40020	CAPO304360
OG0000016	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717, APOSJ_45352, APOSJ_32030, APOSJ_32038, APOSJ_05163, APOSJ_32039, APOSJ_32033, APOSJ_32031, APOSJ_56442, APOSJ_56443, APOSJ_56445, APOSJ_56441	CAPO306803
OG0000016	APOSJ_31207	CAPO303259
OG0000016	APOSJ_03790, APOSJ_21725, APOSJ_21975, APOSJ_58384, APOSJ_11248	CAPO300936
OG0000023	APOSJ_33558	CAPO304318
OG0000023	APOSJ_04667, APOSJ_12541, APOSJ_58633, APOSJ_48375, APOSJ_27694, APOSJ_27692, APOSJ_14254, APOSJ_65297, APOSJ_31405, APOSJ_14258, APOSJ_14259, APOSJ_31406, APOSJ_19021, APOSJ_14257, APOSJ_14256, APOSJ_14255, APOSJ_14253, APOSJ_27677, APOSJ_27676, APOSJ_27675, APOSJ_27674, APOSJ_01239, APOSJ_05915, APOSJ_05916, APOSJ_20171, APOSJ_01093, APOSJ_01092, APOSJ_01091, APOSJ_42179, APOSJ_00272, APOSJ_53525	CAPO307690
OG0000029	APOSJ_32485, APOSJ_26876, APOSJ_26877, APOSJ_64430, APOSJ_13377, APOSJ_45558, APOSJ_01736, APOSJ_00280, APOSJ_39397, APOSJ_49234, APOSJ_49235, APOSJ_49236, APOSJ_02895, APOSJ_39949	CAPO307131
OG0000030	APOSJ_08987, APOSJ_62915, APOSJ_19341, APOSJ_19347, APOSJ_19346, APOSJ_19342, APOSJ_19343, APOSJ_19349, APOSJ_19344, APOSJ_19348, APOSJ_26580, APOSJ_46611, APOSJ_46610, APOSJ_42302, APOSJ_42296, APOSJ_42301, APOSJ_42295, APOSJ_02556, APOSJ_42297, APOSJ_42298, APOSJ_30575, APOSJ_24666, APOSJ_08058, APOSJ_64332, APOSJ_13201, APOSJ_45466	CAPO305356, CAPO301638, CAPO307563
OG0000031	APOSJ_07842, APOSJ_07841	CAPO303729
